 	le	fait	que	cet	enfant	vole	des	choses	me	dépasse	</S>
y	0.434975	0.467543	0.0585529	0.0144544	0.0133697	0.000250083	0.00744997	0.00171159	0.00132732	0.000234532	0.000131653
í	0.428318	0.416698	0.0540899	0.0254663	0.0255093	0.00398059	0.0054575	0.00348884	0.0256155	0.000244498	0.0111315
b	0.217567	0.55978	0.112407	0.0681187	0.0073571	0.00517366	0.0061353	0.00882281	0.00816482	0.000193557	0.00627959
h	0.0462468	0.583146	0.128271	0.0865885	0.0271127	0.0149865	0.0126755	0.0214374	0.00431741	0.0370952	0.0381228
a	0.132228	0.500672	0.183828	0.0943474	0.0294461	0.00632918	0.0143323	0.00712069	0.00394039	0.00526755	0.0224883
l	0.338474	0.21088	0.258525	0.127646	0.0330178	0.00122547	0.00597081	0.001296	0.00290384	0.0016973	0.0183638
á	0.149549	0.0862156	0.256975	0.0907151	0.0493664	0.0132672	0.0657516	0.0503403	0.0191533	0.00833349	0.210333
m	0.199465	0.0547407	0.165408	0.172619	0.294017	0.0337173	0.0293228	0.0241296	0.0127768	0.00197717	0.0118273
w	0.0154498	0.00825399	0.0228617	0.0554319	0.858736	0.0353779	0.00182609	0.000249452	0.000243991	0.000234357	0.00133501
á	0.000976499	0.00250627	0.00837694	0.0371752	0.934188	0.0109454	0.00315704	0.000554226	0.000135842	0.000903775	0.0010806
n	0.0424058	0.00435707	0.0223878	0.0722418	0.844771	0.00086474	0.00794514	0.000696189	0.00155396	0.000403114	0.00237356
a	0.0269784	0.037573	0.107757	0.154702	0.612723	0.0211212	0.0138735	0.00307822	0.00842317	0.000761264	0.0130098
w	0.110087	0.05417	0.257309	0.28832	0.120536	0.0415325	0.0622249	0.0246733	0.0281941	0.00224713	0.0107062
ó	0.0131654	0.0168077	0.266857	0.157755	0.0723485	0.0315144	0.089457	0.254727	0.0325208	0.00642514	0.058421
í	0.00575561	0.00220797	0.0745409	0.0863636	0.123431	0.190243	0.271406	0.0906079	0.04986	0.00394028	0.101645
m	0.0067673	0.0149588	0.0440535	0.0376793	0.0124765	0.686059	0.0719916	0.0582987	0.0238655	0.00840123	0.0354486
i	0.00246018	0.00196513	0.0113094	0.0273742	0.0217607	0.775551	0.0726378	0.0495322	0.015328	0.0130654	0.00901604
s	0.00105761	0.000829749	0.0032027	0.0144084	0.019534	0.923226	0.0164983	0.00755585	0.00230646	0.00390667	0.00747376
á	0.000400142	0.00103739	0.00351185	0.0174972	0.00221191	0.961383	0.00403993	0.00337755	0.00303356	0.000780303	0.00272745
á	0.00289904	0.000495423	0.00957153	0.0267316	0.0543049	0.388294	0.210259	0.105885	0.0397807	0.0069215	0.154857
o	0.00211609	0.00129199	0.00790832	0.0256315	0.0274959	0.0653801	0.306117	0.34986	0.182697	0.0212034	0.0102993
l	0.00178879	0.00335756	0.00350381	0.0111738	0.00513754	0.497376	0.0335435	0.0524891	0.0209422	0.362013	0.00867455
á	0.00101382	0.00417214	0.0106551	0.0150395	0.00155247	0.676824	0.0155181	0.0313893	0.00979764	0.202603	0.0314345
n	0.000681436	0.000767145	0.00666114	0.0203627	0.0072299	0.253922	0.119911	0.143288	0.0903936	0.1345	0.222282
g	0.00073326	0.00237673	0.00857646	0.009919	0.00149953	0.0676534	0.205913	0.2688	0.239246	0.0730605	0.122222
á	0.000294517	0.00155341	0.00482975	0.00726247	0.00206527	0.0092545	0.16664	0.397946	0.137225	0.157639	0.11529
s	0.00697213	0.00260836	0.0109024	0.0200256	0.0184595	0.00344456	0.185144	0.120006	0.2419	0.14292	0.247617
á	0.00742719	0.00606394	0.0281602	0.045979	0.00494497	0.0130151	0.0787236	0.0558584	0.376922	0.181134	0.201771
n	0.0472591	0.010978	0.0421511	0.0733473	0.0119045	0.00833993	0.0614553	0.0971728	0.473668	0.127632	0.0460924
g	0.00173825	0.00058917	0.00247003	0.00623066	0.00211553	0.000941316	0.0307514	0.0147501	0.847199	0.0433045	0.0499097
á	0.000664965	0.00100459	0.00227099	0.00355219	0.00392523	0.00103607	0.016942	0.0313978	0.724051	0.0689086	0.146247
</S>	0.00116642	0.000442282	0.00199189	0.00366013	0.00258544	0.000519943	0.0680952	0.0834696	0.314111	0.188557	0.335402
