 	il	a	de	gros	biceps	</S>
w	0.779662	0.146074	0.0258657	0.0345183	0.0126205	0.00125886
a	0.720037	0.042013	0.00807819	0.110034	0.119409	0.000429216
a	0.177521	0.588234	0.161654	0.037301	0.00402027	0.0312695
d	0.0837972	0.450557	0.301816	0.0387244	0.0269275	0.098178
í	0.0590916	0.569708	0.176989	0.00992887	0.00177038	0.182512
l	0.0274528	0.096968	0.214707	0.0922401	0.0292602	0.539372
a	0.122631	0.16033	0.315579	0.112121	0.0103631	0.278976
i	0.117501	0.272813	0.424502	0.0875078	0.0126578	0.085018
s	0.0229546	0.151732	0.662743	0.0306372	0.0195918	0.112341
u	0.000963443	0.0596552	0.70062	0.12665	0.0171745	0.0949363
n	0.00554874	0.0399967	0.383667	0.299032	0.0262143	0.245542
u	0.0381849	0.0509611	0.295892	0.542842	0.0130892	0.0590312
m	0.0658142	0.0441599	0.152879	0.430084	0.199503	0.107559
á	0.0298379	0.020808	0.0911379	0.29665	0.22582	0.335746
a	0.0105915	0.00894124	0.0527181	0.367235	0.454671	0.105843
b	0.00168816	0.00960402	0.0527826	0.267202	0.521481	0.147242
ώ	0.00546368	0.0141969	0.0240807	0.0382507	0.906881	0.0111275
ω	0.000195302	0.00255403	0.0415187	0.0861991	0.525504	0.344029
i	0.00389477	0.00431976	0.0240939	0.667611	0.142848	0.157232
n	0.0184471	0.0293549	0.13374	0.457675	0.136019	0.224764
έ	0.0116859	0.0112237	0.0272522	0.710591	0.028158	0.21109
i	0.000942355	0.00194968	0.0162072	0.402018	0.0421642	0.536719
n	0.0354977	0.0526769	0.178599	0.373361	0.135889	0.223976
έ	0.00540537	0.0080182	0.0317813	0.737597	0.0259238	0.191275
</S>	0.000231043	0.00081754	0.010533	0.503936	0.0436896	0.440793
