 	son	oncle	est	mort	il	y	a	deux	ans	</S>
n	0.763382	0.135581	0.0363973	0.00611992	0.0143364	0.0209377	0.0129468	0.00893619	0.0010937	0.000268979
g	0.0326207	0.965345	0.000964989	0.000119216	0.000174493	0.000382978	0.000195776	9.60824e-05	9.15403e-05	9.20588e-06
ó	0.00641607	0.991034	0.000691244	0.000395076	0.000267567	0.0003925	0.000410507	0.000143892	0.00023012	1.88344e-05
l	0.00322823	0.993864	0.000726854	0.000618041	0.000260129	0.000351623	0.000153985	8.21076e-05	0.000534733	0.000180601
ó	0.0959192	0.722591	0.0517422	0.0293968	0.0218104	0.0190077	0.0151122	0.00448455	0.00423904	0.0356971
m	0.314659	0.221438	0.355082	0.0533233	0.0173428	0.0121141	0.00733278	0.00949576	0.00215005	0.00706138
i	0.254849	0.0445317	0.10626	0.215153	0.118065	0.069367	0.0652225	0.0295286	0.022851	0.0741716
y	0.166884	0.0170466	0.322379	0.242233	0.0917516	0.0456477	0.0255947	0.0233076	0.0100395	0.0551167
a	0.667017	0.116875	0.106732	0.0494674	0.0198522	0.0132413	0.00798986	0.00309711	0.00409372	0.0116348
w	0.688475	0.00526461	0.15383	0.0657958	0.0340195	0.0227579	0.00624604	0.00226751	0.00111543	0.0202282
a	0.296279	0.0123406	0.0701042	0.229416	0.171692	0.0917369	0.0427903	0.0152462	0.0133495	0.0570451
a	0.051068	0.00694763	0.159375	0.320303	0.236687	0.135083	0.0381456	0.0205167	0.00694784	0.0249264
m	0.0142332	0.000742543	0.193834	0.308713	0.14493	0.0608733	0.0897419	0.0620891	0.00457105	0.120271
í	0.0281971	0.000317474	0.173371	0.192072	0.193956	0.0974313	0.191038	0.088314	0.00690616	0.0283977
í	0.032868	0.00169127	0.171944	0.142051	0.141977	0.142288	0.149718	0.12558	0.0168055	0.0750767
w	0.00898547	0.00214491	0.0401088	0.112662	0.0820896	0.144851	0.192297	0.328906	0.0258359	0.0621194
á	0.00500257	0.000641263	0.0163063	0.230806	0.133711	0.160457	0.177353	0.141949	0.0418348	0.0919389
a	0.00870601	0.000527169	0.027526	0.216405	0.202077	0.134288	0.136125	0.0944478	0.0331429	0.146755
é	0.00282546	0.000128	0.00997781	0.0212802	0.0498667	0.153352	0.183967	0.491318	0.0463576	0.0409269
b	0.00204691	0.000617915	0.00603586	0.0184778	0.0252915	0.0602006	0.107115	0.515727	0.209861	0.054627
h	0.00141624	0.000115847	0.00335057	0.0242919	0.0273588	0.0522074	0.0839894	0.410893	0.290095	0.106282
i	0.00427065	5.84873e-05	0.00585608	0.0696271	0.0869184	0.0661658	0.0847995	0.257359	0.155329	0.269616
l	0.00228864	2.80925e-05	0.00134011	0.0100829	0.0167548	0.0413304	0.0822039	0.382096	0.18902	0.274855
a	0.00804351	0.000190602	0.00458433	0.0270574	0.0311086	0.0446932	0.0694453	0.131015	0.292423	0.391439
i	0.0074143	0.00142777	0.00662824	0.00394887	0.0111943	0.0458001	0.0397044	0.0728172	0.636208	0.174857
b	0.000926271	0.000345467	0.0043251	0.00442541	0.00472351	0.00615243	0.0194309	0.0888091	0.763871	0.106991
h	0.000298225	5.30346e-05	0.00563642	0.00950065	0.013911	0.0217889	0.0770798	0.308621	0.534547	0.0285635
a	0.000121683	5.11947e-06	0.000532457	0.00724492	0.00597902	0.00743994	0.0456146	0.192685	0.660689	0.0796882
n	0.0014457	0.000143954	0.00125992	0.0109222	0.0163522	0.0225624	0.0624522	0.110142	0.387517	0.387203
á	0.00163079	2.8282e-05	0.000849597	0.00605555	0.00897046	0.0134506	0.0727361	0.0502378	0.534943	0.311098
a	0.0427449	0.00177831	0.0184673	0.0259724	0.0410365	0.0620951	0.0588164	0.096955	0.232969	0.419165
í	0.0198183	0.000962533	0.0196064	0.0248534	0.0350404	0.0554787	0.060555	0.27174	0.206661	0.305284
b	0.00730041	0.00411576	0.0615297	0.0345254	0.0456157	0.0758222	0.0655382	0.380411	0.117468	0.207673
a	0.000255205	0.000150208	0.00229965	0.0159225	0.0141363	0.0251234	0.0399304	0.454964	0.339836	0.107382
á	5.83331e-05	6.15884e-05	0.00119567	0.00868843	0.00858854	0.0147542	0.0455559	0.14355	0.252414	0.525134
</S>	0.0249934	0.000433864	0.034136	0.0291314	0.0364169	0.0542831	0.0624432	0.130374	0.0794966	0.548291
