 	c'	est	bien	toi	qui	a	fait	couler	le	bateau	d'	autrui	</S>
o	0.384184	0.045452	0.225515	0.118884	0.102892	0.0305263	0.0537905	0.0160198	0.0096519	0.000742565	0.00349045	0.0012046	0.00764572
l	9.58087e-05	0.000266333	0.000224843	0.000159606	0.00131322	0.0064451	0.0377862	0.937068	0.00569469	0.00914541	0.000536779	0.00027453	0.000989286
i	0.000203725	0.00155546	0.000914645	0.000808606	0.00632407	0.0168546	0.0710139	0.853999	0.00652178	0.0289684	0.000978463	0.000204996	0.0116524
n	0.000276674	0.00135285	0.000463438	0.000152698	0.0133625	0.0263365	0.190033	0.713973	0.0147904	0.035391	0.00235896	0.000227582	0.0012814
d	0.00224084	0.00568117	0.00591135	0.00421013	0.0234834	0.0181847	0.0963613	0.718248	0.0427405	0.0230694	0.00550335	0.0043677	0.049998
i	0.0214524	0.0792718	0.0726113	0.0145225	0.0546762	0.0336758	0.0966751	0.249757	0.075096	0.0758987	0.0379142	0.00621763	0.182232
s	0.0120463	0.0209822	0.0522396	0.0268863	0.047293	0.0507541	0.11636	0.0813491	0.138536	0.143639	0.189787	0.0287719	0.0913557
i	0.000494957	0.00129564	0.0046786	0.00417939	0.0094598	0.036778	0.0901674	0.1155	0.163574	0.348407	0.0578031	0.0132423	0.15442
a	0.00125183	0.00365348	0.0234291	0.0430067	0.0773093	0.0697846	0.0555615	0.013297	0.261427	0.346165	0.0615578	0.0257277	0.0178291
s	9.36323e-05	0.000319927	0.00053055	0.000658975	0.00230041	0.0117772	0.0185783	0.03052	0.148819	0.606546	0.0544398	0.0992441	0.0261715
ú	0.000652303	0.00317375	0.00162689	0.00210814	0.00281254	0.0290129	0.0102159	0.00632891	0.0568917	0.721094	0.0940437	0.0173686	0.0546703
á	0.000263745	0.00103052	0.00395907	0.00619178	0.0130955	0.0184548	0.0165529	0.0182157	0.286716	0.343432	0.259852	0.00757294	0.0246625
b	0.00081758	0.00167017	0.00401739	0.00377671	0.0179165	0.0466481	0.0509778	0.0382427	0.143332	0.19574	0.296712	0.0982413	0.101907
a	0.000678599	0.00152054	0.00743524	0.00142564	0.00140886	0.00431738	0.00479394	0.0022495	0.0516618	0.0559656	0.0454894	0.805657	0.0173961
r	9.84648e-05	0.000202122	0.00339825	0.00488812	0.00572551	0.0134966	0.0155142	0.00221251	0.0916561	0.072977	0.0948962	0.666273	0.0286623
e	0.00225388	0.00316783	0.0244973	0.0250699	0.0428852	0.0611003	0.0545877	0.0354026	0.145801	0.0769255	0.183805	0.161533	0.18297
é	0.000630426	0.00135076	0.0116042	0.00807367	0.0347512	0.0411886	0.0416114	0.0135907	0.0684078	0.0388684	0.190642	0.0239974	0.525283
d	0.00308871	0.00508254	0.00485415	0.00106974	0.00540571	0.0129328	0.023585	0.0355287	0.0319777	0.0308659	0.306462	0.0401385	0.499008
z	0.00157269	0.012104	0.00395698	0.000654337	0.00255755	0.00551873	0.00632858	0.00466586	0.0114383	0.0322815	0.0969992	0.0178911	0.804031
e	0.0198345	0.0340336	0.0134789	0.0101674	0.0186728	0.0136635	0.0089167	0.00764911	0.123849	0.0540871	0.32137	0.00763024	0.366648
n	0.000834111	0.0015123	0.0110443	0.00331884	0.0242286	0.022105	0.032265	0.0146105	0.0912264	0.0374031	0.390871	0.0772606	0.29332
ω	0.000806784	0.00269838	0.00631663	0.00660515	0.00578349	0.0164998	0.00965405	0.00821343	0.066749	0.0983311	0.109803	0.0312932	0.637246
</S>	0.000293334	0.00141686	0.00129363	0.000339812	0.00290672	0.00849452	0.00883597	0.00912338	0.0356539	0.0404521	0.103338	0.0148345	0.773018
