 	le	prophète	traditionnel	est	déjà	arrivé	dans	le	sanctuaire	</S>
n	0.714492	0.219818	0.0234445	0.0178601	0.00316606	0.00466589	0.00625791	0.00932622	0.000799999	0.000168891
g	0.277996	0.720317	0.000784365	0.000184897	7.65173e-05	0.000106794	0.000139922	0.000238588	0.000140027	1.65254e-05
a	0.0754607	0.919235	0.0043988	0.000143822	0.000218468	0.000164369	7.66596e-05	8.84273e-05	0.000192076	2.16957e-05
n	0.0501342	0.941402	0.00565491	0.00044755	0.000373601	0.000208066	0.000162746	0.000223646	0.000167957	0.00122552
g	0.1746	0.550524	0.159284	0.00945466	0.00470149	0.00404047	0.00366031	0.00216919	0.00120007	0.0903661
a	0.245994	0.659752	0.0744772	0.00156145	0.000331596	0.000356173	0.00025859	0.000193817	0.000424139	0.0166506
o	0.292972	0.1994	0.0753263	0.165408	0.0271479	0.0488805	0.022968	0.0260724	0.00462188	0.137203
t	0.248588	0.392229	0.152169	0.0480612	0.0652626	0.0445076	0.0215988	0.0114251	0.00522442	0.0109346
w	0.110863	0.117234	0.100147	0.179865	0.106026	0.155254	0.0640821	0.0291773	0.0275706	0.109781
ε	0.220082	0.236086	0.153841	0.115817	0.0165906	0.0570453	0.0451437	0.0298381	0.0273497	0.0982072
r	0.158787	0.145088	0.265777	0.19645	0.0102186	0.0220747	0.0192753	0.0220474	0.0145065	0.145775
ε	0.247614	0.487652	0.104081	0.0129136	0.00318009	0.0099291	0.0172876	0.010181	0.0110332	0.0961287
á	0.0668418	0.065175	0.153322	0.564737	0.0522163	0.0361672	0.0223156	0.0178798	0.00183734	0.019508
m	0.00869825	0.0180011	0.0133561	0.280032	0.394349	0.128301	0.0711281	0.0420864	0.00523447	0.0388135
i	0.00805848	0.00979476	0.0871216	0.286484	0.464429	0.055616	0.0493006	0.0200745	0.000830624	0.0182903
s	0.0018376	0.00263685	0.0116408	0.0944447	0.759278	0.0645356	0.0399578	0.0113641	0.00208423	0.0122204
á	0.00428433	0.0229611	0.00236297	0.0426627	0.801612	0.0491964	0.0429816	0.0110571	0.00352208	0.0193596
á	0.00517038	0.0068351	0.00677506	0.174394	0.287621	0.152238	0.076654	0.0302621	0.0164531	0.243597
o	0.00846806	0.00742403	0.00915571	0.156166	0.211806	0.306365	0.18268	0.0881398	0.0188679	0.010927
p	0.00787968	0.0109379	0.00351338	0.0239293	0.413705	0.195437	0.165913	0.0541879	0.109007	0.0154906
f	0.00158411	0.00366614	0.00314451	0.0350405	0.105537	0.281663	0.11366	0.0564313	0.314861	0.0844131
a	0.00419676	0.0015386	0.00217905	0.0234657	0.0631708	0.168091	0.2692	0.0937148	0.2233	0.151143
s	0.00485077	0.00286346	0.00324229	0.0319728	0.0348368	0.114806	0.40384	0.185371	0.0618	0.156417
é	0.0182884	0.0145777	0.000456355	0.0082258	0.0233932	0.0557856	0.136784	0.110159	0.354671	0.277659
s	0.00335177	0.00536535	0.00107837	0.022894	0.0268959	0.067367	0.148906	0.263705	0.222356	0.23808
ε	0.0396588	0.0167253	0.00168213	0.00755927	0.0305657	0.0346351	0.111286	0.102045	0.236952	0.418891
l	0.00369089	0.00340498	0.000432206	0.00447247	0.0163995	0.0224763	0.0813367	0.131236	0.398649	0.337902
ε	0.00108478	0.00147451	0.000322897	0.00677527	0.0116295	0.0541583	0.141627	0.213543	0.337705	0.23168
</S>	0.00341489	0.000986876	0.000185374	0.00931413	0.0122904	0.0350824	0.144126	0.220735	0.12281	0.451054
