 	fais	lui	écouter	les	chansons	d'	okwakassa	</S>
b	0.714378	0.167296	0.0173675	0.0618698	0.0268515	0.0108887	0.00109334	0.000254577
ó	0.306334	0.0888276	0.383323	0.185199	0.0126751	0.0207508	0.0021869	0.000704002
n	0.119588	0.203149	0.517522	0.124756	0.0183224	0.0127557	0.000134991	0.00377171
d	0.19731	0.176175	0.304914	0.0565943	0.102479	0.00950357	0.00021991	0.152804
í	0.304831	0.190816	0.350495	0.0170362	0.0281762	0.00750526	0.00106714	0.100073
s	0.23088	0.310445	0.204844	0.116363	0.0228421	0.0431628	0.0019052	0.0695581
á	0.0362088	0.659796	0.0799648	0.0881329	0.012346	0.0181401	0.000684842	0.104727
w	0.15946	0.329437	0.364756	0.103748	0.0171229	0.00870454	0.00695281	0.00981936
á	0.220153	0.518044	0.0734239	0.0686392	0.0296919	0.0479012	0.004187	0.0379599
i	0.0345566	0.264664	0.125237	0.417246	0.0386909	0.0437137	0.00122605	0.0746657
n	0.0132286	0.0399321	0.132193	0.415729	0.323117	0.0475864	0.00728693	0.0209282
d	0.00698333	0.0235608	0.460263	0.222273	0.198232	0.0309396	0.00360846	0.05414
z	0.000881381	0.00941807	0.18575	0.218085	0.4801	0.0365205	0.033022	0.0362234
é	0.000530917	0.00350164	0.0180903	0.0209137	0.902233	0.011496	0.02444	0.018794
m	0.00320609	0.00449224	0.0811794	0.0703532	0.705662	0.0431091	0.0315037	0.0604939
b	0.00128162	0.00368677	0.0293618	0.183477	0.62781	0.103483	0.00980193	0.0410983
é	0.00160608	0.00723653	0.0628934	0.104165	0.474832	0.0937796	0.0186533	0.236834
m	0.00372002	0.012113	0.0157809	0.20343	0.0997942	0.50217	0.00597615	0.157015
ó	0.000180666	0.0115133	0.0216444	0.153002	0.120867	0.452021	0.00490773	0.235864
k	0.00126122	0.00358987	0.0227875	0.0867281	0.115066	0.233079	0.481235	0.0562542
w	0.000808429	0.000676418	0.00130698	0.00757889	0.201439	0.0837578	0.669196	0.0352365
a	0.000396826	0.000941427	0.00132578	0.00421553	0.0660934	0.0514831	0.844127	0.0314173
k	7.91274e-05	0.000659825	0.00218853	0.0151365	0.0563254	0.267388	0.383254	0.274969
a	0.0033031	0.00534332	0.00427173	0.0109763	0.0202477	0.0648305	0.730344	0.160684
s	0.000135233	0.000948027	0.00305699	0.0158412	0.0310648	0.0881748	0.49366	0.367119
s	0.000618554	0.00350155	0.00512853	0.0114924	0.0769274	0.116058	0.666871	0.119402
a	0.000175375	0.000501701	0.0016842	0.00255924	0.0361047	0.0342335	0.828604	0.0961376
</S>	9.72868e-05	0.000512865	0.000756114	0.00468286	0.0212157	0.0707097	0.0678769	0.834149
