 	cet	enfant	atteint	la	cible	avec	sa	lance	</S>
m	0.774795	0.218816	0.00250505	0.000901703	0.000305555	0.00118127	0.000733726	0.000116425	0.000645166
w	0.07882	0.91496	0.00420206	0.00100076	9.67372e-05	0.000397856	0.000403435	7.30056e-05	4.57687e-05
á	0.46844	0.482349	0.0118738	0.00843575	0.016212	0.00828845	0.000767951	0.00230737	0.00132665
n	0.564053	0.314264	0.00531795	0.00242387	0.00106139	0.00267276	0.00400455	0.000630489	0.105572
a	0.264215	0.56067	0.0671449	0.0399587	0.0202287	0.00669302	0.00582955	0.00289575	0.0323646
w	0.883583	0.0298192	0.0455875	0.0253014	0.00114969	0.0034511	0.00697258	0.000673186	0.00346201
ó	0.0767979	0.0116887	0.320104	0.159657	0.0233729	0.112836	0.0727626	0.114617	0.108164
l	0.019058	0.0126003	0.599194	0.295217	0.00998613	0.0143411	0.0113589	0.00358342	0.0346612
á	0.00825743	0.00659728	0.211444	0.168252	0.0920974	0.122199	0.0620978	0.0560415	0.273014
a	0.0398667	0.0171961	0.349546	0.289725	0.202992	0.0294631	0.00994542	0.0251202	0.036146
m	0.0109616	0.00460557	0.173182	0.177698	0.622298	0.00374853	0.000941277	0.00306563	0.0034991
á	0.00385194	0.00180256	0.0141598	0.105452	0.86757	0.00430444	0.00110586	0.000260735	0.00149245
á	0.00233638	0.00131951	0.0154578	0.109241	0.842458	0.0141187	0.00286125	0.00138077	0.0108265
m	0.00725278	0.00203002	0.0469353	0.246688	0.147146	0.452169	0.083299	0.00513707	0.00934229
b	0.00206381	0.0165925	0.00716176	0.0654335	0.712299	0.0835336	0.061709	0.00597821	0.0452283
o	0.00108698	0.00652527	0.00722329	0.0558893	0.366308	0.43013	0.0853583	0.0284438	0.0190351
n	0.00145879	0.00121082	0.0248729	0.0362056	0.452484	0.404326	0.0142681	0.0462713	0.0189033
g	0.00484208	0.00174768	0.0219803	0.0275964	0.704077	0.143064	0.00789308	0.00652635	0.0822729
o	0.0252909	0.0161092	0.0628014	0.0338679	0.39706	0.297912	0.0197194	0.0850514	0.0621877
l	0.00139811	0.000110777	0.0267941	0.0451689	0.0207652	0.288634	0.288223	0.176822	0.152083
o	0.00631925	7.8665e-05	0.0142798	0.0287683	0.0286886	0.178176	0.231394	0.29244	0.219856
m	0.000772442	9.83846e-05	0.00153522	0.00456066	0.00657402	0.0252236	0.0809155	0.793657	0.0866635
í	0.0112806	0.00481007	0.00232645	0.022076	0.026018	0.0553487	0.47146	0.23523	0.171451
k	0.00293195	0.000360333	0.00270532	0.0127486	0.00851153	0.034329	0.171971	0.671573	0.0948693
ω	0.000440357	6.26704e-05	0.00304832	0.00192873	0.00248371	0.0209798	0.00937992	0.924621	0.0370552
n	0.000449642	5.72724e-05	0.00140731	0.00101573	0.00209418	0.0248132	0.0135168	0.918253	0.0383928
g	0.00071348	0.000974269	0.00319386	0.0018202	0.0100474	0.0523615	0.0448039	0.740966	0.14512
ώ	0.00164984	0.000465086	0.00305225	0.00154643	0.0044562	0.0676974	0.109432	0.457418	0.354283
</S>	0.00304839	9.10696e-05	0.00191717	0.0026877	0.000789563	0.0419871	0.129338	0.0821978	0.737943
