 	je	ne	sais	pas	tisser	une	nasse	mais	je	me	débrouille	</S>
n	0.645665	0.111916	0.0136652	0.0747214	0.054831	0.0538851	0.033963	0.00359025	0.00382324	0.00284408	0.000795019	0.000300928
g	0.990895	0.00149752	0.000249107	0.00136598	0.0026322	0.00136206	0.000713099	0.000220447	0.0006061	0.000445376	8.90339e-06	4.65498e-06
á	0.966921	0.0189141	0.000912528	0.000637395	0.00104672	0.000939405	0.00245284	0.00446801	0.00344513	0.000252768	6.26336e-06	3.93299e-06
i	0.130711	0.282196	0.0315183	0.0562497	0.0410855	0.0721305	0.0816047	0.0287147	0.0852001	0.134859	0.00290058	0.052829
d	0.00647504	0.5833	0.293948	0.0196343	0.00440414	0.0084178	0.0199458	0.0188955	0.00754978	0.00399917	0.0129676	0.0204634
í	0.0628793	0.717538	0.0785509	0.010968	0.00592443	0.023916	0.0115506	0.0250206	0.0236949	0.0056175	0.00212722	0.032212
o	0.0977359	0.35941	0.242325	0.11927	0.0319024	0.0482745	0.0200146	0.008193	0.0214198	0.0161538	0.00416183	0.0311387
k	0.00107802	0.0804869	0.897063	0.0103721	0.00252589	0.00100738	0.00195622	0.00297865	0.00103927	0.000113509	0.000806749	0.000571826
ω	2.02438e-05	0.0321728	0.921406	0.0238248	0.00366278	0.00268775	0.00402756	0.00336027	0.000918702	0.000353657	0.00509486	0.00247058
n	0.000208196	0.0898242	0.483838	0.182957	0.0766756	0.0206467	0.0762264	0.0300316	0.0101396	0.00388799	0.0105395	0.0150254
y	0.00406688	0.0886801	0.264698	0.319533	0.119176	0.0290564	0.0408609	0.0513114	0.0272632	0.00839028	0.0071404	0.0398235
i	0.0046739	0.0938997	0.203304	0.288865	0.113306	0.0532909	0.0410405	0.0307237	0.0207745	0.0152906	0.022382	0.112449
o	0.00364977	0.0447219	0.162606	0.584359	0.0862984	0.0607273	0.0206179	0.0042491	0.00886253	0.00695074	0.00205914	0.0148979
b	0.000578616	0.0230655	0.233896	0.344741	0.266961	0.0632891	0.0410217	0.0167442	0.00382436	0.000511936	0.00296184	0.00240415
h	0.000284559	0.0363836	0.322995	0.201843	0.0824854	0.164137	0.117066	0.0292529	0.00708514	0.00283586	0.0245689	0.0110625
e	3.45767e-05	0.0155026	0.319409	0.141572	0.0610279	0.150665	0.197853	0.0365967	0.0215029	0.0078992	0.0132706	0.0346665
r	0.000358734	0.00581379	0.074922	0.403502	0.237403	0.159121	0.0636348	0.0115204	0.00667266	0.00634987	0.00559224	0.02511
á	0.000262511	0.00456066	0.0712658	0.190238	0.311364	0.122419	0.056631	0.0800043	0.0341908	0.00563926	0.00472651	0.118698
