 	j'	ai	rencontré	un	troupeau	de	sangliers	</S>
n	0.906454	0.0632578	0.0240697	0.0010778	0.00221295	0.00238367	0.000306679	0.00023721
g	0.923927	0.0576976	0.0105899	0.0011804	0.0044328	0.00168801	0.000462125	2.21416e-05
á	0.875916	0.0996919	0.0167053	0.00265691	0.00412471	0.000264318	0.000606713	3.40825e-05
í	0.065194	0.40303	0.02552	0.0545689	0.0233213	0.119941	0.00950471	0.29892
t	0.00332089	0.235881	0.661196	0.087459	0.00230693	0.00154162	0.00214682	0.00614737
έ	0.000186144	0.0890146	0.796745	0.100259	0.00702654	0.000556273	0.00313016	0.00308174
n	0.0052215	0.287138	0.37853	0.25899	0.0522935	0.0103047	0.00259111	0.00493068
i	0.0148537	0.264111	0.301837	0.203413	0.168367	0.0334091	0.00501674	0.00899345
i	0.01623	0.175579	0.0409693	0.273949	0.341762	0.0829432	0.00685156	0.0617169
l	0.00125873	0.0175283	0.00935631	0.106043	0.636524	0.167719	0.0186132	0.042957
a	0.000544746	0.0082275	0.0113673	0.426165	0.451848	0.034999	0.0112224	0.055627
m	0.000205452	0.00300958	0.00949292	0.154095	0.714206	0.0615455	0.00906041	0.0483845
w	0.000207119	0.000677617	0.00276499	0.155476	0.214589	0.344696	0.089929	0.19166
a	0.00118804	0.000478604	0.0139002	0.141897	0.389772	0.0500435	0.315947	0.0867738
l	0.00047832	0.00675742	0.00495728	0.160012	0.165774	0.178155	0.186435	0.297432
a	0.000398942	0.00110705	0.00958988	0.0774444	0.449951	0.0421758	0.223685	0.195647
m	4.78468e-05	0.00135511	0.00157835	0.0546169	0.245569	0.359688	0.0386881	0.298456
á	0.00022764	0.000168493	7.67832e-05	0.00772525	0.0408756	0.433107	0.0731618	0.444658
n	0.000113114	0.000603063	0.000590753	0.00969881	0.077282	0.171058	0.673832	0.0668225
g	0.006543	0.00400459	0.00055303	0.00600525	0.219833	0.176212	0.467122	0.119727
o	0.00227837	0.00167936	0.000371218	0.00444894	0.282658	0.158358	0.477986	0.0722199
y	0.000155686	4.85599e-05	0.000116552	0.00242498	0.0969003	0.010629	0.807084	0.0826411
á	0.00332194	0.00138413	0.00177846	0.0179588	0.0964328	0.242945	0.279364	0.356815
</S>	0.000338183	0.00349722	0.00115782	0.00725494	0.0204381	0.120224	0.170644	0.676446
