 	le	chef	du	village	a	établi	une	loi	selon	laquelle	les	petits	enfants	ne	doivent	plus	aller	s'	amuser	dans	la	cour	de	l'	école	</S>
o	0.815354	0.103626	0.037876	0.0230959	0.00422052	0.00105449	0.00347249	0.00699117	0.00232391	0.000278771	0.000453222	0.000548426	0.000152564	8.85623e-05	5.99756e-05	0.000104189	2.37e-05	4.18661e-05	1.47339e-05	2.91035e-05	3.30446e-05	1.2274e-05	4.36514e-05	5.16481e-05	4.41663e-05	5.00359e-06
k	0.0179749	0.969149	0.00478207	0.00686857	0.00016565	5.22348e-05	4.47351e-05	9.06231e-05	4.25402e-05	1.23985e-05	4.98562e-05	1.19041e-05	1.34323e-05	4.31724e-05	6.28257e-05	2.0213e-05	5.78954e-05	2.81488e-05	0.000122891	5.77483e-05	5.94479e-05	4.83741e-05	2.75984e-05	6.57014e-05	6.00628e-05	8.74379e-05
o	0.00274158	0.985914	0.0013675	0.00407425	0.000118664	0.000459623	0.000131815	0.000231787	0.000240935	0.000571074	0.000438348	0.000155699	0.000251402	0.000444591	0.000371887	0.000208428	0.000266303	0.000162691	0.000224422	0.000165998	0.00022089	0.000239896	0.000145084	0.00024452	0.000329176	0.000279895
n	0.00176039	0.972485	0.00793009	0.00472878	0.00075677	0.000596757	0.000826566	0.000352253	0.00111787	0.000499982	0.000878283	0.000284802	0.000333582	0.000692286	0.000945505	0.00047641	0.000498803	0.000533911	0.000446574	0.000321994	0.000569272	0.000261283	0.000383597	0.00101289	0.00083492	0.000471646
d	0.0434609	0.837455	0.0264468	0.0380014	0.00351115	0.00801459	0.00373196	0.00600843	0.00249547	0.00227288	0.0015622	0.00106203	0.00209874	0.0019612	0.00220615	0.00134615	0.00223532	0.00137933	0.00159061	0.00132654	0.00164012	0.000998189	0.00136657	0.00112917	0.00286171	0.0038377
z	0.0473992	0.835859	0.0181443	0.0345507	0.00318548	0.00542274	0.00186817	0.00722375	0.00601833	0.00543827	0.00225501	0.00175798	0.00352691	0.00216044	0.000972033	0.00141615	0.000796404	0.00146551	0.00330623	0.00126759	0.00133374	0.00111132	0.00204058	0.00106785	0.00100308	0.00940926
i	0.0442615	0.626597	0.00560489	0.0844162	0.00293511	0.039528	0.00340369	0.0439903	0.0128654	0.0209685	0.00369585	0.00573316	0.0146308	0.00323962	0.00134315	0.0026941	0.00251244	0.00365511	0.00575827	0.00131641	0.00154999	0.00229654	0.00449472	0.00113629	0.00188315	0.0594902
y	0.0901956	0.0223122	0.616488	0.0619662	0.140236	0.00233163	0.00991434	0.00160551	0.00753882	0.00407037	0.00673863	0.00444194	0.00154561	0.00395393	0.00247818	0.00471563	0.00157573	0.00248493	0.00140507	0.00316559	0.0023286	0.000318964	0.0024464	0.00152241	0.000248886	0.00397064
a	0.160267	0.00940129	0.160783	0.293901	0.124837	0.00979705	0.0111936	0.00190967	0.0208494	0.0111485	0.0203197	0.00893281	0.0128306	0.00849001	0.0104741	0.00547145	0.016809	0.0121436	0.00590057	0.00809462	0.00999251	0.0223586	0.00807359	0.0142013	0.00801657	0.0238033
p	0.206703	0.00305493	0.150573	0.372153	0.19252	0.00958938	0.00638583	0.00151061	0.00938984	0.00130716	0.00655737	0.00344009	0.00763175	0.00237202	0.00315357	0.00162292	0.00228784	0.00244304	0.00312368	0.0013244	0.00174234	0.00409077	0.00125497	0.00324888	0.000611011	0.00190905
