 	les	policiers	étaient	en	train	d'	encercler	le	voleur	derrière	l'	école	</S>
a	0.894991	0.0934451	0.0031541	0.00238917	0.00171538	0.00132739	0.000454292	0.000930831	0.0011612	0.000227948	0.000164285	3.44891e-05	4.6728e-06
m	0.0322822	0.960964	0.00417813	0.000558075	0.000336215	0.000170673	0.00037177	0.000150873	0.000110598	0.000556495	0.000164125	9.78467e-05	5.88302e-05
b	0.131164	0.652313	0.178949	0.0109775	0.00165502	0.00191636	0.000315178	0.000331677	0.0053814	0.00146277	0.00101894	0.000170921	0.0143445
ω	0.00433603	0.984332	0.00536991	0.000768105	0.00153025	0.000151764	9.99243e-05	8.14244e-05	0.00248942	0.000387944	0.000148834	4.28684e-05	0.00026143
r	0.0267296	0.94309	0.0208018	0.00465727	0.000261294	0.000579817	0.000160395	0.000126734	0.00131987	0.000105594	0.000200169	0.000113088	0.00185425
i	0.053257	0.749201	0.080154	0.0469553	0.00279597	0.00970107	0.00953911	0.00524489	0.00153366	0.00114829	0.00205698	0.00430181	0.0341105
á	0.188855	0.232187	0.334578	0.10348	0.0640691	0.0369716	0.00327551	0.00600202	0.00410722	0.000931225	0.0053269	0.000987537	0.0192296
d	0.0258847	0.0439983	0.601268	0.128905	0.0372311	0.0679685	0.0274027	0.0155329	0.012947	0.00583806	0.00450021	0.00519341	0.0233298
z	0.0110924	0.0172424	0.716794	0.0568814	0.00164634	0.0432124	0.00475492	0.00487737	0.0102585	0.0134267	0.00952394	0.00635167	0.103938
e	0.108717	0.00608722	0.759216	0.0271524	0.000429654	0.0410649	0.00690214	0.00393303	0.020142	0.00643198	0.00619829	0.00169484	0.0120307
b	0.0286268	0.015129	0.165735	0.279194	0.16375	0.119574	0.0202875	0.0242942	0.0119976	0.0115455	0.0299487	0.0191378	0.110781
á	0.158534	0.0231123	0.0874683	0.245206	0.0707738	0.28003	0.0623115	0.0318787	0.00946169	0.00318229	0.00551413	0.00741254	0.0151143
a	0.0653247	0.00303312	0.0879754	0.423603	0.129499	0.193676	0.0145415	0.0163672	0.0109024	0.00566429	0.0226467	0.00646453	0.0203026
k	0.00104239	0.0120589	0.240442	0.0958336	0.0355761	0.247707	0.306567	0.0200314	0.00739829	0.00446965	0.00359006	0.007774	0.01751
y	0.000234598	0.00549996	0.027018	0.059969	0.054237	0.117106	0.647286	0.0449892	0.00727742	0.000943077	0.00288443	0.0102107	0.0223451
é	0.00140165	0.00755702	0.0346037	0.0459972	0.00976425	0.117012	0.686624	0.0547805	0.00636202	0.00186316	0.00149429	0.0111338	0.0214062
n	0.000572088	0.000994808	0.0287847	0.0711697	0.0131437	0.323009	0.361462	0.0917692	0.0181901	0.00631815	0.0156029	0.0139082	0.055076
á	0.00149031	0.00136435	0.0416086	0.109348	0.00678664	0.377183	0.285392	0.0579119	0.00966877	0.0106035	0.0171164	0.0208198	0.0607066
á	0.00210575	0.00063123	0.0122912	0.012684	0.00156505	0.226905	0.410194	0.208494	0.0773841	0.0161736	0.0116113	0.00503966	0.0149207
m	0.00461672	0.00190828	0.0154068	0.00435068	0.00070879	0.112426	0.136247	0.360583	0.251728	0.0794418	0.0176417	0.00586451	0.00907662
ú	0.00472434	0.00158115	0.00967936	0.00544948	0.000156426	0.0166899	0.0227921	0.0623103	0.80109	0.0113514	0.031213	0.00378331	0.0291795
b	0.000188152	0.000577026	0.0171606	0.00324575	0.000168709	0.040397	0.0754241	0.158784	0.676828	0.00826713	0.00846157	0.00207866	0.00841881
h	0.00553261	0.000402187	0.00470562	0.0044427	0.000610244	0.0724346	0.112743	0.422931	0.0496506	0.0491077	0.109863	0.0265503	0.141026
u	0.00391457	0.00173717	0.00648394	0.00847202	0.000409604	0.0636286	0.212852	0.341292	0.0897739	0.08609	0.0790395	0.0480428	0.0582638
ó	0.000901525	0.000355171	0.00127114	0.00152516	0.000137006	0.0224207	0.086164	0.414164	0.0473222	0.268137	0.0845766	0.0269393	0.0460861
n	0.00127196	0.00197644	0.0110408	0.00170777	0.000307343	0.0138676	0.0414721	0.232699	0.214578	0.270041	0.108677	0.0792639	0.0230971
g	0.00136228	0.00147904	0.0131246	0.000978557	1.9805e-05	0.00290639	0.00100482	0.00909766	0.0230404	0.853584	0.0513418	0.0115466	0.030514
ω	9.45018e-05	0.000478901	0.0016675	0.000957796	4.62226e-05	0.000854795	0.00293787	0.0124462	0.00148953	0.938955	0.0192476	0.0145006	0.00632378
n	6.52285e-05	0.000160167	0.00182914	0.00104536	3.35451e-05	0.00296911	0.00397973	0.0149091	0.000982252	0.837362	0.0702411	0.0423981	0.0240248
g	0.000282094	0.00112546	0.0047937	0.00384408	0.000175947	0.0143812	0.0523665	0.136726	0.0258432	0.419451	0.0973592	0.127248	0.116404
ω	0.00309115	0.00171219	0.00485807	0.00503421	2.78995e-05	0.0082156	0.0171441	0.0701412	0.0148868	0.599607	0.108161	0.0771362	0.089985
y	0.000960468	0.000304697	0.00447239	0.0053004	0.000197243	0.0169686	0.00572451	0.0738403	0.028057	0.203091	0.482231	0.071563	0.10729
á	0.00366802	0.000778458	0.00838985	0.004147	9.37616e-05	0.012701	0.00935801	0.0582771	0.025372	0.327201	0.285856	0.177141	0.0870175
l	0.00985806	0.0200705	0.00942772	0.00760684	0.00105705	0.0140732	0.00541968	0.0583489	0.0840416	0.119526	0.273118	0.377308	0.0201458
e	0.00152749	0.000957729	0.00415525	0.00121891	0.000101857	0.00300439	0.00241092	0.0141032	0.0216182	0.292511	0.161242	0.339867	0.157282
k	3.21795e-05	3.24131e-05	0.000342817	0.000262235	1.36481e-05	0.000421114	0.00124674	0.0132699	0.0118811	0.0953216	0.172832	0.48352	0.220823
ώ	3.87482e-05	0.000222112	0.000270906	0.000748529	0.000666252	0.0027303	0.0154415	0.0443185	0.0234262	0.0133156	0.0693686	0.645105	0.184348
ώ	0.000315388	0.000247778	3.45109e-05	0.000382154	0.00144265	0.000799468	0.0151163	0.0402195	0.0095992	0.0460043	0.103598	0.712912	0.0693285
l	0.00136491	0.000151617	0.00136595	0.00241838	0.000162048	0.00875785	0.00400731	0.0297121	0.0176048	0.0557379	0.372508	0.184732	0.321477
i	0.000304727	0.000483188	0.00212349	0.00231722	0.000372547	0.00559652	0.0069968	0.0211551	0.00636388	0.0801744	0.137545	0.366284	0.370283
</S>	0.000442989	0.000584071	0.00228	0.00205826	0.000124222	0.00443126	0.00164914	0.0201059	0.0118766	0.0694059	0.299119	0.17983	0.408093
