 	le	tam-tam	s'	est	déchiré	lorsque	nous	étions	en	train	de	danser	</S>
i	0.825182	0.103007	0.038604	0.00661568	0.00260856	0.0072979	0.0104129	0.00119587	0.00265972	0.000625818	0.0017225	1.28722e-05	5.4305e-05
s	0.0328523	0.950231	0.0037151	0.00147566	0.00670138	0.000174831	0.000473228	0.00274225	0.000587644	0.000191824	0.000183012	8.67621e-05	0.000585381
i	0.0507243	0.922448	0.00413303	0.00175331	0.00971851	0.00563581	0.00082209	0.00301632	0.000766921	4.04168e-05	6.31045e-05	0.000422716	0.000455967
m	0.0427414	0.857112	0.0161755	0.00511073	0.00851772	0.00510121	0.0046573	0.0172638	0.00446793	0.000323027	0.0005368	0.00217741	0.0358155
b	0.575818	0.280678	0.0954747	0.0225737	0.00299862	0.00224056	0.00135966	0.0102645	0.00142302	0.000392159	0.00205201	0.000591406	0.00413358
a	0.461698	0.216603	0.187675	0.0410532	0.0107494	0.00877877	0.00683537	0.00552383	0.00752249	0.0059719	0.00407279	0.00261037	0.0409062
í	0.143723	0.0574864	0.489922	0.131222	0.0412619	0.0237596	0.016113	0.0146256	0.0179257	0.00597547	0.0323232	0.00342743	0.0222354
p	0.0726678	0.0126508	0.27209	0.32017	0.114667	0.0286298	0.00362938	0.0704487	0.0360078	0.00786822	0.020979	0.0110559	0.0291352
a	0.0155742	0.0170923	0.0681879	0.242392	0.510627	0.0388979	0.00115832	0.0319648	0.029607	0.0041231	0.00922834	0.0113407	0.019806
s	0.0247902	0.0337006	0.0942501	0.221698	0.424877	0.034379	0.0109127	0.0252004	0.0277418	0.0140143	0.0129615	0.0112513	0.0642228
i	0.0331315	0.0298432	0.0945642	0.171729	0.50693	0.0950276	0.00696861	0.0125556	0.0214244	0.00357338	0.010299	0.00588367	0.0080698
m	0.0263506	0.0024714	0.11562	0.171704	0.194585	0.197044	0.201822	0.0260617	0.0100754	0.011873	0.00779665	0.00466266	0.0299344
ó	0.0667317	0.0158367	0.227596	0.200634	0.0573773	0.0693557	0.245068	0.0621703	0.0155709	0.00950316	0.0201429	0.00277172	0.00724233
n	0.0172913	0.00410253	0.0714873	0.129501	0.195257	0.218168	0.13027	0.0871613	0.0618714	0.0572177	0.00654788	0.00913033	0.011994
d	0.00478583	0.00669801	0.0251683	0.0217086	0.00764649	0.861242	0.0337455	0.00372977	0.0093653	0.00823434	0.00188767	0.00628059	0.00950783
i	0.00123852	0.00334716	0.01296	0.0217439	0.0606675	0.814565	0.00921445	0.00956267	0.0116633	0.00478577	0.00143604	0.0174872	0.0313281
e	0.00106283	0.00620525	0.0495329	0.0357892	0.0605223	0.566369	0.0101129	0.0186511	0.0631102	0.0210386	0.00844231	0.0762999	0.082864
m	0.00728162	0.00122566	0.0921938	0.159724	0.0610902	0.313072	0.0442958	0.0671193	0.119551	0.0344309	0.0785057	0.0060198	0.0154901
ó	0.0442048	0.00536129	0.0429412	0.0853145	0.0332602	0.06575	0.0603391	0.199742	0.0736096	0.0188082	0.215771	0.019083	0.135815
ó	0.00432723	0.00286303	0.0139914	0.022478	0.0472179	0.17373	0.160291	0.130011	0.171287	0.169692	0.0333756	0.0536631	0.0170724
d	0.00618578	0.0173121	0.0100293	0.0294625	0.019641	0.014704	0.0485717	0.410428	0.255009	0.10505	0.0275292	0.0389656	0.0171128
z	0.00116435	0.00154688	0.00111643	0.00541218	0.00761551	0.00882644	0.0118813	0.711149	0.0427752	0.00278727	0.00752539	0.0496511	0.148549
e	0.0013817	0.00283579	0.00551252	0.0273884	0.0339335	0.096067	0.0092248	0.675305	0.0320989	0.00144003	0.0129624	0.0248994	0.0769503
b	0.00431937	0.000167228	0.00564719	0.0222142	0.0139925	0.0840985	0.0656977	0.194773	0.20468	0.015375	0.136785	0.0729117	0.179339
í	0.00101236	0.000290706	0.00362201	0.0118589	0.0197515	0.0500138	0.316893	0.0432038	0.237279	0.150892	0.0342564	0.0518735	0.0790518
s	0.000409408	0.000202069	0.00335859	0.00365509	0.00165832	0.0364482	0.590834	0.00789312	0.045859	0.237922	0.0277762	0.00850699	0.035477
í	0.00200905	0.00227447	0.00205694	0.00467059	0.00849866	0.10604	0.22964	0.0455766	0.12704	0.0341797	0.0565505	0.217441	0.164022
l	0.000500264	0.000308493	0.00194828	0.00447867	0.0059669	0.0360792	0.0785523	0.116037	0.103942	0.0154633	0.129422	0.225043	0.282259
é	0.00140397	0.00109307	0.00400413	0.0131633	0.00825462	0.0212341	0.0513851	0.051258	0.0366969	0.00894296	0.111989	0.453878	0.236697
e	0.00017848	0.000136238	0.000950946	0.00235242	0.00621817	0.0167638	0.0109996	0.0275558	0.045005	0.00748044	0.0485998	0.660384	0.173375
s	0.000431178	0.000549806	0.00267169	0.00958713	0.00868255	0.0037433	0.00286535	0.0421297	0.0221679	0.00250134	0.0682826	0.528735	0.307652
é	0.000435505	0.00100899	0.003356	0.00907246	0.00465768	0.00580551	0.00451519	0.0495529	0.0127201	0.000746214	0.0273523	0.741181	0.139596
a	0.0001876	0.000128082	0.00104272	0.00302767	0.00358252	0.0137775	0.00565816	0.050276	0.015191	0.00059173	0.0433842	0.522949	0.340204
</S>	0.000910681	0.000159102	0.00297078	0.0121197	0.00589551	0.0101467	0.00701196	0.0207924	0.0223823	0.00116697	0.169568	0.283137	0.463739
