 	mon	père	m	a	donné	un	bel	instrument	musical	à	cordes	</S>
t	0.0807787	0.899901	0.0171131	0.000835661	0.000313779	0.000237087	1.24131e-05	0.000342368	0.000246964	0.000212379	5.11719e-06	1.335e-06
á	0.0399317	0.941682	0.0112445	0.00129755	0.000772939	0.000543675	0.00025533	0.00144578	0.00194808	0.000631599	5.63338e-05	0.000190299
á	0.016743	0.817331	0.0724166	0.0296876	0.0169861	0.00544277	0.00155248	0.00603228	0.00241591	0.000838067	0.00250126	0.0280531
y	0.305453	0.278564	0.318988	0.0712107	0.0106019	0.0024512	0.000270029	0.00182314	0.000644525	0.00314295	0.000740854	0.00611039
a	0.333918	0.0696979	0.387494	0.131949	0.0341119	0.00643606	0.0016334	0.0073067	0.00297705	0.00361832	0.000746513	0.0201107
n	0.684045	0.122284	0.151587	0.0233618	0.00425655	0.00134087	0.000604375	0.00218914	0.000939577	0.00177717	0.000416793	0.00719799
g	0.976955	0.00305236	0.0126269	0.00185609	0.000489484	0.000443178	3.81816e-05	0.00314288	0.000247682	0.000241148	0.000200196	0.000706667
á	0.488606	0.0744659	0.341053	0.0470522	0.00779454	0.00667057	0.000516921	0.0214342	0.00261631	0.00057592	0.00121746	0.00799735
á	0.0343257	0.0215795	0.331398	0.300389	0.169162	0.0790414	0.012655	0.0151392	0.00707024	0.00889439	0.00381262	0.0165325
m	0.0020157	0.000255816	0.0392372	0.196928	0.397325	0.301391	0.0544348	0.00340821	0.00146662	0.000266868	0.000228375	0.00304198
i	0.00062033	0.00011984	0.0158883	0.112828	0.250005	0.570107	0.0339884	0.00447599	0.00512689	0.00166486	0.000268987	0.00490604
p	0.000416083	8.45859e-06	0.0036599	0.0512907	0.394923	0.45252	0.0909635	0.00164046	0.00115945	0.000189914	5.52188e-05	0.0031732
έ	7.89433e-05	5.39021e-06	0.000295628	0.012861	0.254154	0.293573	0.433646	0.00100974	0.00162489	0.000103273	3.39652e-05	0.00261462
n	0.00244516	0.00121266	0.00959282	0.0519314	0.14431	0.333021	0.304221	0.0724251	0.0504198	0.00402874	0.00216825	0.0242247
g	0.0598693	0.00227376	0.00466685	0.0416056	0.0539625	0.203673	0.0515011	0.388927	0.10668	0.0283398	0.0194502	0.0390508
á	0.501355	0.0179507	0.00815354	0.0293129	0.0214821	0.0459158	0.00349123	0.288182	0.0451856	0.0215122	0.00953273	0.00792642
l	0.000120795	3.20432e-05	3.52766e-05	0.000279168	0.00177212	0.0296799	0.104144	0.387986	0.43916	0.0289373	0.00466959	0.00318332
έ	0.0223302	0.000356369	0.000812912	0.00331162	0.00360087	0.0191942	0.0648598	0.616029	0.176895	0.0195937	0.0351225	0.0378934
n	0.00161955	0.000275049	0.00115629	0.00274862	0.00196003	0.0193445	0.14893	0.413582	0.35257	0.0162886	0.0172166	0.0243085
g	0.0026039	1.95378e-05	9.34162e-05	0.000274886	0.000452191	0.0107105	0.0271923	0.817647	0.121351	0.0127316	0.00420637	0.00271731
έ	0.00671185	0.000173828	0.000536182	0.000675859	0.00064518	0.00629775	0.0393249	0.71134	0.222806	0.00586253	0.00304293	0.00258245
l	0.000167302	0.000112678	5.7208e-05	0.000227075	0.000308002	0.00541165	0.0602365	0.353716	0.436077	0.0892727	0.00975895	0.0446555
í	0.000187436	0.000124725	3.20533e-05	0.000249473	0.000763014	0.0105098	0.0855074	0.346775	0.314441	0.0900441	0.0138871	0.137479
b	0.00331479	6.02262e-05	0.000148117	0.00102905	0.00138773	0.00330334	0.0210447	0.112133	0.106239	0.289541	0.26559	0.196208
v	0.00338583	0.00072325	4.83823e-05	0.000826443	0.00126008	0.00158314	0.0128108	0.049573	0.167057	0.056197	0.58969	0.116845
έ	0.0011555	2.66759e-06	1.82352e-06	4.24353e-05	0.000100357	0.000496824	0.00118743	0.038666	0.0122387	0.0200817	0.903234	0.0227924
</S>	0.000843238	1.51636e-05	1.37577e-05	0.000282749	0.000285094	0.000960823	0.00140349	0.0521936	0.046081	0.15906	0.342952	0.395909
