 	il	fait	une	boucle	avec	la	corde	</S>
w	0.652416	0.206643	0.057486	0.0428296	0.0167146	0.0151584	0.00673227	0.00201994
a	0.701474	0.0792602	0.0509059	0.06186	0.0440528	0.0436904	0.0185517	0.00020543
a	0.298501	0.525773	0.106096	0.020014	0.0141934	0.0127205	0.00280963	0.0198926
k	0.0968078	0.537094	0.209638	0.0400536	0.0346042	0.0209403	0.00592753	0.0549345
a	0.0152096	0.350255	0.295549	0.110104	0.144316	0.0309614	0.00239455	0.0512104
n	0.00535872	0.241038	0.280324	0.295281	0.0946252	0.0219838	0.00977675	0.0516116
g	0.0644148	0.261213	0.313991	0.184377	0.0988881	0.0156449	0.00403703	0.0574351
í	0.167044	0.297638	0.202617	0.146103	0.0698264	0.0174561	0.00529959	0.0940151
s	0.0391566	0.0337154	0.134428	0.50438	0.187643	0.0699032	0.0185401	0.0122338
i	0.00582197	0.039306	0.0893799	0.68475	0.096335	0.0286943	0.0296355	0.0260775
n	0.00386787	0.0150797	0.0718696	0.438922	0.229235	0.074048	0.130711	0.0362664
g	0.00384898	0.00681741	0.0217263	0.740747	0.0957751	0.035932	0.0726358	0.0225179
a	0.00135303	0.00603159	0.0248586	0.704063	0.0626239	0.0237396	0.166965	0.0103653
k	0.00114032	0.0130983	0.0601108	0.289174	0.171517	0.0899648	0.168318	0.206677
ó	0.00823735	0.015016	0.0392047	0.0786369	0.442723	0.152439	0.0269502	0.236792
l	0.00209141	0.0121986	0.0589274	0.0405073	0.19865	0.121363	0.174914	0.391348
o	0.000965368	0.00828503	0.0295911	0.0942495	0.193007	0.165664	0.273582	0.234657
</S>	0.00134012	0.00395346	0.0120962	0.0060504	0.0620031	0.10819	0.115897	0.69047
