 	l'	assesseur	parle	avec	un	petit	balai	à	la	main	</S>
o	0.571012	0.401497	0.0119378	0.00532865	0.00493486	0.00189519	0.000447959	0.00108742	0.00170708	0.000116215	3.54569e-05
b	0.166584	0.802551	0.0163464	0.00384758	0.00150876	0.00175497	0.000599714	0.000583629	0.000762683	0.00260876	0.00285199
é	0.0422	0.876489	0.0259452	0.00848884	0.00483483	0.00123442	0.000955355	0.00203186	0.00378567	0.0313475	0.00268685
l	0.0324181	0.751384	0.108431	0.0363177	0.0150342	0.00275096	0.00263651	0.00312015	0.00149776	0.00162298	0.044787
a	0.515465	0.386257	0.0260061	0.0124231	0.00756522	0.00404909	0.00455507	0.00640103	0.00185252	0.000916815	0.0345093
m	0.30052	0.279154	0.265784	0.0738035	0.0182012	0.00757789	0.00764507	0.0105194	0.00329916	0.000922404	0.0325742
ó	0.434434	0.0361914	0.151741	0.0888478	0.0486348	0.0699917	0.0740547	0.0259368	0.0208401	0.00642931	0.0428983
o	0.306551	0.0727951	0.251286	0.19534	0.0826603	0.028555	0.0180254	0.00956411	0.00779439	0.00428541	0.0231427
t	0.00762414	0.0170004	0.526204	0.310378	0.0865569	0.0145467	0.0077805	0.00656644	0.00323227	0.00224997	0.0178611
i	0.00434506	0.0228494	0.562175	0.227299	0.0969942	0.0184849	0.0141074	0.0108181	0.00179508	0.00178153	0.0393509
á	0.00882621	0.0234213	0.49105	0.312471	0.104648	0.0111128	0.00970892	0.007634	0.00267011	0.000677895	0.0277792
l	0.0107638	0.00328575	0.0268495	0.172925	0.340448	0.233223	0.116206	0.0424394	0.0352177	0.00728502	0.0113565
a	0.00324299	0.00166976	0.013634	0.164259	0.367733	0.170682	0.0649046	0.0522022	0.039399	0.0125963	0.109678
m	0.010604	0.00205624	0.0117558	0.0904207	0.322447	0.345517	0.125655	0.0337472	0.0240811	0.0133512	0.020365
w	0.00449203	0.00255518	0.00456781	0.0478282	0.111959	0.146266	0.537902	0.0673412	0.0236425	0.00643089	0.0470151
á	0.00172763	0.00391022	0.00845674	0.051153	0.15681	0.128892	0.473187	0.0709429	0.0208267	0.0701958	0.013898
n	0.0130377	0.00772061	0.0210562	0.0534714	0.0939644	0.0878709	0.449948	0.0907041	0.0282888	0.0213525	0.132586
d	0.0797719	0.0363004	0.00627727	0.046881	0.133626	0.217345	0.184513	0.0822338	0.0648598	0.0175837	0.130608
z	0.00668833	0.00185605	0.00263515	0.037367	0.212904	0.3208	0.127052	0.0945753	0.0948749	0.015539	0.085709
i	0.0098263	0.00277122	0.00226964	0.0299091	0.192796	0.350672	0.158166	0.0924659	0.0571892	0.0103678	0.0935673
m	0.00557036	0.00242967	0.0109651	0.0450649	0.0691694	0.0773787	0.11533	0.209042	0.101418	0.138889	0.224743
á	0.0107755	0.000616802	0.00262477	0.0226928	0.0539327	0.103953	0.18877	0.170228	0.207833	0.0229218	0.215651
b	0.00639116	0.00570158	0.0105086	0.0248353	0.0462724	0.0847437	0.0664634	0.126912	0.193476	0.24449	0.190206
ώ	0.00619803	0.00781252	0.00861748	0.01506	0.0114477	0.00513254	0.0248736	0.0603639	0.0996234	0.751172	0.00969889
ω	0.000189863	0.000350377	0.000989125	0.00293691	0.00457141	0.00208604	0.0223112	0.0315896	0.028365	0.866962	0.0396489
</S>	0.00216344	0.000127328	0.00114323	0.00669782	0.00771293	0.0218951	0.0472097	0.178966	0.216758	0.0559149	0.461411
