 	il	est	arrivé	aussitôt	après	ton	départ	</S>
n	0.466759	0.199688	0.090236	0.0756148	0.0247431	0.108348	0.0274118	0.00719942
ω	0.470759	0.0645586	0.0179067	0.0371337	0.178698	0.218604	0.00824282	0.00409747
l	0.211068	0.190158	0.0950698	0.0459285	0.219158	0.166739	0.00415581	0.0677244
ώ	0.0306713	0.0385518	0.056747	0.0732498	0.0945604	0.126088	0.0241801	0.555951
t	0.138801	0.139413	0.177238	0.149517	0.061211	0.183196	0.0207071	0.129918
έ	0.023539	0.0596856	0.102724	0.55103	0.0472836	0.0259748	0.112357	0.0774055
m	0.0257697	0.0379555	0.105535	0.282912	0.0644836	0.243231	0.0958818	0.144232
ε	0.0425161	0.0268817	0.0462964	0.714751	0.0369393	0.0269447	0.0277732	0.0778972
o	0.0723609	0.120277	0.213524	0.300067	0.103685	0.0737437	0.0302875	0.0860545
d	0.00515981	0.112398	0.215996	0.193989	0.124883	0.0373753	0.222787	0.0874112
í	0.00129464	0.0226737	0.0352266	0.0512503	0.0196194	0.014787	0.147414	0.707734
n	0.00434328	0.0264929	0.0643192	0.0672102	0.0316856	0.0724511	0.150499	0.582998
g	0.00329287	0.017577	0.0685003	0.0165601	0.245455	0.542333	0.0237583	0.082523
á	0.00416215	0.0138669	0.0765046	0.0310355	0.512782	0.295394	0.01134	0.0549154
k	0.00395244	0.00327401	0.0315644	0.165716	0.138471	0.451649	0.172376	0.0329978
a	0.000689757	0.0032652	0.00611149	0.0193477	0.00802793	0.0261243	0.880779	0.0556543
á	0.000419872	0.00261242	0.0198687	0.0427981	0.038896	0.124852	0.502654	0.267899
w	0.00762916	0.00973025	0.0367717	0.0199818	0.0672181	0.230568	0.0854475	0.542654
a	0.00503942	0.00866835	0.0650513	0.124727	0.135487	0.249241	0.291698	0.120089
a	0.00429662	0.00370439	0.0227045	0.0485717	0.0804022	0.277393	0.157306	0.405622
p	0.00890138	0.0676358	0.101385	0.019491	0.0446966	0.169456	0.0955473	0.492888
f	0.00134038	0.00992854	0.0431284	0.0360435	0.0297818	0.0581578	0.503298	0.318322
e	0.00845272	0.0350874	0.0749566	0.0463509	0.0286411	0.089284	0.432743	0.284484
</S>	0.00230743	0.0053454	0.0107056	0.00994886	0.0129456	0.0974585	0.19237	0.668918
