 	il	pleut	et	il	y	a	des	éclairs	</S>
m	0.603696	0.031559	0.11216	0.0256425	0.0881037	0.0407551	0.0413933	0.0511313	0.00555968
v	0.325548	0.258823	0.0830224	0.0612042	0.0325802	0.0307619	0.04553	0.00133612	0.161194
ú	0.0944495	0.8317	0.00973894	0.0142242	0.0100075	0.0160002	0.0135654	0.00722925	0.00308495
á	0.174943	0.57269	0.0519853	0.0206619	0.0163616	0.0265894	0.0465998	0.00555145	0.0846176
l	0.280002	0.141741	0.348967	0.06578	0.0352829	0.0209093	0.0261682	0.00389376	0.0772561
á	0.0640019	0.080912	0.100857	0.0574821	0.0346019	0.0385665	0.0485461	0.00294486	0.572088
a	0.395916	0.0102192	0.204184	0.155388	0.111834	0.0320204	0.0467595	0.00766122	0.0360188
n	0.0243715	0.465238	0.0755243	0.0625277	0.0734165	0.121777	0.0363861	0.0399612	0.100798
ώ	0.0125446	0.913665	0.0191732	0.00638303	0.00671562	0.0119671	0.00762378	0.00244612	0.0194816
ω	0.0119854	0.645845	0.0957167	0.0175435	0.0896377	0.0601079	0.0541914	0.0051598	0.0198133
i	0.00820185	0.0128009	0.152763	0.202269	0.319359	0.173854	0.116674	0.00698236	0.0070961
k	0.0152464	0.00846032	0.128253	0.271758	0.240426	0.156453	0.0998455	0.022568	0.0569893
o	0.0007624	0.0096677	0.0186353	0.0451873	0.211114	0.193941	0.0468167	0.42512	0.0487555
ó	0.00053028	0.00458019	0.022475	0.0272276	0.179394	0.169966	0.103456	0.46409	0.0282811
l	0.00457688	0.00209683	0.0353226	0.0978254	0.120406	0.216472	0.402896	0.0488229	0.0715814
í	0.00480055	0.0120034	0.024807	0.0702168	0.0560139	0.152327	0.122837	0.0223278	0.534666
i	0.00569556	0.00195635	0.044957	0.12342	0.136519	0.14914	0.305895	0.0268429	0.205573
b	0.00233551	0.00827684	0.00343448	0.00965495	0.0149769	0.0858628	0.140572	0.566903	0.167983
h	0.000720657	0.000432495	0.00232744	0.00568496	0.00933547	0.0457488	0.076773	0.848133	0.0108444
ε	0.000108895	0.000236756	0.000241556	0.00141053	0.00222257	0.0208521	0.0221709	0.927468	0.0252882
l	0.00129089	0.00283308	0.00755599	0.0180067	0.0769492	0.0761279	0.0878506	0.521256	0.20813
i	0.00111296	0.0033558	0.0067929	0.0703576	0.122862	0.112748	0.106587	0.343687	0.232498
m	0.000751678	0.0033449	0.00474313	0.00881405	0.0341685	0.0553784	0.336905	0.0737376	0.482157
ε	0.0219611	0.00176318	0.0114711	0.0167491	0.0199806	0.0411328	0.27646	0.0801692	0.530313
</S>	0.00103167	0.000487852	0.00402898	0.00775038	0.01579	0.0362688	0.245256	0.0665732	0.622814
