 	le	peroquet	a	un	bec	tordu	</S>
k	0.382977	0.578164	0.0344001	0.00273659	0.00111578	0.00052234	8.47763e-05
o	0.0155452	0.977529	0.00458752	0.000635333	0.000554889	0.00101676	0.000130938
s	0.010582	0.951444	0.0213441	0.0105671	0.00225389	0.000789208	0.00301986
o	0.22345	0.696297	0.0555826	0.00501689	0.00356706	0.00244215	0.0136445
a	0.169872	0.0174548	0.773573	0.0303422	0.00137582	0.00144821	0.00593391
d	0.02929	0.00766045	0.661989	0.254583	0.0311945	0.00354354	0.0117393
í	0.0145966	0.00165628	0.221432	0.550434	0.00380063	0.00407245	0.204009
o	0.0224304	0.0051168	0.180174	0.320909	0.192001	0.0397189	0.23965
t	0.000734753	0.00108962	0.0015911	0.145087	0.763675	0.0663131	0.0215091
o	0.00034529	0.00386693	0.000638635	0.0331511	0.890378	0.0439386	0.0276818
b	0.000412253	0.00366717	0.00217431	0.0696256	0.428132	0.329595	0.166394
h	0.0249872	0.00911009	0.00881965	0.0540258	0.762208	0.0635963	0.0772532
o	0.00330554	0.00229755	0.00508235	0.0335725	0.140326	0.307631	0.507785
l	0.0017572	0.000291603	0.0159331	0.0247077	0.0504634	0.486429	0.420418
a	0.00772822	0.00104365	0.0262282	0.112502	0.0363587	0.421032	0.395108
k	0.00367956	0.000563188	0.0147368	0.0105528	0.00697992	0.452012	0.511476
ω	0.00320945	0.0260776	0.00625472	0.00930233	0.215834	0.61884	0.120482
r	0.000377321	0.00678121	0.00120528	0.0165443	0.118619	0.794115	0.0623581
ώ	0.00775339	0.014622	0.0100472	0.066256	0.0755011	0.596329	0.229491
r	0.0183254	0.000152842	0.00603812	0.00966211	0.00124065	0.439372	0.525209
ώ	0.0483566	0.00151687	0.018561	0.0507179	0.00367752	0.41012	0.46705
</S>	0.062321	0.000849689	0.0192904	0.00754671	0.000861689	0.273802	0.635329
