 	on	ne	refuse	pas	de	têter	même	quand	sa	mère	a	une	plaie	au	sein	</S>
i	0.439588	0.162961	0.130876	0.0661782	0.059843	0.0329411	0.0420451	0.0210857	0.0208222	0.00090587	0.00652152	0.00506806	0.00429796	0.00534481	0.00147898	4.17723e-05
b	0.10099	0.353963	0.184455	0.117059	0.0371797	0.0134312	0.061696	0.0285765	0.00568918	0.0012208	0.0346518	0.0434595	0.011143	0.0023273	0.00202265	0.00213604
έ	0.0230431	0.0854594	0.504795	0.183394	0.0779586	0.0375242	0.0445642	0.00965187	0.00657574	0.000617209	0.00425327	0.00790598	0.00686781	0.00216847	0.00114068	0.00408093
ε	0.0332091	0.129844	0.260985	0.146686	0.0799984	0.0587232	0.050361	0.100916	0.0104109	0.000328896	0.0142089	0.0165379	0.0132022	0.00778776	0.00123296	0.0755676
l	0.194246	0.222014	0.202811	0.163618	0.0870861	0.0235077	0.0213136	0.0160512	0.00477419	0.000388076	0.0168173	0.00963617	0.00738777	0.00405258	0.000562551	0.0257327
á	0.0709914	0.116519	0.12423	0.154081	0.0618591	0.0398208	0.0252217	0.079527	0.0199827	0.00152167	0.0734152	0.0536573	0.0229399	0.0173659	0.003285	0.135582
n	0.182946	0.0603966	0.0408054	0.112513	0.183865	0.117326	0.0482832	0.057967	0.099939	0.0233337	0.0178657	0.0106639	0.00999064	0.0130915	0.00638038	0.0146338
g	0.0523505	0.0410317	0.0271868	0.0552464	0.0675653	0.0564993	0.0185879	0.128737	0.226809	0.235747	0.032398	0.0161983	0.00584715	0.0193936	0.000483412	0.015918
ó	0.0157683	0.0160971	0.021479	0.0509511	0.0642323	0.0739002	0.0147023	0.168579	0.0554915	0.45802	0.0224418	0.0108947	0.00310298	0.00644366	0.00107236	0.0168231
o	0.00635516	0.0125129	0.0138898	0.0249057	0.0535854	0.119623	0.0362665	0.147399	0.127682	0.295437	0.0396373	0.019811	0.00792637	0.0326933	0.0151608	0.0471154
á	0.0312756	0.0443533	0.0682646	0.106933	0.220092	0.247938	0.139856	0.0423503	0.0125065	0.0417883	0.0221617	0.00933222	0.00556801	0.00401284	0.000622004	0.00294616
d	0.0194276	0.0230984	0.0216085	0.0568273	0.0529237	0.0905258	0.233577	0.148036	0.00433728	0.176426	0.0934553	0.0497422	0.0205985	0.00207055	0.000750648	0.00659578
i	0.00279528	0.00291773	0.00237602	0.0234969	0.0355822	0.0266437	0.19233	0.14648	0.0070685	0.00198607	0.229337	0.157447	0.0288014	0.0124868	0.00300521	0.127246
í	0.00849702	0.00826222	0.0113042	0.0401758	0.0520873	0.0375588	0.273037	0.192215	0.0244322	0.00312402	0.120806	0.123877	0.0543341	0.0243465	0.00289462	0.0230485
o	0.00576493	0.00346718	0.00638679	0.012587	0.0220103	0.0483768	0.107153	0.243771	0.0671597	0.0746595	0.120321	0.144783	0.0886873	0.0258834	0.0108608	0.0181279
t	0.00154678	0.011123	0.0109282	0.025068	0.0192301	0.0272773	0.190102	0.125342	0.0101943	0.0346189	0.108871	0.225296	0.167052	0.00964295	0.0222686	0.01144
ó	0.000571685	0.00640307	0.00522941	0.0199347	0.0152694	0.0178809	0.0798711	0.128893	0.0126362	0.0117916	0.102284	0.285784	0.204623	0.00656252	0.034169	0.0680957
n	0.00025869	0.00182625	0.0107308	0.0293301	0.045005	0.0619438	0.103358	0.0918683	0.00505802	0.0249021	0.0486756	0.18647	0.246729	0.0202626	0.0328129	0.0907691
á	0.00214251	0.00655048	0.0227391	0.043897	0.0490036	0.0713752	0.068937	0.138314	0.00974017	0.0170242	0.0887505	0.182891	0.189044	0.0305982	0.0163822	0.0626105
m	0.00135958	0.001178	0.00170288	0.00574642	0.0140835	0.0347265	0.0689789	0.179829	0.161677	0.00376768	0.0779317	0.081198	0.119254	0.160408	0.0572679	0.03089
ó	0.00215299	0.00470141	0.00187211	0.00861854	0.0213667	0.0399024	0.0981213	0.0478825	0.128912	0.000485286	0.0407321	0.0501938	0.0966826	0.123607	0.0772669	0.257502
p	0.00142349	0.00537423	0.00559833	0.0109487	0.0125309	0.0243581	0.0882984	0.100069	0.0448663	0.00536875	0.0516226	0.0521937	0.156064	0.0718869	0.342323	0.0270738
ó	0.000746223	0.00300785	0.00227871	0.00697992	0.0069363	0.00813203	0.0299015	0.0296311	0.023294	0.00169242	0.0199329	0.0440083	0.175481	0.0167722	0.611379	0.0198263
r	0.000196659	0.000220007	0.000632457	0.00139913	0.00207753	0.00492608	0.0106553	0.0280213	0.0110198	0.00329684	0.0111427	0.0335781	0.198041	0.0359748	0.59483	0.063988
á	0.000793279	0.00187659	0.00528048	0.00815746	0.00850521	0.0134484	0.016587	0.0778911	0.0102259	0.00361832	0.0343616	0.148787	0.38115	0.0580818	0.109891	0.121345
k	0.00236146	0.00119362	0.00188221	0.00403241	0.00686421	0.00989527	0.0158858	0.0760488	0.0800455	0.000568501	0.0379866	0.0456491	0.0569551	0.266773	0.130159	0.263699
a	0.00225686	0.00496243	0.0164366	0.0106513	0.00833743	0.0102216	0.0251006	0.0291215	0.0690065	0.000268398	0.0209715	0.0291295	0.263844	0.0336605	0.422037	0.0539942
á	0.000354553	0.0002221	0.000864228	0.000805717	0.00191997	0.00302053	0.00505689	0.015736	0.0861568	0.000303571	0.00944576	0.0204327	0.142154	0.061661	0.451493	0.200373
</S>	0.00240061	0.00111946	0.00161531	0.00191624	0.00257517	0.00450909	0.00751611	0.03161	0.0387708	0.000506638	0.0595292	0.0193692	0.00899634	0.12284	0.0277138	0.669012
