 	ils	ont	levé	l'	ancre	hier	</S>
b	0.813313	0.142999	0.0219014	0.0202009	0.000163597	0.000620749	0.000800478
á	0.536843	0.0521644	0.395454	0.014016	0.000963859	0.000247679	0.000310672
a	0.490871	0.0721559	0.432513	0.00292312	0.000410359	0.00015017	0.000976089
á	0.176413	0.539172	0.126773	0.0626603	0.0131479	0.00170903	0.0801252
b	0.00476506	0.259446	0.148805	0.237291	0.316152	0.0120557	0.0214851
í	0.00835467	0.147239	0.493284	0.181059	0.0946992	0.00847339	0.0668906
l	0.0127191	0.0674747	0.234945	0.147438	0.388565	0.0150016	0.133857
i	0.0384414	0.106985	0.23462	0.284608	0.223456	0.0667278	0.0451616
b	0.0879238	0.0724124	0.475593	0.125012	0.110697	0.053738	0.0746238
v	0.128783	0.0696189	0.554022	0.0981934	0.0486854	0.0690765	0.0316203
á	0.0257931	0.0231618	0.894069	0.0312482	0.0159808	0.00538161	0.00436573
r	0.212993	0.0322254	0.598402	0.0259092	0.0201636	0.0433359	0.0669703
e	0.0136259	0.0170591	0.0407417	0.414646	0.233308	0.0192247	0.261395
l	0.00085961	0.0178087	0.0337098	0.25165	0.285579	0.0962359	0.314157
a	0.00880821	0.0151234	0.019256	0.0960868	0.178202	0.358322	0.324202
a	0.00662833	0.00515705	0.00432766	0.0370372	0.0481742	0.752063	0.146613
p	0.00119189	0.00657281	0.00627215	0.028534	0.067946	0.696217	0.193266
ó	0.000214374	0.00565909	0.002601	0.00849894	0.0139639	0.895245	0.0738177
a	9.43427e-05	0.00132969	0.0016473	0.00741831	0.0269765	0.766199	0.196335
</S>	0.00218423	0.0179654	0.0270351	0.0336099	0.0179504	0.147536	0.753719
