 	je	l'	ai	attendu	un	bout	de	temps	</S>
n	0.900818	0.0812479	0.0107074	0.00544708	0.000871068	0.000148214	0.00043685	0.000238294	8.52154e-05
g	0.822404	0.0933616	0.0587724	0.0210032	0.0015266	0.000436193	0.000334274	0.00198696	0.000174714
á	0.601146	0.22015	0.169888	0.00278957	0.000668415	0.000365019	0.000328187	0.00448804	0.000176526
í	0.0774944	0.248491	0.302606	0.00897798	0.0123845	0.0111722	0.0237774	0.0421832	0.272913
k	0.00932055	0.0636136	0.654193	0.251093	0.00646141	0.0040621	0.00111225	0.00090084	0.00924361
o	0.00162988	0.0384543	0.225241	0.623023	0.0365981	0.0180359	0.00447633	0.00387642	0.0486646
n	2.41818e-05	0.00168578	0.0446455	0.947177	0.00494266	0.000460383	0.000112739	0.000373941	0.000577745
g	0.0046157	0.0198168	0.099201	0.75894	0.078739	0.0124439	0.00267836	0.00174365	0.0218212
i	0.00664047	0.043044	0.0742043	0.653275	0.116961	0.0206869	0.0117856	0.0188071	0.0545961
i	0.0280771	0.0598291	0.0547609	0.0460984	0.617688	0.0838897	0.0418217	0.0089513	0.0588835
w	0.00284515	0.0127058	0.0355858	0.0254581	0.597822	0.181062	0.0298591	0.013335	0.101327
a	0.00990198	0.0215499	0.108401	0.0318232	0.419614	0.219391	0.0828701	0.0223264	0.084122
o	0.00617701	0.0183248	0.04853	0.0155121	0.539529	0.189683	0.0575723	0.0106605	0.114011
t	9.42809e-05	0.00048737	0.00301622	0.0319737	0.569298	0.204402	0.0508184	0.0212635	0.118647
í	0.00013446	0.000723157	0.00597815	0.0506808	0.330554	0.219839	0.0452357	0.156367	0.190488
i	0.000188055	0.00367352	0.0277802	0.0264833	0.185697	0.343576	0.0508606	0.0560752	0.305666
s	6.0507e-05	0.000729741	0.00340184	0.00097549	0.0945305	0.457636	0.23973	0.0578962	0.14504
í	6.42382e-05	0.000485989	0.00583584	0.0225141	0.0948786	0.352004	0.0922437	0.0948632	0.337111
</S>	0.000850669	0.00186751	0.00257883	0.00042508	0.0106653	0.115011	0.219726	0.17745	0.471427
