 	ii	a	appris	la	nouvelle	aux	villageois	</S>
w	0.966739	0.00483869	0.00174513	0.00315735	0.00129457	0.0208953	0.000967663	0.000361988
a	0.888985	0.0281805	0.0171276	0.033232	0.00131193	0.0309907	0.000138778	3.3328e-05
á	0.0393299	0.774541	0.160996	0.0164201	0.00108637	0.00429152	0.000144752	0.0031899
s	0.0162292	0.441251	0.474466	0.0252991	0.00957685	0.0115564	0.00242447	0.0191965
ε	0.00206624	0.16441	0.720611	0.0373838	0.0443103	0.00254564	0.000226819	0.0284463
r	0.00215036	0.210984	0.579132	0.147242	0.035573	0.00573011	7.97276e-05	0.0191098
i	0.011402	0.280002	0.421798	0.202454	0.0259953	0.0504426	0.000247961	0.00765722
t	0.0261403	0.154146	0.180132	0.424762	0.121543	0.0574853	0.0229022	0.0128888
s	0.0273645	0.0291828	0.0576325	0.399101	0.438531	0.0198095	0.0152886	0.0130895
a	0.000972393	0.0198477	0.0833767	0.330794	0.490007	0.0613938	0.00839512	0.00521379
n	0.00276423	0.0437097	0.137724	0.235032	0.365158	0.072891	0.0135381	0.129183
g	0.00105219	0.00957537	0.0450862	0.165336	0.64707	0.0569328	0.00259735	0.0723497
e	0.000669813	0.00710465	0.01513	0.0819623	0.809625	0.0428001	0.000399313	0.0423083
l	0.00094928	0.0299659	0.0496409	0.134592	0.249899	0.392483	0.00936173	0.133109
a	0.000518303	0.00645028	0.0509143	0.175291	0.400612	0.111977	0.0216815	0.232556
b	0.00112573	0.0095461	0.0169422	0.092215	0.324271	0.277546	0.135705	0.14265
a	0.025047	0.0143104	0.0707263	0.199265	0.159084	0.389852	0.0975709	0.0441441
r	0.000604077	0.00562565	0.0542692	0.0961326	0.0951302	0.423504	0.136989	0.187746
e	0.000204853	0.00233843	0.0168806	0.124147	0.364557	0.163226	0.0129594	0.315686
b	0.000104082	0.0157344	0.0288971	0.0551211	0.0841446	0.460852	0.0583281	0.296818
á	0.0031179	0.0165771	0.0812317	0.187189	0.0831029	0.211436	0.0329165	0.384429
p	0.00190404	0.0200068	0.0601351	0.0379438	0.0119556	0.129724	0.497365	0.240966
o	0.000100884	0.000156064	0.000503676	0.00113725	0.00193014	0.00252642	0.982672	0.0109738
o	1.92279e-05	0.000332621	0.00197534	0.0121458	0.0261404	0.00561438	0.862393	0.0913795
</S>	3.16297e-05	0.00382426	0.00930722	0.0118087	0.0033115	0.0431368	0.0219207	0.906659
