 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
b	0.786682	0.112948	0.0381674	0.0169936	0.0164396	0.00669205	0.0103287	0.00288686	0.000780711	0.00417963	0.0037654	0.000112097	2.40491e-05
í	0.457449	0.336448	0.0671181	0.0264574	0.0402307	0.00184562	0.01249	0.013619	0.00716621	0.00873176	0.0214676	0.00643231	0.000544084
l	0.695906	0.218928	0.0201184	0.00742347	0.00643373	0.00438054	0.0119574	0.0100565	0.00482276	0.00487939	0.00771318	0.00360821	0.00377212
á	0.817445	0.115611	0.0110446	0.00344478	0.00714147	0.00388731	0.00555841	0.00198925	0.00173894	0.00226001	0.00417456	0.00182154	0.0238835
n	0.175882	0.275093	0.0280031	0.0377687	0.043877	0.00477392	0.0447646	0.040803	0.0185937	0.0349159	0.0590703	0.00729111	0.229163
g	0.217054	0.536478	0.027172	0.0122677	0.0182665	0.0166204	0.0299103	0.00555329	0.00134577	0.00603753	0.106555	0.00137374	0.0213661
á	0.185773	0.695071	0.0711124	0.00280385	0.00387753	0.00546793	0.00416532	0.0010568	0.000427669	0.00065247	0.024587	0.00221428	0.0027909
o	0.0912097	0.194216	0.255187	0.112921	0.0525113	0.0130891	0.0476487	0.0441116	0.0247807	0.0531389	0.0220622	0.00376214	0.0853623
t	0.147251	0.102454	0.677984	0.0326851	0.00601192	0.00652729	0.00187144	0.00616822	0.0132563	0.00243283	0.000248269	0.000350987	0.00275776
ó	0.0240193	0.0157909	0.846481	0.0582145	0.00410113	0.0043952	0.00509797	0.00724388	0.0158994	0.00178422	0.000277827	0.00320963	0.0134854
n	0.0422888	0.0252909	0.76337	0.0695509	0.0037129	0.00356253	0.00568337	0.00944409	0.0176371	0.00187507	0.000321637	0.00246378	0.0547992
g	0.0942938	0.128686	0.556769	0.0852507	0.0165597	0.022104	0.0210011	0.0100582	0.0088045	0.00747218	0.00488448	0.00222559	0.0418901
o	0.090537	0.0889158	0.728753	0.0311739	0.00772627	0.0127759	0.011311	0.00143826	0.000848628	0.00253507	0.00531625	0.00417008	0.0144987
m	0.0350101	0.190203	0.234148	0.297338	0.123025	0.0479191	0.0366344	0.0184411	0.00374243	0.00482831	0.00194007	0.00180815	0.00496349
á	0.000563581	0.0274765	0.0586834	0.467977	0.255292	0.0581882	0.0687915	0.0291745	0.0104232	0.00666304	0.00219609	0.000634943	0.0139365
n	0.0178366	0.0371274	0.126101	0.262876	0.161449	0.280227	0.0399755	0.0209374	0.0214669	0.00977449	0.00356122	0.0110386	0.00762925
d	0.00781386	0.0647877	0.0292523	0.0357182	0.116275	0.552955	0.0472257	0.00419044	0.00153888	0.00852531	0.117196	0.00400404	0.0105169
z	0.00144019	0.0141567	0.0823518	0.0741383	0.0825492	0.631732	0.0609079	0.00512847	0.00328695	0.00532852	0.0179016	0.00155357	0.0195253
ú	9.65182e-05	0.0010888	0.0288823	0.0185433	0.0511542	0.861046	0.0250154	0.00152127	0.00486448	0.00172471	0.00138788	0.000263987	0.00441085
e	0.00425842	0.00999422	0.0428814	0.0277326	0.0782857	0.70068	0.0602051	0.00576187	0.0162608	0.0126893	0.00465365	0.00340861	0.0331883
m	0.000275066	0.00111155	0.00483101	0.130664	0.202609	0.0679749	0.32602	0.162466	0.0489489	0.0265734	0.00216235	0.00447669	0.0218873
ó	0.000234315	0.00250372	0.00553419	0.211532	0.167352	0.124624	0.143349	0.129426	0.0834329	0.0517025	0.0139288	0.00168473	0.0646951
ó	0.00310002	0.00290647	0.0112761	0.0872167	0.127633	0.0380003	0.13137	0.194969	0.251775	0.0611069	0.00884881	0.0577559	0.0240428
d	0.0125098	0.0126446	0.00428582	0.0341837	0.0684283	0.0122463	0.0190879	0.227239	0.499393	0.0653636	0.00305045	0.0307212	0.0108458
i	0.001366	0.00142682	0.000284045	0.0202114	0.0842456	0.0226021	0.0101606	0.110203	0.481495	0.0894659	0.00191426	0.00590719	0.170718
n	0.000380773	0.000861134	0.000460335	0.0206776	0.115363	0.0345515	0.0293755	0.126964	0.430536	0.192457	0.00522149	0.00241085	0.0407412
g	0.000152612	0.00211683	0.00109821	0.00811847	0.0789125	0.0925034	0.0723771	0.0989872	0.113731	0.22251	0.170174	0.00859435	0.130725
á	0.000169141	0.00300895	0.00676391	0.0247262	0.0799531	0.070929	0.151101	0.0788886	0.065862	0.0899053	0.300016	0.0484428	0.0802334
m	2.55901e-05	0.000221941	0.00174136	0.0102795	0.0284344	0.015841	0.0550286	0.117154	0.164918	0.331893	0.11962	0.0313157	0.123527
ó	2.18254e-05	0.000557347	0.000461982	0.0254942	0.0767487	0.00462904	0.0159008	0.124559	0.338821	0.0951872	0.026522	0.0289638	0.262133
ε	0.000286103	0.00071661	0.00209794	0.00587955	0.00985938	0.00175817	0.0143559	0.0258014	0.0628619	0.0601795	0.0439848	0.697693	0.0745262
b	0.000820716	0.000608607	0.00135884	0.00361296	0.0037692	0.000812251	0.00233032	0.0410498	0.169322	0.0856096	0.00433732	0.453708	0.23266
ώ	0.000323786	0.000802859	0.000973298	0.00811063	0.00702716	0.000368118	0.00591248	0.0488475	0.153994	0.0651978	0.00450183	0.673974	0.0299658
ω	5.20986e-05	0.000155211	0.000293291	0.00275215	0.00337047	0.000705282	0.00666072	0.0160428	0.0469771	0.0572158	0.0215382	0.736342	0.107894
m	0.000568499	0.00206324	0.00103372	0.00623637	0.0142635	0.00416402	0.016283	0.0489968	0.0590673	0.279422	0.209707	0.150643	0.207551
ú	0.000413765	0.00507857	0.00404469	0.0700977	0.0860099	0.00286879	0.0392774	0.124252	0.196948	0.164926	0.0952613	0.0551547	0.155667
</S>	0.000332799	0.00157341	0.000975608	0.0153279	0.0431783	0.00554623	0.00999346	0.0374898	0.143372	0.379038	0.0471731	0.0414774	0.274522
