 	la	lignée	de	ma	mère	a	perdu	beaucoup	de	gens	</S>
i	0.454526	0.44979	0.0424934	0.0115906	0.0162774	0.0107968	0.00327374	0.00640143	0.00392149	0.000839521	9.00564e-05
s	0.131344	0.826073	0.00859107	0.00233943	0.00591098	0.0110262	0.00844132	0.00330189	0.0015257	0.000536541	0.000909933
i	0.239259	0.636002	0.0514669	0.0150654	0.0156681	0.00883871	0.0237921	0.00458998	0.000881031	0.000474976	0.00396112
a	0.126253	0.573549	0.0358693	0.00190428	0.00290844	0.0117976	0.0225685	0.00745236	0.00435518	0.00157013	0.211772
l	0.147536	0.0394845	0.533744	0.0433695	0.018874	0.0342979	0.0148223	0.0132109	0.0107609	0.00205508	0.141845
á	0.0649996	0.0382127	0.19747	0.0423613	0.0475259	0.0596515	0.0416995	0.0317417	0.0286198	0.00213986	0.445578
n	0.120937	0.0114627	0.0790066	0.633277	0.119261	0.0102106	0.00380581	0.00460837	0.00534901	0.00257241	0.00950911
g	0.00958079	0.0238061	0.0107281	0.0765423	0.873804	0.00108744	0.000876356	0.00110235	0.00100312	0.000198862	0.00127066
ó	0.00389498	0.0151086	0.0139206	0.0230343	0.937596	0.00152516	0.0020682	0.000920106	0.000599705	0.000100939	0.00123163
o	0.00234037	0.0187717	0.00839959	0.020395	0.925694	0.00598273	0.0057637	0.00525935	0.00371494	0.00175287	0.00192598
y	0.0131838	0.0132336	0.161026	0.462837	0.141153	0.110897	0.0238063	0.0311256	0.0257942	0.0136315	0.00331122
a	0.103779	0.021514	0.123487	0.338787	0.162646	0.182901	0.0312621	0.0136965	0.0101366	0.00179505	0.00999575
n	0.0170649	0.000888646	0.0379723	0.797544	0.0178185	0.0616507	0.0256586	0.0171159	0.0140528	0.00242849	0.00780473
g	0.00565639	0.0152908	0.040107	0.467384	0.431418	0.0137012	0.0109409	0.00599745	0.00414436	0.000450501	0.00490932
á	0.00506659	0.0107066	0.0789616	0.119489	0.646518	0.0414426	0.0415474	0.0207258	0.0121822	0.00141765	0.0219421
á	0.00224306	0.00164504	0.0922897	0.0823647	0.0732792	0.397294	0.116914	0.11934	0.0860208	0.0156174	0.0129915
b	0.00267966	0.00170406	0.015138	0.00609328	0.0211728	0.194207	0.481882	0.167203	0.0513036	0.00913267	0.0494833
h	0.00268455	0.00162533	0.0277285	0.0321938	0.00311774	0.135236	0.435196	0.177018	0.0795858	0.0334594	0.0721547
i	0.00636879	0.00127758	0.0636555	0.0199038	0.00160502	0.0993208	0.372372	0.217405	0.0839487	0.0581004	0.0760431
á	0.00361323	0.00113915	0.0258694	0.0449505	0.00232221	0.0641251	0.178313	0.173878	0.107743	0.1426	0.255446
b	0.00670477	0.00320189	0.00931098	0.0270244	0.00651724	0.0296449	0.0844314	0.191364	0.208761	0.355818	0.0772208
a	0.00033264	0.00058855	0.00148168	0.00493515	1.57357e-05	0.0052616	0.0241261	0.0476018	0.0378481	0.864017	0.013792
r	0.000487565	0.000698606	0.00236624	0.0166284	0.000140491	0.00726336	0.0373611	0.0859009	0.0816002	0.614814	0.152739
e	0.00124768	0.000380217	0.00331985	0.00867102	0.000184386	0.0247162	0.226132	0.256412	0.148241	0.0654933	0.265203
k	0.0019092	0.000478488	0.00778821	0.0155278	0.0014344	0.0233101	0.0630856	0.194757	0.243841	0.0710804	0.376787
a	0.000537406	0.00127843	0.015694	0.0018056	0.000107585	0.00864338	0.0599354	0.234669	0.184975	0.295622	0.196732
á	0.000228983	0.000142106	0.00170965	0.00171894	7.22359e-05	0.00643531	0.0401606	0.0891385	0.0604854	0.27079	0.529118
</S>	0.000915234	0.000192684	0.0070667	0.0103649	0.000551218	0.015929	0.0174611	0.0430568	0.140269	0.121507	0.642686
