 	la	route	est	boueuse	</S>
k	0.510719	0.465141	0.0238675	0.000221085	5.12428e-05
ó	0.038809	0.954102	0.0038223	0.00219676	0.00107018
o	0.0165228	0.96401	0.00704116	0.000119286	0.0123065
a	0.398178	0.0892088	0.466946	0.00243898	0.0432288
d	0.0847551	0.0625002	0.799369	0.00539641	0.0479788
í	0.0131618	0.00297624	0.162908	0.0113407	0.809613
l	0.0504208	0.00509405	0.368729	0.0841092	0.491646
o	0.0303384	0.00936156	0.284679	0.160765	0.514856
m	0.0827305	0.00741389	0.159264	0.63486	0.115732
b	0.00222879	0.000470912	0.0421581	0.935009	0.0201336
i	0.000595782	0.000416857	0.000648385	0.976562	0.0217767
n	0.00331478	0.00428949	0.0236281	0.328318	0.64045
g	0.01486	0.0070903	0.0343726	0.537562	0.406115
a	0.00661989	0.00410882	0.00579688	0.397456	0.586018
</S>	0.0285818	0.00281979	0.170738	0.0560433	0.741817
