 	une	mante	religieuse	est	sur	son	habit	</S>
e	0.738773	0.211039	0.0272217	0.00844061	0.00714066	0.00674909	0.000490844	0.000145348
b	0.31031	0.646476	0.0211432	0.00484013	0.00493031	0.00193309	0.00912353	0.00124372
o	0.0175295	0.955379	0.0202237	0.00234644	0.00179616	0.00101766	0.0010166	0.000691165
n	0.0493247	0.87945	0.0522617	0.00316792	0.0034998	0.00444805	0.0052114	0.00263632
d	0.329678	0.406987	0.0439698	0.0162976	0.0526192	0.0564457	0.0476413	0.0463612
z	0.445995	0.493778	0.0122172	0.00564074	0.0116677	0.00770121	0.00424698	0.0187532
a	0.19608	0.678766	0.00600032	0.00502641	0.00668039	0.00293559	0.00395204	0.100559
t	0.16505	0.0718981	0.695268	0.0419012	0.0082893	0.003766	0.000494556	0.0133336
s	0.291585	0.102851	0.335318	0.0874069	0.0351771	0.0610365	0.0131308	0.0734936
ó	0.044113	0.0759455	0.474501	0.198538	0.0814745	0.0548408	0.00654101	0.0640465
o	0.175798	0.186369	0.459677	0.0899036	0.0200664	0.0146825	0.00353546	0.0499684
é	0.0443425	0.00179542	0.294529	0.457172	0.133484	0.0456952	0.00573667	0.0172453
d	0.0108565	0.00170896	0.0431761	0.502738	0.229639	0.104493	0.037835	0.0695528
í	0.000698685	0.000180769	0.00621171	0.230243	0.264901	0.0534319	0.027878	0.416456
w	0.00327303	0.000370525	0.0306691	0.215545	0.302943	0.249673	0.0763508	0.121176
a	0.00896462	0.00497972	0.0267777	0.196858	0.216283	0.414341	0.0443402	0.0874559
m	0.00299445	0.000629166	0.0124206	0.0663416	0.199423	0.286951	0.196648	0.234592
ó	0.0165415	0.00466886	0.00507477	0.0869251	0.173052	0.175148	0.139247	0.399343
k	0.0163354	0.00242017	0.0112418	0.0245767	0.0831023	0.206727	0.637104	0.0184922
á	0.00465448	0.00637481	0.03224	0.0461798	0.106248	0.159566	0.586388	0.058349
n	0.00232383	0.0037079	0.0473749	0.0510615	0.0936754	0.17025	0.407362	0.224244
d	0.00227916	0.0140258	0.00792353	0.0244792	0.107348	0.208109	0.454196	0.181638
á	0.0133631	0.0125066	0.0117944	0.0142916	0.144033	0.279105	0.433645	0.0912617
</S>	0.00672666	0.000906454	0.0051858	0.0286618	0.113362	0.198154	0.205215	0.441788
