 	le	singe	est	en	train	de	faire	tomber	les	fruits	</S>
k	0.359326	0.594747	0.0368186	0.00297478	0.00232047	0.00100174	0.000678987	0.000618253	0.00127651	0.000224086	1.41004e-05
y	0.0581668	0.908834	0.017926	0.00509192	0.00722558	0.00029239	0.000314355	0.000147328	0.000589012	0.00120429	0.000208515
é	0.00576155	0.98819	0.00211318	0.000864901	0.000275604	0.000541886	0.0016166	0.000182019	8.78647e-05	0.000226412	0.000139867
m	0.0375179	0.897747	0.0373386	0.00977614	0.00518315	0.00137869	0.00100784	0.000770243	0.000583161	0.00140544	0.00729215
a	0.402966	0.244714	0.265405	0.0354977	0.00474705	0.0192289	0.00749333	0.00413372	0.00158904	0.00321966	0.0110064
b	0.0748623	0.0335725	0.582206	0.124443	0.0171911	0.0896359	0.0246518	0.013432	0.00627871	0.00163862	0.0320882
ó	0.0842198	0.039249	0.203908	0.345938	0.0579948	0.128287	0.0291277	0.0208667	0.0310614	0.021105	0.0382429
l	0.136907	0.0166958	0.271995	0.218072	0.147271	0.112769	0.0451255	0.0102678	0.0217132	0.00362891	0.0155556
á	0.0955046	0.00989667	0.150481	0.0383832	0.00543894	0.135644	0.0792912	0.0425822	0.0451987	0.013456	0.384123
a	0.287878	0.0115591	0.169628	0.0703239	0.00685684	0.239903	0.0952001	0.0408259	0.0228142	0.0114635	0.0435485
b	0.0382557	0.0496931	0.0114954	0.0212024	0.00615291	0.242219	0.510609	0.0794246	0.00722484	0.00617323	0.0275495
v	0.0130939	0.0220643	0.0144319	0.0470766	0.0294626	0.218408	0.383915	0.217268	0.0152864	0.022125	0.0168675
a	0.00564734	0.0100545	0.00580611	0.0834848	0.0618461	0.192772	0.36208	0.192762	0.00930913	0.0696352	0.00660209
m	0.00261004	0.00043743	0.00533236	0.00779161	0.00103591	0.0742057	0.170932	0.63714	0.0215676	0.00801088	0.0709367
b	0.0135825	0.00140935	0.0757656	0.037253	0.00619037	0.182934	0.190052	0.186729	0.152714	0.0758077	0.0775614
á	0.0188043	0.00153142	0.0426807	0.0458447	0.00428776	0.0970653	0.163776	0.275298	0.183626	0.0694383	0.0976474
s	0.00320969	0.000885914	0.00752961	0.00522717	0.000853216	0.11137	0.0937221	0.146202	0.489617	0.0978333	0.0435494
á	0.0222381	0.0116156	0.00819483	0.0065388	0.000429978	0.0431534	0.207635	0.177637	0.161112	0.232787	0.128658
i	0.0152602	0.0105021	0.00630989	0.00326914	0.000982181	0.00803819	0.0213355	0.0468419	0.419647	0.42796	0.0398534
b	0.00280034	0.00221466	0.00119147	0.00120596	0.000253499	0.00780457	0.047197	0.0484813	0.101299	0.682488	0.105065
v	0.00688079	0.0034024	0.00504647	0.00369944	0.000687496	0.00614225	0.0313609	0.037891	0.0442077	0.846403	0.0142789
u	0.000462962	0.000200711	0.0004394	0.00213335	0.000342093	0.00389905	0.0112385	0.0585526	0.0459427	0.857035	0.0197535
m	0.00265421	0.000176641	0.000424293	0.000601849	0.000154159	0.00301274	0.0159231	0.0927555	0.36337	0.154718	0.36621
á	0.0227071	0.00240242	0.013929	0.0046204	0.000409151	0.0158297	0.0193387	0.0232697	0.417576	0.277527	0.202391
</S>	0.0233192	0.00289266	0.00843123	0.00590503	0.000581516	0.0194812	0.0184213	0.0347314	0.348914	0.257686	0.279636
