 	la	maigreur	de	ce	chien	me	fait	rire	</S>
o	0.856135	0.0192557	0.0351299	0.0213268	0.0412809	0.0141474	0.0121842	0.000227403	0.00031216
t	0.0615275	0.869233	0.00939884	0.00232386	0.00717281	0.00479923	0.0232261	0.0189991	0.00331932
í	0.0069425	0.856605	0.0216273	0.00602985	0.00335331	0.00150791	0.0255603	0.0673337	0.0110396
i	0.00672264	0.91717	0.0239871	0.00324549	0.00153459	0.00253537	0.0158948	0.0112954	0.0176142
s	0.340422	0.273526	0.209249	0.0901759	0.0347262	0.0155721	0.0111982	0.00291931	0.0222113
í	0.0532653	0.635724	0.0892147	0.0294161	0.0510335	0.0264609	0.0141202	0.0156639	0.0851017
m	0.28382	0.083793	0.177558	0.217602	0.0721009	0.0986064	0.0163155	0.00479937	0.0454053
á	0.150824	0.0128904	0.0681738	0.239098	0.450962	0.0591002	0.00586365	0.000767959	0.0123194
m	0.100075	0.00228031	0.126184	0.352525	0.333193	0.0565303	0.0172853	0.00163132	0.0102964
b	0.00574035	0.00517558	0.0373941	0.181891	0.722757	0.0282367	0.00350663	0.00394701	0.0113514
v	0.000630263	0.00403809	0.0255286	0.0641417	0.889743	0.00414924	0.0010169	0.00426255	0.00648954
á	0.00113576	0.0124292	0.0146976	0.0519185	0.862537	0.00371223	0.00164597	0.00411331	0.0478103
n	0.0137151	0.00386564	0.0894286	0.287431	0.537922	0.0238044	0.00843969	0.00128884	0.034104
d	0.0124737	0.0144396	0.0711694	0.36441	0.373016	0.0638509	0.00803367	0.0115932	0.0810131
é	0.0104002	0.0370572	0.0424496	0.202978	0.560956	0.0299906	0.00466476	0.0298054	0.0816987
w	0.0468049	0.0978034	0.17273	0.0978182	0.0939446	0.302757	0.127171	0.0183963	0.0425754
ó	0.0864239	0.0492313	0.368671	0.181553	0.090103	0.0707513	0.0573014	0.0325077	0.0634577
m	0.0265807	0.00497739	0.215327	0.13752	0.0233024	0.251879	0.152497	0.0486704	0.139246
ó	0.0493676	0.00844184	0.0863801	0.349726	0.160035	0.133174	0.071027	0.0205717	0.121276
o	0.0384126	0.00578859	0.12045	0.335934	0.0626298	0.165482	0.211267	0.0319457	0.0280893
d	0.0025061	0.0285581	0.0625665	0.0740323	0.0257906	0.119116	0.503622	0.121574	0.0622346
z	0.000419416	0.0252562	0.0337601	0.0873058	0.0118133	0.0751349	0.34402	0.235467	0.186823
ε	0.00155537	0.026513	0.0574743	0.459646	0.0367398	0.0535582	0.0839096	0.230091	0.0505132
s	0.000633598	0.00213733	0.0322126	0.0731332	0.0068748	0.0549658	0.24597	0.162596	0.421476
έ	0.000739269	0.00539269	0.0373075	0.0787647	0.00561937	0.0480273	0.188065	0.2931	0.342984
έ	0.000529925	0.00117107	0.0129039	0.0500411	0.00512666	0.211109	0.255266	0.104015	0.359838
n	0.00369742	0.00147905	0.0265571	0.0603488	0.0564156	0.274532	0.321558	0.105884	0.149528
g	0.00131196	0.00032271	0.0056361	0.0420206	0.0422786	0.610543	0.0722718	0.0697378	0.155877
á	0.000789803	0.000334814	0.00492741	0.0428091	0.029345	0.700203	0.0579404	0.0890723	0.0745781
</S>	0.00223462	0.000981991	0.0173466	0.0410543	0.00811667	0.135885	0.142944	0.197666	0.45377
