 	il	alla	jusqu'	aux	bornes	du	village	</S>
w	0.987953	0.0068497	0.000270163	0.00108293	8.35721e-05	0.00372357	4.16592e-06	3.34146e-05
a	0.995647	0.000873857	4.04822e-05	0.00170283	4.06224e-05	0.00160147	8.74323e-05	6.68615e-06
a	0.0993293	0.823977	0.0357832	0.0177655	0.00719034	0.0093665	0.00022016	0.00636814
d	0.0441821	0.458769	0.369294	0.0537367	0.0136992	0.0114416	0.00815876	0.0407188
z	0.00903539	0.893414	0.045694	0.0210001	0.00880728	0.000752061	2.46744e-05	0.0212728
w	0.00922244	0.977064	0.00658755	0.00298659	0.00251079	5.80982e-05	5.40898e-05	0.00151608
e	0.0115196	0.858606	0.0257384	0.0721989	0.0118651	0.000835298	9.08405e-05	0.0191458
t	0.00577933	0.0321395	0.659174	0.237197	0.0365423	0.00844957	0.00125866	0.0194601
é	0.000422121	0.0182962	0.961122	0.0127164	0.00152861	0.000482821	0.00190916	0.00352261
é	0.000825886	0.0462695	0.69599	0.194385	0.0256059	0.00927273	0.00413291	0.023519
m	0.00175776	0.00192297	0.10451	0.513275	0.166381	0.17163	0.00173964	0.0387836
ó	0.00235672	0.0115683	0.0385877	0.483154	0.11793	0.141721	0.00617361	0.198508
n	0.00174661	0.00143375	0.0316583	0.113563	0.642167	0.130352	0.042856	0.0362235
d	0.000443214	0.00328787	0.00583917	0.186131	0.551439	0.17096	0.00855856	0.0733417
z	0.000247152	0.000986037	0.0128953	0.035307	0.556577	0.0839462	0.198229	0.111813
i	2.30646e-05	0.004336	0.0119893	0.0457824	0.687358	0.0275452	0.105786	0.11718
e	3.35447e-05	0.00309233	0.00971936	0.056672	0.290963	0.0584847	0.0377994	0.543236
y	0.000266299	9.6055e-05	0.0020425	0.064539	0.0199265	0.534384	0.013312	0.365433
á	0.00273087	0.00376656	0.0421835	0.0487576	0.0517388	0.238195	0.303685	0.308942
p	0.00418781	0.000377656	0.001939	0.00649973	0.0170775	0.0327413	0.894779	0.042398
o	0.000249707	7.08466e-05	0.00581381	0.00116752	0.00280136	0.0104725	0.955895	0.0235293
o	0.000171828	0.000231605	0.00338226	0.00287326	0.0136195	0.0232505	0.831499	0.124973
</S>	0.00290447	0.000385102	0.00801997	0.0254713	0.0137295	0.196095	0.0175662	0.735828
