 	il	n'	aime	pas	être	battu	au	jeu	</S>
w	0.895985	0.0575926	0.0110295	0.02197	0.007843	0.00440689	0.000941411	0.000176992	5.44258e-05
a	0.842541	0.0785356	0.00772128	0.0501728	0.00962938	0.00578755	0.00551126	4.58389e-05	5.56989e-05
a	0.248116	0.607079	0.0672614	0.045989	0.0072796	0.00555905	0.0131444	0.000292784	0.00527872
d	0.105924	0.411116	0.161561	0.0564244	0.070401	0.101634	0.0317176	0.0110022	0.0502198
i	0.0487454	0.704701	0.143337	0.0306922	0.00244706	0.00440546	0.00716634	0.000608884	0.0578972
p	0.0179979	0.253683	0.210867	0.311306	0.0369086	0.0424489	0.0260671	0.00511838	0.0956032
ó	0.0068732	0.0342568	0.801031	0.0559015	0.033658	0.00622949	0.00962928	0.0179193	0.0345012
s	0.0152079	0.0861808	0.79499	0.0304267	0.0151368	0.0104722	0.0114024	0.0044451	0.0317386
á	0.00476782	0.0483369	0.838631	0.0712189	0.0118774	0.00444009	0.0114456	0.00317321	0.00610915
b	0.0371577	0.051188	0.107578	0.480875	0.221653	0.0636965	0.0201997	0.00591425	0.011738
á	0.0155033	0.0304938	0.291238	0.0348049	0.476521	0.110708	0.0134537	0.0209022	0.0063753
a	0.0270691	0.0104357	0.01894	0.0461561	0.634618	0.172551	0.00961214	0.0355011	0.0451171
p	0.00566227	0.0344377	0.140941	0.131955	0.183974	0.274284	0.115595	0.0359984	0.0771521
é	0.002178	0.0169038	0.522604	0.0933581	0.0564629	0.0356904	0.0237263	0.168604	0.0804717
n	0.000526706	0.00865066	0.568175	0.0730465	0.0246969	0.015595	0.0243959	0.0773885	0.207525
d	0.00272392	0.00826324	0.122768	0.16085	0.161299	0.127916	0.0996925	0.142072	0.174415
á	0.00811789	0.0221266	0.154356	0.277682	0.0935057	0.104546	0.0792243	0.051344	0.209097
w	0.0152578	0.00585227	0.00952073	0.137908	0.164956	0.204643	0.198451	0.133029	0.130382
a	0.0479068	0.00507743	0.00287211	0.0935793	0.526013	0.159366	0.0762608	0.0685241	0.0203996
k	0.00453808	0.00244033	0.0047369	0.112735	0.119343	0.0740211	0.23777	0.351981	0.092435
a	0.000367358	0.000390563	0.00637147	0.0107742	0.0256083	0.0194165	0.0277665	0.890641	0.0186642
á	0.000122055	0.000319435	0.00442876	0.00428068	0.0151463	0.0274698	0.022113	0.778268	0.147852
</S>	0.00380665	0.00673737	0.00365912	0.016017	0.0222617	0.0537466	0.104774	0.121233	0.667764
