 	amvoulou	a	trahi	son	village	à	cause	de	sa	cupidité	</S>
a	0.86646	0.126366	0.000649464	0.00201843	0.00110994	0.00133692	0.000549249	0.000400462	0.00108172	7.7404e-06	1.98647e-05
m	0.226556	0.695095	0.0508945	0.00599401	0.0062447	0.00354193	0.00282813	0.00313139	0.00157484	0.0021812	0.00195813
b	0.432466	0.521699	0.0123127	0.00170905	0.00362034	0.00205151	0.00188164	0.00245346	0.00111452	0.00727281	0.0134183
v	0.621998	0.31773	0.00405018	0.00155965	0.00051496	0.0020841	0.00114053	0.00203006	0.00289796	0.0442679	0.00172602
ú	0.501616	0.446528	0.00776646	0.00469422	0.000663356	0.0031055	0.0015477	0.00466484	0.00173436	0.0205155	0.00716418
l	0.210576	0.734212	0.0354921	0.0020253	0.00144861	0.00182029	0.00101413	0.00267356	0.000587547	0.00147981	0.00867076
ú	0.401067	0.303426	0.050551	0.0229466	0.0160806	0.0186281	0.00997207	0.0154183	0.0059632	0.00278156	0.153166
á	0.0476671	0.32252	0.321723	0.112361	0.0196319	0.024932	0.0154424	0.0213132	0.0280094	0.00148839	0.0849111
k	0.0215001	0.0577369	0.8304	0.0286785	0.015949	0.0058736	0.00558518	0.00785083	0.0035582	0.00251168	0.0203563
i	0.000727589	0.0210423	0.87915	0.0389271	0.0311022	0.00809567	0.00786079	0.00804567	0.00164963	0.000376139	0.00302339
r	0.00230595	0.0103465	0.952734	0.0100714	0.0165085	0.00170245	0.00167847	0.00144347	6.40262e-05	6.41345e-05	0.00308136
i	0.0163028	0.0282004	0.663014	0.146956	0.091849	0.020858	0.00864709	0.00759688	0.00276997	0.000880428	0.0129254
p	0.0101769	0.0211084	0.128229	0.594548	0.161834	0.0312389	0.0110789	0.0095821	0.0149466	0.0078344	0.00942301
o	0.000720206	0.00495635	0.106328	0.0995742	0.70302	0.0236708	0.0206626	0.0161261	0.0019367	0.00231095	0.0206933
o	0.0001111	0.000579249	0.0189909	0.035457	0.891747	0.0192339	0.0205422	0.00733098	0.000357725	8.36677e-05	0.00556659
m	0.000892172	0.0022221	0.0214987	0.425026	0.0664621	0.312044	0.078625	0.0524725	0.017706	0.00116541	0.0218864
ó	0.00677672	0.00209255	0.00262866	0.099403	0.136945	0.264927	0.201654	0.124547	0.0539466	0.00775759	0.0993213
p	0.00586585	0.0054681	0.0155648	0.0702243	0.138997	0.289336	0.298686	0.121326	0.0201685	0.0142398	0.0201249
ó	0.000177214	0.000557322	0.00743852	0.0256488	0.462458	0.145364	0.26079	0.0827649	0.0020264	0.000738176	0.0120367
s	0.000101191	0.000460197	0.0176068	0.0442181	0.543846	0.125439	0.147845	0.0517469	0.00519748	0.00101261	0.0625266
á	0.00191286	0.00150642	0.0401059	0.0760033	0.209624	0.177352	0.232732	0.141545	0.0114488	0.00426374	0.103507
m	0.00241928	0.00157868	0.0026924	0.0310105	0.0131077	0.230148	0.200032	0.159641	0.280005	0.0371583	0.0422069
b	0.00614618	0.00172956	0.000478521	0.0112485	0.00810106	0.143284	0.24368	0.200352	0.172838	0.114439	0.0977039
ώ	0.0167135	0.00147663	0.000480919	0.00180523	0.000812617	0.0468118	0.109701	0.204446	0.0385572	0.565248	0.0139481
n	0.00789606	0.00166883	0.00303857	0.0096179	0.017894	0.0688206	0.227318	0.25907	0.0249572	0.303363	0.0763562
g	0.00183816	0.00558428	0.00748714	0.0337601	0.0161279	0.198799	0.156145	0.218463	0.0984005	0.133108	0.130286
ω	0.003022	0.00553785	0.00235846	0.0469253	0.010089	0.0910905	0.0395507	0.113538	0.117846	0.498993	0.0710491
</S>	0.000888383	0.00153446	0.00446562	0.0544831	0.014556	0.149697	0.118279	0.22892	0.103751	0.0136731	0.309753
