 	il	affirme	qu'	il	est	venu	hier	</S>
w	0.805103	0.0975078	0.0353935	0.027017	0.0226351	0.00637985	0.00434252	0.00162086
a	0.856633	0.0577751	0.031982	0.0263055	0.0219265	0.00446841	0.00060864	0.000300535
á	0.180581	0.466157	0.188172	0.0653128	0.0461996	0.035698	0.00253047	0.0153484
t	0.063097	0.585109	0.0770137	0.0620885	0.0349179	0.114131	0.00547419	0.0581689
i	0.0173221	0.471661	0.108261	0.15437	0.103597	0.0705944	0.0017684	0.0724258
i	0.00599207	0.691402	0.0433669	0.121833	0.0815125	0.0313037	0.00126527	0.0233244
w	0.0454306	0.0323292	0.384063	0.223569	0.190791	0.0622818	0.010955	0.0505799
á	0.0634411	0.13981	0.335312	0.226126	0.164991	0.043425	0.0119206	0.0149747
r	0.0324778	0.0377112	0.376442	0.265245	0.16062	0.057639	0.0243409	0.045525
e	0.019851	0.0462703	0.537506	0.256176	0.123753	0.00970569	0.000589623	0.00614887
á	0.0113737	0.031208	0.261485	0.298572	0.259899	0.0959577	0.0132468	0.0282585
y	0.00283734	0.0344317	0.0218065	0.0591719	0.172169	0.646586	0.0355484	0.0274489
ε	0.00157905	0.0199842	0.08775	0.0653728	0.12541	0.474541	0.0848979	0.140465
ε	0.000698681	0.0101102	0.128238	0.151035	0.18179	0.134677	0.0975025	0.295949
l	0.000972511	0.00446346	0.0377239	0.0453309	0.146773	0.279294	0.191358	0.294085
a	0.00451319	0.0161678	0.02652	0.0346954	0.0885799	0.296333	0.208319	0.324871
a	0.00537228	0.00733363	0.166292	0.0491594	0.151205	0.0726714	0.325916	0.22205
p	0.00197637	0.0153926	0.0161981	0.0264062	0.0727814	0.186642	0.463243	0.21736
ó	0.000624486	0.0136124	0.00703589	0.0162685	0.0523618	0.0580148	0.734128	0.117954
a	0.000336236	0.00543887	0.00773649	0.0139961	0.0609399	0.135369	0.462356	0.313828
</S>	0.00633118	0.0186738	0.0566342	0.0343214	0.0801562	0.123471	0.172113	0.5083
