 	j'	aime	manger	les	légumes	tsanyii	car	ils	sont	acides	</S>
n	0.74899	0.107135	0.0798534	0.0196547	0.0184573	0.00561211	0.0147365	0.00308569	0.00174064	0.000665331	6.91671e-05
g	0.994196	0.000620739	0.000532442	0.00176491	0.0019828	0.000125301	6.37667e-05	0.000170678	0.000132066	0.000389316	2.24703e-05
á	0.987508	0.00275743	0.00147709	0.00255016	0.00245874	0.000191979	0.000112837	8.87626e-05	0.000149744	0.00268391	2.16299e-05
i	0.361224	0.138503	0.147492	0.0877767	0.0841952	0.0132476	0.0184138	0.0237052	0.0286517	0.0083662	0.0884245
d	0.0163376	0.87303	0.0410985	0.0156139	0.00720552	0.0101512	0.0057293	0.00159635	0.00667012	0.00522718	0.0173404
í	0.16483	0.609204	0.0565306	0.0335589	0.00983703	0.0297389	0.00464337	0.00598825	0.0160394	0.00690834	0.062721
l	0.132481	0.260341	0.173825	0.119289	0.0522492	0.0317876	0.0554926	0.0376156	0.0640021	0.011309	0.0616078
a	0.0440684	0.54019	0.157929	0.062832	0.0165041	0.0190988	0.0170703	0.0132755	0.0347323	0.00927181	0.0850281
p	0.00552444	0.843067	0.0999823	0.012815	0.00407913	0.00921287	0.0024232	0.00158952	0.00253965	0.0102435	0.00852383
ó	0.000530348	0.753195	0.0865124	0.0169697	0.0134362	0.0371163	0.0463823	0.0037181	0.00197574	0.0104616	0.0297027
s	0.00136618	0.73391	0.170732	0.0254434	0.0181623	0.0170395	0.0187416	0.00329202	0.00278056	0.000831914	0.00770104
á	0.000554382	0.502925	0.190178	0.0630046	0.0277173	0.0692535	0.0737812	0.0073169	0.00673616	0.00306243	0.0554702
o	0.0177836	0.0336235	0.45425	0.226814	0.0539122	0.0247724	0.0579508	0.094943	0.0121242	0.00151123	0.0223153
d	0.0041788	0.0888651	0.49367	0.207064	0.0511198	0.115185	0.020099	0.00252515	0.00313434	0.00547451	0.0086834
z	0.00158312	0.0528163	0.210953	0.126907	0.0303298	0.484963	0.016143	0.000594662	0.0052087	0.0121933	0.0583082
á	0.00363689	0.121902	0.527651	0.0807635	0.025829	0.210919	0.0115527	0.000197905	0.0011181	0.00318825	0.0132405
t	0.0031442	0.00827172	0.0910043	0.174784	0.131991	0.185213	0.215997	0.0258464	0.0249809	0.00443006	0.134338
s	0.000154579	0.0135246	0.0343438	0.0577163	0.122138	0.330452	0.397039	0.0053	0.00737335	0.0047637	0.0271939
á	3.47513e-05	0.00868309	0.0319227	0.0637345	0.0828124	0.45542	0.31124	0.00670753	0.00483458	0.00552279	0.0290885
n	0.000395002	0.00228762	0.0175437	0.0615192	0.0716165	0.317293	0.367153	0.0360725	0.00810354	0.00246032	0.115556
y	0.0002991	0.00390821	0.013372	0.0887559	0.186723	0.444138	0.138614	0.0265953	0.0215378	0.011367	0.0646901
i	0.000165347	0.00107004	0.00361845	0.0308159	0.101345	0.519803	0.189709	0.0125684	0.00663583	0.0085175	0.125751
i	9.43027e-05	0.000407412	0.00425617	0.056803	0.158166	0.294256	0.328326	0.0936267	0.0225343	0.00386786	0.0376611
t	0.00127015	0.0013862	0.00809773	0.0323596	0.0858358	0.145221	0.226624	0.237261	0.191031	0.00785386	0.0630605
s	0.000965031	0.00508394	0.00977169	0.01968	0.0997504	0.260002	0.420658	0.0325886	0.0767584	0.0261992	0.0485423
í	3.03493e-05	0.00186437	0.00416006	0.0153114	0.0504736	0.301985	0.468771	0.0709258	0.04185	0.0130687	0.03156
n	0.00062906	0.00214391	0.00312422	0.0236412	0.0685621	0.334844	0.28459	0.156087	0.0418106	0.0128513	0.0717156
