 	nous	attendons	que	la	paix	revienne	au	pays	</S>
b	0.828644	0.0124114	0.0459228	0.0963937	0.00973568	0.00244985	0.00417284	0.000166499	0.000103715
í	0.963014	0.00984558	0.00921021	0.00690801	0.0034623	0.0037002	0.00358097	3.48767e-05	0.000243766
s	0.99172	0.00263031	0.00137843	0.0013959	0.00232791	0.000281543	0.000178139	1.15978e-06	8.67095e-05
í	0.955587	0.00475773	0.0193199	0.0110548	0.00552552	0.000721807	0.0017873	1.55141e-05	0.00123028
l	0.305772	0.189829	0.0367939	0.0202657	0.0254516	0.0387065	0.0282854	0.00106102	0.353835
é	0.0911723	0.143146	0.247584	0.0857043	0.0137955	0.18443	0.0325082	0.000411858	0.201247
e	0.0517769	0.590313	0.252505	0.0416859	0.0161316	0.0294156	0.00710508	7.4412e-05	0.010992
k	0.000806298	0.916393	0.0425979	0.0142968	0.017306	0.00437819	0.000962051	0.00070882	0.00255081
o	0.000381197	0.912157	0.0432074	0.0161154	0.0212856	0.00323793	0.000549887	0.000109015	0.00295628
n	0.000503425	0.926324	0.0317911	0.014002	0.0210093	0.001651	0.000561756	0.000979437	0.00317809
g	0.0060748	0.391449	0.389856	0.138231	0.043476	0.00811306	0.00215888	0.00117418	0.0194673
á	0.0145908	0.0832461	0.62247	0.174098	0.0680509	0.00593597	0.00238133	0.000270898	0.0289558
á	0.00267163	0.00189971	0.212187	0.655106	0.104037	0.0109637	0.0100284	0.000398579	0.00270847
f	0.0198308	0.00441659	0.144946	0.411572	0.257678	0.137567	0.0197318	0.000522607	0.0037342
έ	0.00271775	0.000701535	0.0500182	0.226846	0.513708	0.171178	0.0274108	0.000352371	0.00706632
l	0.0279413	0.000592512	0.121762	0.234914	0.37152	0.0869488	0.0376295	0.000136834	0.118554
έ	0.00342669	0.000603401	0.0568738	0.347909	0.422577	0.0658029	0.0365596	0.000301574	0.065946
l	0.0015874	0.00057217	0.0818963	0.215228	0.123147	0.507905	0.0384324	0.00104344	0.0301879
έ	0.0181275	0.00169983	0.0294102	0.0493495	0.0620875	0.523732	0.0821541	0.00369941	0.22974
é	0.00369024	0.00206401	0.0178145	0.0360627	0.0931098	0.685263	0.0896373	0.0092904	0.0630678
k	0.000463725	0.00696293	0.0151406	0.014019	0.0773077	0.708818	0.148652	0.0163655	0.0122709
ó	4.87215e-05	0.00697082	0.00713159	0.012881	0.220759	0.418953	0.113169	0.15809	0.061997
a	5.11133e-05	0.0073018	0.00524427	0.0113384	0.135032	0.354125	0.0942802	0.22682	0.165807
p	0.000130503	0.000477262	0.00842316	0.0172969	0.00645783	0.150188	0.378377	0.0905496	0.348101
o	0.000349465	0.000402178	0.0027283	0.00691372	0.0247982	0.0222209	0.191243	0.510196	0.241148
o	5.76329e-05	0.000734233	0.00172679	0.00405317	0.0155625	0.0188372	0.0744639	0.694791	0.189773
</S>	5.70806e-05	0.000539393	0.00420557	0.00684746	0.00884734	0.0769458	0.263993	0.0867157	0.551848
