 	qui	est	ce	qui	a	perdu	mon	argent	</S>
o	0.503824	0.212582	0.0590654	0.123419	0.0761052	0.010215	0.0117	0.00113051	0.00195855
l	0.0125058	0.0650418	0.0241599	0.0466197	0.0993687	0.672509	0.0139074	0.0306556	0.0352317
é	0.00238633	0.0450611	0.0553715	0.0701764	0.0758517	0.570834	0.00914018	0.00284879	0.16833
m	0.00233646	0.0694556	0.0702921	0.0510173	0.119191	0.567627	0.00450827	0.00342922	0.112143
b	0.020754	0.0639297	0.109179	0.0657986	0.111183	0.350084	0.008391	0.0721956	0.198485
i	0.0516082	0.112002	0.102103	0.112186	0.106179	0.167382	0.0324222	0.191277	0.124839
s	0.0776263	0.0587067	0.106598	0.176269	0.249185	0.0491278	0.127183	0.109444	0.0458608
i	0.00445885	0.00526355	0.0259431	0.0673373	0.105774	0.162658	0.409232	0.129313	0.0900206
m	0.00519462	0.00323692	0.0252063	0.081582	0.109802	0.0190977	0.470331	0.234694	0.0508559
b	0.0148854	0.00702149	0.00634142	0.00625524	0.0129039	0.0108697	0.0095227	0.855905	0.076295
ώ	0.000492655	0.000976975	0.00226841	0.00687237	0.0108629	0.0419828	0.00755475	0.897623	0.0313659
n	0.00112136	0.00280378	0.00335523	0.00535912	0.00967249	0.0295873	0.00572202	0.857633	0.0847453
g	0.0109483	0.012363	0.0229505	0.069714	0.107435	0.0922051	0.164356	0.325751	0.194277
ω	0.00759708	0.00308692	0.0190381	0.0442205	0.0218905	0.017442	0.152459	0.640237	0.0940288
y	0.00313411	0.00420533	0.0217175	0.0483899	0.0865534	0.0421001	0.239208	0.0480546	0.506637
á	0.0521494	0.0385988	0.109175	0.118763	0.0805769	0.0387733	0.340335	0.0649478	0.15668
n	0.00505802	0.00396632	0.0298207	0.0369087	0.0327185	0.0105017	0.811467	0.0475162	0.0220426
g	0.000754287	0.000110966	0.00072127	0.00276292	0.00217964	0.00136441	0.698028	0.205367	0.0887118
á	0.00082886	0.000433951	0.00340004	0.0104122	0.00820645	0.00192549	0.538826	0.203004	0.232963
n	0.00357302	0.00450264	0.013596	0.0202833	0.0387384	0.026128	0.510457	0.13311	0.249612
d	0.00531213	0.0024798	0.0102157	0.0226442	0.0153102	0.00965964	0.385086	0.111092	0.4382
a	0.00121364	0.00069702	0.00289446	0.00670018	0.00462665	0.00406269	0.152883	0.0855242	0.741398
</S>	0.000298144	0.00126437	0.00513352	0.0122027	0.0288887	0.0269639	0.0913004	0.0156296	0.818319
