 	la	poule	a	pendu	des	oeufs	dans	la	cuisine	</S>
t	0.251722	0.737189	0.00907728	1.0136e-05	0.000863441	0.000327831	0.000407008	0.000183914	0.000196858	2.31246e-05
s	0.0197536	0.974164	0.00489623	4.39139e-05	0.00017831	0.000248662	0.000194829	0.000224255	0.00025606	3.97991e-05
ó	0.00962942	0.977104	0.00271161	0.000865025	0.00174793	0.00474123	0.00101863	0.000509154	0.00122335	0.000450108
s	0.011522	0.970467	0.00366977	0.000394542	0.00124523	0.00144169	0.00154464	0.000625948	0.00368226	0.00540714
ó	0.195899	0.68877	0.0241914	0.00431588	0.0118777	0.0128874	0.010819	0.00317279	0.00793197	0.0401351
á	0.0742078	0.0352261	0.816529	0.0481149	0.0107393	0.00150714	0.00472962	0.00104666	4.5236e-05	0.00785372
m	0.0293613	0.00251922	0.670588	0.173542	0.0535543	0.020493	0.0142712	0.00494157	0.000655361	0.0300742
i	0.0497986	0.000438374	0.227669	0.448123	0.20452	0.018047	0.0247861	0.0117675	0.000293919	0.014557
t	0.00242704	0.000144227	0.0133695	0.930077	0.0348238	0.0129665	0.00177735	0.000973433	0.00129546	0.00214612
έ	0.000988947	0.000190948	0.00240398	0.970708	0.0161724	0.00667225	0.000691512	0.000249332	0.000613269	0.00130897
a	0.0193269	0.00405312	0.0525585	0.4728	0.300939	0.0668188	0.033431	0.0144897	0.0068746	0.0287084
k	0.00489048	0.000644041	0.0102681	0.140013	0.479231	0.180125	0.0861716	0.0466842	0.0145028	0.0374692
y	0.0028813	0.00345904	0.000738198	0.2427	0.263602	0.399007	0.0261829	0.00844911	0.0428317	0.010149
ε	0.00525443	0.0184573	0.000205896	0.152911	0.186149	0.566116	0.0188918	0.00991695	0.0347511	0.00734654
s	0.00392283	0.00768212	0.000769989	0.0582415	0.244926	0.328904	0.100803	0.0443249	0.104551	0.105873
á	0.00516077	0.00191635	0.00179313	0.11805	0.262353	0.432376	0.05181	0.0342928	0.0184367	0.073811
k	0.00784509	0.00144683	0.00154025	0.0130844	0.0702086	0.286777	0.34957	0.158732	0.0864005	0.0243957
ú	0.00103996	0.00733333	0.000274051	0.0118084	0.0301496	0.185391	0.0409273	0.0220715	0.684351	0.0166534
k	0.000968779	0.000410786	1.70735e-05	0.00118993	0.00506076	0.0458157	0.0181862	0.0102177	0.908286	0.00984729
u	0.0157098	0.00471441	0.0001262	0.00261584	0.0321398	0.14975	0.0984294	0.0513645	0.600497	0.044653
</S>	0.00113353	6.68086e-05	0.000432938	0.00117236	0.024106	0.0520474	0.34708	0.184475	0.0575552	0.331931
