 	mon	cordon	ombilical	a	été	enterre	à	ngwooni	</S>
o	0.229519	0.374461	0.353275	0.0276831	0.00133113	0.00748403	0.00541033	0.000471317	0.000364361
k	0.00851478	0.0529896	0.895996	0.00476296	0.00240006	0.0217636	0.00488461	0.00690923	0.00177961
w	0.0013255	0.00737213	0.970433	0.00566443	0.00212634	0.00296163	0.00115687	0.00773145	0.00122908
ω	0.00494366	0.0250686	0.74044	0.0650186	0.0125988	0.0977608	0.0150835	0.0313294	0.00775629
ω	0.0740196	0.275407	0.574888	0.0343096	0.0018999	0.00634208	0.00617654	0.00992433	0.0170337
m	0.105051	0.176762	0.323426	0.3355	0.0147901	0.00668642	0.0115343	0.000853977	0.0253957
á	0.174449	0.115412	0.135954	0.309889	0.0923928	0.015194	0.0343397	0.00341269	0.118957
n	0.526475	0.187727	0.0146852	0.167559	0.0468228	0.0291356	0.00997315	0.00886602	0.00875542
g	0.669328	0.23367	0.00181998	0.0260924	0.00203204	0.0263021	0.00689518	0.0230144	0.0108454
á	0.323347	0.381317	0.00560576	0.0472274	0.00961105	0.0967938	0.0103556	0.106892	0.0188506
á	0.0336485	0.0319748	0.0192924	0.593003	0.180383	0.0699313	0.0520054	0.00560044	0.0141606
k	0.00313004	0.00327024	0.0017168	0.0746878	0.224085	0.59071	0.0798084	0.00570029	0.0168912
u	0.00308924	0.00558724	0.0232072	0.0692357	0.254585	0.520788	0.0853995	0.00853215	0.0295761
n	0.0232982	0.0625222	0.0251006	0.0173356	0.160484	0.566796	0.0776892	0.0173167	0.0494573
d	0.0339122	0.101889	0.0474374	0.0546296	0.122038	0.449401	0.121236	0.0142054	0.0552517
á	0.0659466	0.121712	0.026658	0.0616463	0.0316314	0.373402	0.204307	0.0973431	0.0173538
ó	0.0159218	0.00792724	0.00150144	0.0487451	0.0524571	0.282453	0.327594	0.223452	0.0399494
n	0.00933041	0.0110415	0.00240708	0.00782597	0.0238487	0.37959	0.301022	0.22534	0.0395942
g	0.0216813	0.0206172	0.000513876	0.00299921	0.00192343	0.490288	0.0724037	0.348922	0.0406512
w	0.00567648	0.00774767	0.00015986	0.00225924	0.00250864	0.119902	0.0281957	0.82418	0.00937025
ώ	0.000626898	0.0021951	0.000853418	0.00171668	0.00373043	0.0938117	0.0355305	0.830139	0.0313961
ω	0.000435776	0.00250458	0.00364401	0.00484702	0.00191279	0.164726	0.100565	0.55846	0.162904
n	0.00129984	0.0016431	0.00185268	0.00623277	0.00241183	0.147851	0.32637	0.0828117	0.429527
i	0.00284667	0.003627	0.00357351	0.0047993	0.00431886	0.285557	0.161401	0.193853	0.340024
</S>	0.0016133	0.00150103	0.000286839	0.00897087	0.00414419	0.0430328	0.159486	0.147202	0.633763
