 	la	fraîcheur	de	l'	eau	fait	mal	aux	dents	</S>
m	0.494822	0.395095	0.0588107	0.0113903	0.00512331	0.00653895	0.0143327	0.0134133	0.000164597	0.000309513
ω	0.1841	0.190009	0.147558	0.0587312	0.230199	0.0229595	0.011707	0.0300924	0.0679507	0.056693
m	0.0495673	0.659225	0.118494	0.0321394	0.0293929	0.0172532	0.0176677	0.00992574	0.0255722	0.0407624
b	0.0705281	0.225385	0.17934	0.0903438	0.245332	0.031489	0.00902948	0.0100032	0.00988062	0.128668
i	0.087166	0.194625	0.210979	0.124207	0.18727	0.0503894	0.0437226	0.0342325	0.0317796	0.0356283
m	0.0539289	0.0680172	0.556716	0.158209	0.0514951	0.0245049	0.0128888	0.00716358	0.000850273	0.0662263
á	0.231926	0.0175236	0.117735	0.211419	0.322578	0.0233272	0.0050162	0.0294863	0.0202509	0.0207376
m	0.180702	0.0605711	0.146017	0.315269	0.207348	0.0238418	0.0123202	0.0252494	0.0127876	0.0158933
á	0.0143814	0.00603287	0.0224252	0.0704824	0.789796	0.0141551	0.00271218	0.00989669	0.0487893	0.0213285
a	0.06646	0.0315653	0.0819966	0.260839	0.380534	0.0514112	0.0186411	0.0263082	0.0624302	0.0198143
m	0.00869986	0.00826903	0.0568831	0.137484	0.328233	0.242109	0.108875	0.0245937	0.0110257	0.0738278
ó	0.012061	0.0028512	0.0138795	0.0645618	0.475957	0.0513928	0.0225831	0.0670318	0.205296	0.0843859
o	0.0326604	0.0139084	0.0677121	0.137807	0.201172	0.0991339	0.121244	0.0720123	0.215091	0.0392587
l	0.00370803	0.00397742	0.015368	0.0429044	0.0520375	0.128268	0.4902	0.148721	0.0352584	0.0795568
a	0.0139559	0.0132666	0.0359205	0.060292	0.0609289	0.121856	0.216041	0.0516092	0.0868413	0.339289
n	0.0026487	0.00285118	0.0396228	0.106731	0.0503179	0.0838996	0.412715	0.163803	0.0436117	0.0937993
d	0.0053802	0.00374235	0.0148613	0.0472483	0.062761	0.131647	0.307575	0.208594	0.0969464	0.121245
á	0.00143556	0.00155785	0.00703637	0.0288852	0.0344057	0.0915823	0.217406	0.122146	0.104644	0.390901
s	0.00206917	0.000691185	0.00891478	0.0211089	0.0200462	0.0746924	0.104559	0.477412	0.0944989	0.196008
á	0.00475711	0.00244446	0.00868774	0.0145437	0.0141813	0.0665428	0.116474	0.217893	0.319149	0.235327
m	0.00809483	0.00185953	0.00433675	0.0109608	0.00417792	0.00595322	0.0145136	0.209403	0.710806	0.0298934
i	0.000520227	0.000140674	0.00082128	0.0015564	0.00862545	0.00170324	0.00243745	0.0358181	0.918758	0.0296189
n	0.0003437	0.000239763	0.00369512	0.00693538	0.0118316	0.0193535	0.0489554	0.166215	0.701357	0.0410735
a	0.0020025	0.00493378	0.00708778	0.014566	0.00868037	0.014836	0.0460762	0.146385	0.620937	0.134496
</S>	0.00220185	0.00147839	0.00576373	0.00702134	0.00669858	0.0186004	0.0341258	0.207114	0.170084	0.546913
