 	elle	est	pour	notre	père	une	cousine	germaine	</S>
w	0.629479	0.110724	0.0485311	0.135139	0.0289127	0.0369814	0.00998341	0.000106091	0.000143786
a	0.685586	0.054115	0.0224377	0.180133	0.00309125	0.0207131	0.0329213	0.000910203	9.24379e-05
l	0.138918	0.429029	0.143103	0.232701	0.00986545	0.0372418	0.00381487	0.0012313	0.00409528
a	0.154689	0.157576	0.195375	0.112577	0.00735725	0.0735428	0.0217951	0.011372	0.265716
t	0.268641	0.153934	0.213478	0.162625	0.0328225	0.0293563	0.0381371	0.00552487	0.0954809
á	0.0119865	0.160399	0.0951119	0.00372905	0.699535	0.00533174	0.00172905	0.0104455	0.0117317
á	0.0870673	0.164974	0.0727144	0.128888	0.421826	0.00885881	0.0161608	0.00175153	0.0977594
b	0.130994	0.0927362	0.167003	0.348101	0.161504	0.0676451	0.0244619	0.00147048	0.00608443
í	0.124363	0.101788	0.264442	0.313277	0.0142934	0.128137	0.0211314	0.0189792	0.0135896
s	0.0268741	0.0314295	0.0807268	0.634813	0.0980463	0.0758063	0.0351032	0.00323819	0.0139632
í	0.0349048	0.115989	0.425174	0.15338	0.0286469	0.128786	0.0123673	0.00442933	0.0963224
a	0.0224277	0.0483405	0.236164	0.251959	0.0711295	0.283828	0.0357246	0.00792626	0.0424997
d	0.00724853	0.0905471	0.206237	0.056888	0.0789542	0.450644	0.0388528	0.0455428	0.0250849
i	0.00391026	0.0249372	0.0902185	0.0404926	0.00273827	0.564672	0.0353404	0.0304784	0.207212
m	0.00373686	0.00990858	0.0823385	0.0792286	0.00200174	0.532217	0.198313	0.0404248	0.0518307
w	0.00546539	0.00579927	0.0185827	0.0124188	0.000162478	0.121827	0.698087	0.0434334	0.0942239
á	0.000107685	4.52611e-05	0.000301026	4.18676e-05	5.7797e-05	0.000682918	0.997502	0.000464084	0.000796845
n	0.00251737	0.000448041	0.00340844	0.0136838	3.63698e-05	0.0312235	0.93556	0.00193822	0.0111843
a	0.00954564	0.00913263	0.042572	0.0353318	0.000166004	0.177059	0.561007	0.0369551	0.12823
i	0.00163373	0.00480881	0.0380541	0.136913	0.00279048	0.365932	0.0139734	0.0852338	0.350661
l	0.00330632	0.0115479	0.0395757	0.00800881	0.0027588	0.0436365	0.0465791	0.542614	0.301973
ω	0.000357505	0.00527171	0.0146244	0.00364503	0.000517019	0.0142317	0.000907658	0.712695	0.24775
i	6.82889e-05	0.000490205	0.00272365	0.00453336	0.000294724	0.0148984	0.0011676	0.800549	0.175275
</S>	0.00410892	0.00449432	0.0293603	0.0445056	0.00123324	0.0485657	0.0174278	0.159177	0.691128
