 	agrandis	la	porte	de	la	maison	</S>
k	0.778918	0.173787	0.00668461	0.0150398	0.0200517	0.00327683	0.00224128
o	0.925709	0.0408688	0.0157206	0.00378575	0.0085107	0.00235708	0.00304841
n	0.722457	0.121826	0.117377	0.0144001	0.00426236	0.00224429	0.017434
d	0.566075	0.180391	0.106495	0.0296762	0.0257394	0.0760581	0.0155655
í	0.726017	0.0969189	0.0794822	0.0190041	0.00918168	0.0120436	0.0573527
s	0.0157667	0.842775	0.0834522	0.0363833	0.0102086	0.00160952	0.00980449
á	0.00562574	0.431963	0.339557	0.111561	0.0373672	0.00695398	0.0669712
e	0.0112681	0.281113	0.428378	0.119591	0.0847461	0.0618352	0.0130688
k	0.0148551	0.0107525	0.576394	0.231134	0.051555	0.101685	0.0136246
u	0.0286684	0.0159263	0.536475	0.297873	0.0361519	0.0560174	0.0288877
u	0.00760521	0.012086	0.200624	0.473632	0.0764782	0.195115	0.0344604
y	0.000250051	0.0489903	0.0359772	0.578897	0.252761	0.0328623	0.0502618
á	0.00107319	0.0746253	0.0879395	0.273015	0.297326	0.111909	0.154111
n	0.00121401	0.0227973	0.0354436	0.0953966	0.290286	0.517956	0.0369066
d	0.000998363	0.0135868	0.0215515	0.0345352	0.188178	0.711923	0.0292274
é	0.000619605	0.0033939	0.00854346	0.00603697	0.0499559	0.905928	0.0255226
e	0.000551319	0.00882151	0.0570812	0.0502703	0.121204	0.534081	0.227991
</S>	0.000453692	0.0207012	0.0151611	0.129972	0.159958	0.0474345	0.626319
