 	notre	grand-mère	souffre	de	l'	éléphantiasis	</S>
k	0.381903	0.510757	0.0428651	0.0345862	0.0270772	0.00131015	0.00150143
a	0.039646	0.841901	0.0240956	0.023907	0.015574	0.0486199	0.00625661
a	0.00454365	0.753213	0.123886	0.0709536	0.0159011	0.00992436	0.021579
g	0.226881	0.466271	0.0771193	0.0405463	0.043887	0.00640336	0.138891
h	0.522819	0.193201	0.124979	0.0466299	0.0122651	0.00105285	0.0990532
á	0.32509	0.0999839	0.131431	0.080125	0.0309955	0.0120909	0.320283
y	0.628186	0.156464	0.102946	0.046072	0.0197044	0.00320394	0.0434236
a	0.691605	0.130754	0.0758292	0.0300926	0.0165572	0.0056412	0.049521
b	0.978395	0.00676617	0.00689412	0.00404108	0.00204534	0.000465003	0.00139346
í	0.979617	0.0049232	0.00808276	0.00502301	0.00129995	0.000396794	0.000657221
s	0.973777	0.00892555	0.00681717	0.0051615	0.00245936	0.000155807	0.00270351
í	0.528898	0.0475695	0.086741	0.0731827	0.0157076	0.00846301	0.239438
a	0.0101186	0.0495308	0.356994	0.291233	0.237447	0.0164724	0.0382048
d	0.00400589	0.0134134	0.270211	0.276575	0.355737	0.0603409	0.0197167
í	0.00784726	0.00158822	0.119156	0.235977	0.292272	0.0452376	0.297922
l	0.03702	0.00129076	0.0987289	0.183637	0.34063	0.129262	0.209432
i	0.030323	0.00901546	0.0512757	0.0843645	0.102907	0.230766	0.491348
t	0.015744	0.00130686	0.0109589	0.0157742	0.0237908	0.78356	0.148865
í	0.000944879	0.00478598	0.0191563	0.0151923	0.0176949	0.917049	0.0251767
n	0.000290893	0.00326902	0.0363183	0.0421799	0.0530562	0.802519	0.0623663
d	0.000603535	0.00112645	0.0267714	0.0597313	0.0538686	0.719864	0.138035
í	0.00744299	0.00170077	0.0320179	0.0735617	0.0529946	0.50075	0.331532
</S>	0.00319505	0.00156902	0.0178465	0.06107	0.0697725	0.150405	0.696142
