 	le	fleuve	congo	a	beaucoup	d'	îles	</S>
n	0.60615	0.382263	0.00595471	0.00309393	0.000521087	0.00108131	0.000835992	9.91352e-05
z	0.351754	0.638696	0.00715091	0.000372486	0.000451915	0.00050637	0.00100183	6.56928e-05
á	0.174807	0.728289	0.0741971	0.00312604	0.00727487	0.00347901	0.00778904	0.00103727
l	0.0786425	0.71508	0.170621	0.00283778	0.00376749	0.00257104	0.0117006	0.0147796
é	0.201465	0.457677	0.209649	0.0290403	0.0119672	0.00574899	0.0108299	0.0736227
y	0.198885	0.226532	0.255758	0.231001	0.0424546	0.0166833	0.00704294	0.0216439
á	0.224915	0.16383	0.488712	0.0732042	0.018145	0.0064988	0.00418459	0.0205111
k	0.220395	0.0244886	0.455917	0.181622	0.0364826	0.0209766	0.0243684	0.0357503
o	0.0308243	0.0129508	0.725547	0.139581	0.0295757	0.0144133	0.0285606	0.0185474
n	0.0241424	0.0367942	0.789964	0.12089	0.0141627	0.00446176	0.0012529	0.00833138
g	0.0589301	0.0835048	0.672056	0.0749988	0.0196368	0.0142285	0.0113662	0.0652787
o	0.202572	0.213417	0.448799	0.0921834	0.00734219	0.00438339	0.00794851	0.0233551
é	0.0249341	0.029674	0.0627663	0.7075	0.10629	0.047608	0.00732305	0.0139044
d	0.0075819	0.00505591	0.0179536	0.278442	0.490204	0.124047	0.00486292	0.0718532
í	0.000948015	0.000711769	0.00228263	0.0377392	0.420501	0.0808847	0.0211173	0.435815
l	0.00432515	0.00075659	0.0028139	0.0714076	0.339408	0.22403	0.0918983	0.265361
i	0.00254374	0.000968862	0.00230436	0.0345699	0.329529	0.18914	0.13719	0.303753
s	0.00256426	0.00118208	0.00438651	0.0137117	0.154558	0.166951	0.433024	0.223622
a	0.00129544	0.000947291	0.0077358	0.00233078	0.147932	0.0957182	0.682035	0.0620054
n	0.000222345	0.000115114	0.00271016	0.0093782	0.087909	0.115508	0.33963	0.444527
g	0.000584339	0.00107241	0.00648233	0.0194086	0.156201	0.127257	0.504524	0.184472
a	0.00111009	0.00214042	0.00660012	0.0171506	0.0675786	0.0751303	0.429351	0.400939
w	0.00251774	0.00160623	0.00156437	0.0281255	0.0632595	0.197836	0.193092	0.511999
a	0.00421317	0.00174933	0.00298538	0.0580751	0.16361	0.38862	0.235071	0.145677
m	0.00152055	0.000582451	0.00273036	0.018452	0.0687655	0.11776	0.22462	0.565569
έ	0.00391279	0.00494376	0.00228894	0.026663	0.060573	0.472176	0.288317	0.141126
n	0.00270377	0.00297869	0.00344714	0.0223636	0.0710301	0.251501	0.252091	0.393885
d	0.00329889	0.00326059	0.00314419	0.00703616	0.0249089	0.0314993	0.493512	0.43334
e	0.00441664	0.0143706	0.0203332	0.00801063	0.0224513	0.0277032	0.227569	0.675145
</S>	0.000120759	0.000380241	0.00889674	0.00461589	0.0424118	0.0518302	0.17851	0.713234
