 	ces	femmes	parlent	beaucoup	</S>
a	0.50577	0.487245	0.00485516	0.00203576	9.42027e-05
y	0.0279813	0.969932	0.00117152	0.000675141	0.000239832
ú	0.409105	0.582262	0.0020635	0.00422426	0.00234609
r	0.583172	0.349879	0.00430121	0.00669954	0.0559482
u	0.646796	0.32311	0.0141614	0.0081737	0.00775843
b	0.619445	0.170471	0.0989866	0.0489753	0.062122
á	0.540662	0.0853768	0.134173	0.0932589	0.146529
b	0.33683	0.117998	0.444799	0.0319807	0.0683927
á	0.403219	0.283987	0.286088	0.0148505	0.0118559
a	0.509539	0.0864942	0.362444	0.0275916	0.0139313
w	0.0168485	0.0237644	0.314508	0.0995579	0.545321
a	0.0598732	0.0487385	0.645939	0.154421	0.0910283
m	0.186697	0.00841772	0.257925	0.122323	0.424636
á	0.714412	0.0121821	0.133482	0.0803447	0.0595793
n	0.0670374	0.00485062	0.324302	0.488932	0.114877
á	0.0955112	0.00476131	0.327273	0.457137	0.115318
o	0.0239316	0.00178653	0.0831041	0.608794	0.282384
y	0.00529618	0.00583363	0.0224169	0.633912	0.332542
í	0.00519755	0.00721079	0.044999	0.453223	0.489369
í	0.00714067	0.000173096	0.01495	0.102477	0.875259
w	0.0128135	0.000344033	0.0202558	0.279744	0.686843
a	0.111273	0.00342096	0.141838	0.49284	0.250628
m	0.0178247	0.000498826	0.0172137	0.437388	0.527075
έ	0.127652	0.0378466	0.0767473	0.461414	0.29634
n	0.0151004	0.0014847	0.0266761	0.370543	0.586196
d	0.0281746	0.00175711	0.0192091	0.171582	0.779277
e	0.00733687	0.00296621	0.00828378	0.144444	0.836969
</S>	0.00104075	0.000153536	0.012715	0.222153	0.763938
