 	ce	n'	est	pas	mon	affaire	c'	est	ton	affaire	</S>
í	0.411464	0.335343	0.0570377	0.0441295	0.00804847	0.0457729	0.0230285	0.0253894	0.0368105	0.00589908	0.00707636
d	0.0589683	0.450794	0.075676	0.120154	0.0142138	0.0812237	0.0423689	0.0671129	0.0290204	0.0575791	0.00288879
í	0.0725284	0.435213	0.140129	0.0776155	0.0129739	0.0647682	0.0748544	0.0390812	0.00852659	0.0106951	0.0636146
ω	0.0433689	0.23697	0.131628	0.061962	0.0481359	0.067762	0.0581074	0.0579233	0.0709673	0.0427496	0.180426
d	0.0600786	0.156591	0.3189	0.161405	0.0671513	0.0598823	0.0278022	0.0228792	0.0237178	0.0262087	0.0753841
z	0.0055758	0.0222663	0.0940335	0.161211	0.00369194	0.0280715	0.0660148	0.0753813	0.015288	0.0251233	0.503343
á	0.173974	0.0595464	0.116909	0.166084	0.0574935	0.031197	0.0753727	0.0351163	0.0135574	0.00596972	0.264779
i	0.0179162	0.0331901	0.141976	0.10574	0.015763	0.0580974	0.0591874	0.0500083	0.0251415	0.0232925	0.469688
b	0.0470326	0.0534716	0.187087	0.233236	0.067088	0.192986	0.0840878	0.0337735	0.0106123	0.01303	0.0775962
h	0.0195207	0.0240675	0.0493024	0.440105	0.0264267	0.180637	0.0675139	0.0374774	0.0101973	0.0423834	0.102369
ώ	0.0157226	0.013587	0.0368948	0.485576	0.0244204	0.173549	0.0691702	0.0395672	0.022995	0.0419938	0.076524
ω	0.0537512	0.0219174	0.0701682	0.2152	0.160603	0.20379	0.0959832	0.0453312	0.0541195	0.0195357	0.0596003
l	0.0181582	0.0108496	0.0602599	0.130688	0.171061	0.214419	0.180424	0.0802197	0.0656337	0.0353383	0.0329479
á	0.0497826	0.0271524	0.0598177	0.0711491	0.288435	0.0855571	0.120157	0.0756638	0.0659947	0.0208491	0.135442
n	0.00606002	0.00198119	0.00552803	0.0134843	0.821083	0.0342595	0.0377433	0.0133136	0.0527331	0.00486057	0.00895289
g	0.00272402	0.00165983	0.000746362	0.0019566	0.928718	0.0124017	0.0115426	0.00573934	0.0245198	0.0031056	0.00688644
á	0.00130952	0.00238683	0.00333066	0.00280827	0.880914	0.0132798	0.0141396	0.00752429	0.0392974	0.00538508	0.0296245
k	0.00680002	0.00337598	0.0141355	0.0353739	0.257315	0.141311	0.161836	0.0969055	0.180257	0.0608895	0.0418004
a	0.00233847	0.00642909	0.00817782	0.0932855	0.0694328	0.145464	0.255368	0.176852	0.0601606	0.128708	0.0537833
á	0.000280646	0.000839486	0.00613078	0.0308849	0.0469009	0.108037	0.197721	0.180803	0.0802479	0.198628	0.149527
í	0.00293774	0.00189481	0.0182595	0.00566436	0.0823574	0.0437271	0.160295	0.134202	0.159183	0.0699199	0.32156
d	0.00792719	0.00871319	0.0336556	0.0330587	0.0442791	0.023425	0.104033	0.235679	0.208004	0.163095	0.138129
i	0.00666777	0.00566759	0.017054	0.00760795	0.0392243	0.00703727	0.0838994	0.159881	0.114003	0.0664989	0.492459
l	0.00626058	0.00121302	0.0101108	0.0225292	0.0946351	0.0207229	0.105778	0.203997	0.274197	0.0921317	0.168424
á	0.00256215	0.00203738	0.00883971	0.00412032	0.0326948	0.0153424	0.0725844	0.106571	0.0964763	0.061369	0.597403
n	0.00146834	0.00193315	0.0054994	0.00969688	0.0852522	0.0192211	0.0522627	0.126695	0.217434	0.153091	0.327446
ω	0.00189979	0.00189358	0.00147671	0.00167566	0.400981	0.00708677	0.0253813	0.0527085	0.271693	0.034384	0.20082
</S>	0.000431098	0.000791286	0.00214314	0.00193055	0.0398064	0.0260122	0.0614557	0.10169	0.144637	0.102184	0.51892
