 	les	mamans	doivent	vacciner	leurs	enfants	contre	la	rougeole	</S>
a	0.778267	0.183655	0.0125377	0.00490801	0.0144018	0.00489255	0.000617144	0.000569998	0.00013808	1.27337e-05
n	0.144362	0.723172	0.094795	0.0155402	0.00794019	0.00307465	0.00527735	0.00291543	0.00195757	0.000965165
g	0.0117399	0.914731	0.0292603	0.027226	0.00921315	0.00394521	0.00162967	0.0011003	0.000308595	0.000846115
ó	0.0118613	0.957963	0.00861435	0.0174996	0.00155448	0.00133407	0.000321788	0.000180123	0.000229098	0.000442485
o	0.0086922	0.95353	0.0143625	0.016936	0.00244685	0.000962545	0.000672091	0.000564158	0.000297385	0.0015363
k	0.274053	0.337618	0.221287	0.0826178	0.0347311	0.00848503	0.00908666	0.0113118	0.00230543	0.0185038
á	0.0671323	0.0662327	0.369407	0.247929	0.0634673	0.0139536	0.0518286	0.02126	0.00732251	0.0914666
a	0.166546	0.0455266	0.141035	0.146277	0.0932008	0.215536	0.0257232	0.0198237	0.0491898	0.0971426
b	0.0458658	0.0270552	0.457639	0.27047	0.0975842	0.0266549	0.0198973	0.0198615	0.0052421	0.0297304
á	0.0534542	0.0179093	0.320982	0.193753	0.107962	0.162515	0.039621	0.0297322	0.0649954	0.00907586
a	0.0576495	0.0278325	0.16736	0.176826	0.134516	0.307289	0.0231734	0.0223032	0.0428917	0.0401586
n	0.00678186	0.00670297	0.498448	0.27905	0.114702	0.0173651	0.0216375	0.0112521	0.00214809	0.0419122
ώ	0.00300669	0.0320931	0.35407	0.553037	0.0229475	0.0110572	0.00638543	0.00633702	0.00284559	0.00822023
n	0.00409079	0.0572124	0.251554	0.556989	0.0915997	0.00812806	0.0105001	0.0110096	0.00077232	0.00814333
g	0.00517737	0.0134626	0.314386	0.483164	0.0771924	0.00579813	0.019485	0.01509	0.00383092	0.0624135
ώ	0.00385987	0.0152702	0.0889147	0.830474	0.0313399	0.00534828	0.00286825	0.00372744	0.00355013	0.0146469
s	0.00790611	0.00269247	0.0605412	0.185998	0.642827	0.0487198	0.022235	0.0159909	0.00195969	0.01113
ώ	0.00774982	0.00839294	0.10056	0.553213	0.245765	0.0115825	0.022681	0.0168324	0.00322693	0.0299965
b	0.00581951	0.00285637	0.0135859	0.14859	0.594627	0.155232	0.032167	0.0251096	0.00599877	0.0160134
á	0.00813796	0.000833303	0.00913764	0.0669393	0.19515	0.660365	0.0273162	0.00465912	0.024198	0.00326335
n	0.00230795	0.00191966	0.00624584	0.0250218	0.10325	0.799468	0.0164251	0.00517508	0.0356948	0.00449203
a	0.00860769	0.0119659	0.0172071	0.0962065	0.200997	0.52627	0.0219336	0.0191486	0.029491	0.0681724
b	0.000326474	0.000694563	0.0177844	0.0805062	0.488681	0.151921	0.185389	0.049398	0.00829685	0.0170027
á	0.0119724	0.00227254	0.0327321	0.0641542	0.251111	0.274752	0.182414	0.0877613	0.0196027	0.0732278
b	0.00475456	0.0051418	0.00810821	0.0147998	0.131109	0.311837	0.252303	0.159746	0.0511503	0.0610506
á	0.0025052	0.000763771	0.0106751	0.0220337	0.210536	0.385448	0.30602	0.0342595	0.0154937	0.0122651
a	0.0014282	0.00251851	0.00732649	0.0174068	0.0999293	0.408113	0.19204	0.127248	0.123241	0.0207503
t	0.000444408	0.000157604	0.0041018	0.00334171	0.0215325	0.00936774	0.305003	0.322293	0.0310894	0.302669
o	0.000157517	0.000290894	0.0102256	0.0180092	0.0281799	0.0150208	0.686688	0.0736193	0.0277394	0.140069
n	0.000883349	0.00034463	0.0188215	0.0187188	0.0213456	0.0073484	0.47891	0.0942263	0.0327032	0.326699
g	0.00113211	0.000369745	0.0201145	0.0171271	0.0301714	0.0129639	0.42323	0.0994482	0.0338683	0.361575
a	0.00347837	0.00226478	0.0336678	0.107924	0.0965463	0.108467	0.233241	0.111369	0.173975	0.129066
y	0.000975635	0.000467893	0.00284753	0.00537184	0.0245784	0.00902783	0.105033	0.37715	0.0768934	0.397654
e	0.000785679	0.000265166	0.00513257	0.0142933	0.0215727	0.00325732	0.207754	0.387094	0.0776265	0.282218
e	0.00221458	0.00153128	0.00755746	0.0218157	0.0417544	0.0146425	0.0581637	0.363356	0.114734	0.37423
b	0.000438087	0.000358043	0.00644115	0.00418529	0.0126298	0.00526655	0.109766	0.232502	0.0945047	0.533909
á	0.000802557	0.000372049	0.0182733	0.00889642	0.0432049	0.0418711	0.224538	0.234751	0.352934	0.0743571
r	0.000910228	0.000381397	0.00396859	0.00478115	0.0138648	0.0329809	0.133659	0.0881005	0.408934	0.312419
á	0.000557118	0.00016228	0.00520614	0.012282	0.022041	0.00817346	0.170141	0.24661	0.0752553	0.459572
l	0.00626857	0.00116124	0.0037474	0.00837741	0.0328731	0.0224611	0.0393353	0.173339	0.112688	0.599749
a	0.0041007	0.00155179	0.00685447	0.0060058	0.0250945	0.0082869	0.0544681	0.115788	0.0545524	0.723297
m	0.00118201	0.000504633	0.00212985	0.00704477	0.0359085	0.0122145	0.0487139	0.218563	0.227204	0.446535
b	0.00039054	6.82557e-05	0.00354359	0.00175766	0.0189648	0.0147471	0.0486425	0.246594	0.586004	0.0792879
e	0.000441224	9.63978e-05	0.000910227	0.000691973	0.00148531	0.0104203	0.0109942	0.0415197	0.903969	0.0294716
m	6.95462e-05	2.06703e-05	0.000719894	0.000685359	0.00220193	0.0122962	0.0311148	0.0550829	0.827018	0.0707912
b	0.00146638	0.000109268	0.000692289	0.000567488	0.00269901	0.00989972	0.0244324	0.110198	0.544188	0.305747
e	0.00228833	0.00030794	0.00157451	0.00135032	0.00247421	0.0380037	0.012399	0.0383171	0.860271	0.0430138
</S>	0.000896338	0.000117776	0.00258402	0.00338546	0.00943375	0.00317867	0.12082	0.161491	0.102631	0.595462
