 	c'	est	son	père	qui	l'	avait	initié	à	ce	culte	mystique	</S>
o	0.269823	0.127575	0.144997	0.126561	0.0508593	0.115706	0.111463	0.0201561	0.0148863	0.011575	0.00100983	0.00358566	0.00180296
k	0.00766688	0.0236876	0.00572335	0.0307214	0.00667547	0.0424429	0.00956719	0.634286	0.00623494	0.00474767	0.216513	0.00597351	0.00575986
y	0.000299227	0.00169266	0.00190202	0.00367601	0.0010702	0.00962623	0.000955848	0.969564	0.00260152	0.000811874	0.00207476	0.00475796	0.000967732
é	0.00113585	0.0104084	0.00335871	0.00657666	0.002377	0.0127993	0.00367376	0.933507	0.00970896	0.00549258	0.00674142	0.00312462	0.00109618
n	0.0627485	0.108218	0.122146	0.0431149	0.057661	0.128325	0.0908755	0.314724	0.0265539	0.018946	0.00509702	0.00404596	0.0175442
i	0.0490506	0.054645	0.0298644	0.00979071	0.0138185	0.028153	0.0263747	0.602054	0.0550434	0.0129053	0.0292445	0.00747429	0.0815815
s	0.0827498	0.0939981	0.15359	0.103016	0.0599939	0.0473374	0.146901	0.0389159	0.14187	0.089555	0.0170924	0.01136	0.0136212
i	0.0143889	0.0166256	0.0277293	0.0110343	0.0520019	0.0526123	0.0370325	0.0623741	0.193001	0.29825	0.151319	0.011741	0.0718903
w	0.0126597	0.00859727	0.0459989	0.032871	0.0845889	0.041664	0.123054	0.00500261	0.234047	0.349754	0.0552235	0.00355749	0.00298097
a	0.0158467	0.0198745	0.0373292	0.0960858	0.0923189	0.0633125	0.138035	0.0305557	0.206633	0.223866	0.0550423	0.00464345	0.0164568
o	0.0117879	0.011355	0.0476336	0.0335066	0.0631396	0.053978	0.0620762	0.0446117	0.323844	0.180309	0.0971562	0.0301898	0.0404128
n	0.00135379	0.00309916	0.0012822	0.000865029	0.00315442	0.00627004	0.00352946	0.036142	0.0233531	0.01565	0.565038	0.332347	0.00791554
g	0.00368514	0.00993473	0.00280419	0.000147233	0.01596	0.023442	0.00462538	0.0135659	0.0516216	0.185648	0.645741	0.0173579	0.0254666
a	0.000172731	0.00117035	0.000960808	0.000170524	0.00818722	0.0168427	0.00683863	0.0358635	0.0396803	0.118149	0.737086	0.0253515	0.00952748
n	0.00142078	0.00846009	0.0465992	0.00274088	0.107638	0.155802	0.0384987	0.0730997	0.152087	0.211855	0.0865362	0.0543567	0.0609052
g	0.00598041	0.0146649	0.0294198	0.00265815	0.0848091	0.133285	0.0559029	0.0936283	0.13638	0.149544	0.151849	0.0867565	0.0551231
a	0.00956347	0.0273874	0.0870485	0.00834981	0.0684577	0.109442	0.047826	0.14564	0.107116	0.149774	0.134568	0.0641069	0.0407201
m	0.00543481	0.00742768	0.0378097	0.00717624	0.0529166	0.0423778	0.0584161	0.00920111	0.225634	0.173588	0.0212465	0.248858	0.109913
ú	0.0945863	0.045363	0.050407	0.0143466	0.0544052	0.038431	0.0682574	0.00329506	0.243397	0.0551642	0.0313216	0.0923024	0.208723
u	0.00450934	0.00889867	0.0209761	0.00699741	0.035783	0.0484849	0.0416722	0.00402003	0.173754	0.0612894	0.0160681	0.249652	0.327894
á	0.00218919	0.00829658	0.00599003	0.00266896	0.00725899	0.00928391	0.00395846	0.0113582	0.0163525	0.00748834	0.0468966	0.600281	0.277977
d	0.00146755	0.0077081	0.0100801	0.00266493	0.00637044	0.00964591	0.00582746	0.00940536	0.0102334	0.00832943	0.0141438	0.238225	0.675898
z	0.00053767	0.00237191	0.00166201	0.0013395	0.00383465	0.00376194	0.00142781	0.00152893	0.00837557	0.00509659	0.0036625	0.186999	0.779402
a	0.00583677	0.00486558	0.00641342	0.00492256	0.048779	0.0176214	0.00363522	0.00428486	0.0638518	0.0522388	0.0419731	0.254887	0.49069
t	0.00215511	0.00116103	0.00849298	0.00153701	0.0124796	0.0105134	0.00846906	0.00356125	0.0581152	0.0599009	0.00622109	0.22634	0.601053
á	0.00050657	0.00191011	0.00294597	0.000756434	0.00219461	0.00209152	0.00191004	0.0205896	0.0117806	0.006541	0.00145788	0.335798	0.611518
á	0.00026745	0.000610303	0.00281099	0.00269771	0.00148659	0.000740285	0.00127952	0.0011369	0.0180956	0.00662321	0.00113698	0.382456	0.580658
</S>	0.00685551	0.00476042	0.0205288	0.0253774	0.0173809	0.0151402	0.0183784	0.012345	0.138668	0.0716033	0.00653039	0.0724144	0.590017
