 	le	soleil	fait	transpirer	le	cultivateur	</S>
m	0.698636	0.291226	0.00461163	0.00232044	0.00269277	0.000426406	8.7753e-05
w	0.0812438	0.879133	0.0195573	0.00338402	0.00353856	0.000391661	0.0127513
é	0.00822593	0.984884	0.000864522	0.00590123	1.22404e-05	7.79059e-05	3.37173e-05
s	0.223257	0.722172	0.0278022	0.00972391	0.00227939	0.00164516	0.0131205
é	0.216944	0.643876	0.0479708	0.0144609	0.00254245	0.00270568	0.071501
m	0.622858	0.155193	0.176229	0.00715356	0.0142687	0.00440866	0.0198891
ó	0.497507	0.335007	0.107553	0.00717383	0.0395725	0.00435196	0.00883401
o	0.63676	0.0673948	0.201646	0.0316955	0.0202076	0.00426356	0.0380326
p	0.0477761	0.0490008	0.69762	0.173046	0.0051546	0.00989388	0.0175083
ω	0.00812858	0.0117788	0.193418	0.765375	0.00128404	0.00316057	0.0168551
m	0.00415896	0.00635136	0.0675626	0.919026	0.00102607	0.000586538	0.00128867
ω	0.0448621	0.0261376	0.235051	0.511911	0.0950629	0.0127879	0.0741874
s	0.0311838	0.0149053	0.339989	0.291755	0.249551	0.0382184	0.0343971
ω	0.0337538	0.0162593	0.172665	0.552677	0.115418	0.0264037	0.0828232
o	0.0182328	0.00322711	0.121169	0.260251	0.479694	0.0404936	0.0769329
s	0.0179681	0.00438445	0.061036	0.20499	0.144429	0.524232	0.0429608
έ	0.0178535	0.0165862	0.0621607	0.347239	0.0564621	0.390034	0.109665
i	0.00785165	0.00149891	0.0409147	0.0813221	0.197107	0.444197	0.227109
k	0.00487433	0.000716765	0.0274921	0.0154826	0.171211	0.419356	0.360868
ú	0.00462487	0.00191814	0.0206632	0.0559184	0.0218709	0.760639	0.134366
b	0.0160662	0.00200713	0.0181627	0.222764	0.102345	0.274	0.364655
h	0.154483	0.00720673	0.0381102	0.0485811	0.147447	0.300821	0.303351
á	0.0382645	0.00695374	0.0696693	0.0610591	0.329422	0.19986	0.294771
</S>	0.0130567	0.00162767	0.0174499	0.00693259	0.150254	0.149985	0.660694
