 	après	la	mort	de	sa	mère	elle	se	lança	dans	la	prostitution	</S>
n	0.391766	0.426956	0.103798	0.0296314	0.0191572	0.0027603	0.0120683	0.00891968	0.000206236	0.00170581	0.00251052	0.00026091	0.000258878
g	0.957568	0.0335862	0.00149915	0.000979885	0.00576718	0.000498155	1.21655e-05	1.98712e-05	5.68947e-07	7.58699e-06	3.70092e-05	2.01451e-05	4.29154e-06
ó	0.662682	0.122423	0.011111	0.00239747	0.00683822	0.193407	0.000344224	0.000394765	3.63836e-05	0.000129329	5.43794e-05	0.000161065	2.10561e-05
o	0.235219	0.0282734	0.00706774	0.00142401	0.00654764	0.718477	0.000125114	8.29845e-05	0.000126822	0.000116096	8.0411e-05	0.000932487	0.00152767
l	0.149004	0.414512	0.121618	0.04886	0.0239372	0.0684504	0.0892815	0.0478847	0.00172549	0.00453395	0.00365847	0.00046709	0.0260667
ó	0.229845	0.234697	0.161952	0.0522273	0.0155046	0.0266401	0.0513816	0.0678141	0.00935166	0.0294259	0.0103266	0.00300186	0.107833
w	0.0722066	0.159832	0.365053	0.139869	0.0168452	0.115295	0.0384181	0.0199993	0.00668271	0.0116053	0.00677404	0.00511089	0.0423085
á	0.0419788	0.140893	0.301092	0.186557	0.0365206	0.0578984	0.0383252	0.0655358	0.0435017	0.0275241	0.0224745	0.00216116	0.0355385
a	0.0185968	0.0342369	0.1564	0.206923	0.123408	0.0455674	0.204981	0.102713	0.0324479	0.0109421	0.00937184	0.00201565	0.052395
w	0.00617	0.0149469	0.179734	0.319316	0.0620534	0.0519342	0.148291	0.0979248	0.086852	0.0172145	0.00576793	0.00332626	0.00646954
a	0.0127294	0.0525731	0.273592	0.400178	0.0281106	0.00939387	0.0346171	0.064001	0.0284762	0.0343276	0.0217232	0.00317217	0.037106
a	0.00453177	0.0263166	0.156052	0.227285	0.0759319	0.0356291	0.184497	0.143037	0.0772374	0.0253646	0.0116722	0.00188058	0.0305642
p	0.00193344	0.00832811	0.0583644	0.119636	0.0236119	0.0206889	0.126094	0.289653	0.203788	0.123778	0.0105504	0.00166323	0.0119113
f	0.000360488	0.000668219	0.00973657	0.0193209	0.00120214	0.00101208	0.00324827	0.0079871	0.922365	0.0303832	0.001465	0.000285713	0.00196544
u	0.000476504	0.000788142	0.00613808	0.0224187	0.00328631	8.09085e-05	0.00310009	0.036695	0.864749	0.0565086	0.00368076	0.000186824	0.00189083
u	0.000728811	0.00292347	0.00773883	0.0218335	0.0138574	0.00157562	0.0356456	0.0981032	0.628743	0.13651	0.025633	0.00659401	0.0201135
g	0.00107205	0.00136873	0.00526415	0.0640349	0.0237422	0.000568339	0.0844608	0.284471	0.0378523	0.23565	0.229233	0.00960489	0.0226772
h	0.00178814	0.00469285	0.0225	0.163877	0.0821453	0.000554331	0.0258966	0.0482616	0.126009	0.179141	0.205118	0.0231958	0.11682
u	0.00156088	0.00307762	0.014948	0.109628	0.0648413	0.000590446	0.01115	0.0499999	0.113151	0.196512	0.27544	0.0575301	0.10157
m	0.000278606	0.0003819	0.000786038	0.00633936	0.00420171	0.000204799	0.00408586	0.0127454	0.0583491	0.453299	0.369276	0.0699581	0.020094
ó	0.000732173	0.00114815	0.00109196	0.012587	0.0164119	1.0346e-05	0.00260707	0.0122476	0.0034054	0.12287	0.575085	0.0968517	0.154952
n	0.00323992	0.00258044	0.00776767	0.0190549	0.0047735	0.000536144	0.00559459	0.00932048	0.0155152	0.118877	0.229432	0.538296	0.0450117
d	0.0118563	0.0036125	0.00779856	0.0189026	0.0232101	0.000830724	0.001633	0.00296944	0.000266517	0.0154768	0.133701	0.710216	0.0695272
ú	0.00325723	0.000779727	0.00157792	0.00331301	0.0077639	0.000857062	0.000594792	0.000517783	0.000631414	0.015174	0.108496	0.740195	0.116842
m	0.000553779	0.0001964	0.000376753	0.00196257	0.00397813	0.000335887	0.000245554	0.000638336	0.00397724	0.0365508	0.1492	0.561224	0.240761
b	0.00127286	0.000613141	0.000873367	0.00393688	0.00534289	2.82816e-05	0.00286147	0.00417625	0.00137548	0.0716014	0.221781	0.33515	0.350987
á	0.00216035	0.00105477	0.000411309	0.00244127	0.006208	8.68517e-05	0.000795154	0.00188982	0.000596401	0.0114665	0.165693	0.74769	0.0595068
</S>	0.00187145	0.00146274	0.00230212	0.0150841	0.0107051	0.000817058	0.0138441	0.0218928	0.00507218	0.0156249	0.141386	0.298472	0.471465
