 	mon	mari	aime	les	agrumes	</S>
o	0.961225	0.0230661	0.00581614	0.00970639	5.54552e-05	0.000130728
l	0.0338068	0.958586	0.00495893	0.00036727	0.00167388	0.000607281
ó	0.00971846	0.956227	0.022434	0.00067686	0.0024826	0.0084615
m	0.000980299	0.993485	0.00151435	0.000139661	0.00305665	0.0008243
i	0.102136	0.673233	0.0332792	0.00935658	0.00600638	0.175988
y	0.518962	0.295417	0.0447971	0.0548787	0.00769329	0.0782511
a	0.89575	0.0392957	0.0257138	0.0150934	0.00464282	0.0195042
n	0.926584	0.0177287	0.0118226	0.0147851	0.013109	0.0159706
g	0.977845	0.0118873	0.00201807	0.00556733	0.0010009	0.00168113
á	0.456772	0.404059	0.0310281	0.028217	0.015002	0.0649224
l	0.320409	0.0696511	0.200144	0.339249	0.0101285	0.0604174
á	0.187239	0.0162905	0.369512	0.0694734	0.0345476	0.322938
a	0.426415	0.0111153	0.254448	0.18522	0.030868	0.0919337
d	0.0105344	0.0148753	0.943934	0.00825056	0.0146717	0.00773384
i	0.000202987	0.00110008	0.98582	0.00308325	0.00378472	0.0060092
n	0.00948631	0.00309592	0.883321	0.072073	0.00762053	0.0244036
g	0.0136641	0.00309289	0.68456	0.206635	0.00413861	0.0879093
á	0.00715552	0.00426338	0.409159	0.255052	0.0053344	0.319035
á	0.00834455	0.000897394	0.102422	0.862294	0.0161964	0.00984486
a	0.0569226	0.00695294	0.0626865	0.632555	0.204535	0.036348
l	0.025179	0.0415186	0.173403	0.0793793	0.652642	0.0278785
á	0.00624805	0.00525687	0.187789	0.0607938	0.622455	0.117457
l	0.00133585	0.00137548	0.0610098	0.0406879	0.783265	0.112326
a	0.000527416	0.000958469	0.072447	0.0758412	0.454888	0.395338
</S>	0.00275623	0.00151267	0.080567	0.255169	0.388257	0.271738
