 	tout	le	monde	acquiesçait	à	ce	qu'	il	disait	</S>
b	0.488032	0.260794	0.16209	0.0439887	0.00867498	0.00852829	0.0205077	0.00721518	8.71625e-05	8.21771e-05
a	0.302212	0.415369	0.137656	0.097528	0.0133782	0.00902654	0.0114459	0.0124232	0.000219028	0.000742433
r	0.0977818	0.353413	0.222046	0.209401	0.0125844	0.0164014	0.0574593	0.0238154	0.000588406	0.00650979
e	0.322288	0.568922	0.0625924	0.0021059	0.0101494	0.00684008	0.0145594	0.00355173	0.000456374	0.00853488
á	0.423284	0.309984	0.180062	0.0101567	0.0176122	0.0125648	0.0143114	0.0163459	0.0027669	0.0129115
t	0.1405	0.225074	0.230526	0.070516	0.0979135	0.0639561	0.0330808	0.0888284	0.0180593	0.0315463
s	0.0569561	0.322996	0.0811563	0.142613	0.119231	0.0880448	0.0403183	0.0298092	0.0561045	0.0627704
ω	0.321906	0.321828	0.0996717	0.0784557	0.079403	0.0473373	0.0258403	0.0156359	0.00331603	0.00660586
á	0.130334	0.222456	0.225518	0.211399	0.0952963	0.0420431	0.0236825	0.0133016	0.00453957	0.0314289
d	0.040866	0.0359738	0.240581	0.241069	0.186117	0.065484	0.0255173	0.0573404	0.0144814	0.0925699
z	0.0133061	0.0446304	0.120029	0.0539969	0.306176	0.120003	0.0323408	0.0614044	0.0124912	0.235622
e	0.0744794	0.0845809	0.206253	0.0124182	0.371308	0.133753	0.0362488	0.0352044	0.0122809	0.0334733
b	0.0202351	0.0392401	0.135922	0.156246	0.253694	0.21028	0.0883855	0.0360916	0.0117836	0.0481219
á	0.0520045	0.118046	0.0870024	0.239994	0.162836	0.183099	0.0981791	0.0344227	0.0078601	0.0165562
a	0.0312544	0.0293463	0.246035	0.334076	0.0832056	0.0772433	0.14055	0.0300456	0.0012123	0.0270319
s	0.00148093	0.00576299	0.00742575	0.0476222	0.342515	0.301596	0.0776634	0.0838486	0.0535975	0.0784875
í	0.000869587	0.00631958	0.00303071	0.0085978	0.323726	0.350542	0.0360679	0.04518	0.109834	0.115833
m	0.00175558	0.00288126	0.016026	0.0125545	0.225871	0.298171	0.106193	0.0713663	0.0608515	0.204329
b	0.00641542	0.00995014	0.0168776	0.0114123	0.208769	0.373516	0.248792	0.0867373	0.0109625	0.0265689
í	0.00938008	0.0136858	0.0137726	0.0259333	0.105002	0.192609	0.195136	0.0561425	0.0361335	0.352206
s	0.00757265	0.00502269	0.0172352	0.0147315	0.0913205	0.197909	0.451373	0.166597	0.0112234	0.0370157
á	0.0123981	0.0175526	0.019815	0.00163103	0.156792	0.247451	0.323902	0.100791	0.0444147	0.0752525
p	0.0135171	0.00953114	0.0450675	0.00351569	0.0396139	0.0994378	0.480602	0.230343	0.0604962	0.0178762
ώ	0.00955594	0.0200715	0.0167755	0.0282867	0.0968493	0.232314	0.204235	0.0625856	0.278686	0.0506397
ω	0.000903054	0.00111274	0.00206797	0.00400036	0.0475879	0.126036	0.175406	0.0853876	0.380021	0.177478
y	0.00264077	0.00247916	0.00461487	0.00217985	0.0236957	0.0498325	0.177297	0.367477	0.133121	0.236661
έ	0.00486112	0.0118798	0.0118904	0.000346687	0.0640397	0.124849	0.17512	0.176418	0.289588	0.141008
έ	0.00251118	0.00260879	0.0172987	0.000785614	0.0273755	0.0738546	0.246511	0.213504	0.124555	0.290996
s	0.00158894	0.00215885	0.00322406	0.00303286	0.0222761	0.0352425	0.0350068	0.157545	0.368125	0.3718
e	0.000765674	0.00170778	0.00159865	0.000261645	0.0157156	0.0298169	0.0224562	0.122329	0.416172	0.389177
r	0.000115835	0.000244609	0.000492944	7.98193e-05	0.0111702	0.0359103	0.0170495	0.0415103	0.34674	0.546686
í	0.00084842	0.00306552	0.00238862	9.60866e-05	0.0145766	0.0474934	0.096654	0.0794263	0.371909	0.383542
w	0.00228512	0.00103393	0.00513062	0.00120505	0.0110336	0.0272499	0.151295	0.199031	0.107645	0.494091
a	0.00638967	0.00829551	0.0129972	0.0238933	0.0372205	0.0915599	0.175871	0.272557	0.115599	0.255616
</S>	0.00134857	0.00121418	0.00355949	0.00273719	0.00822105	0.0207793	0.0648968	0.0871644	0.195344	0.614735
