 	le	véhicule	qui	est	tombé	en	panne	hier	est	déjà	réparé	</S>
o	0.754713	0.153695	0.0219445	0.00732225	0.0159091	0.0231872	0.0170446	0.00182514	0.00227345	0.00152938	0.000310695	0.000245986
t	0.0244055	0.950646	0.00309924	0.001471	0.00118774	0.0010256	0.000725454	0.000994651	0.000588764	0.00154287	0.0128891	0.00142381
ω	0.00406428	0.979558	0.000899135	0.00121841	0.0022343	0.0015104	0.000348408	0.0073204	0.000433087	0.000138522	0.00215858	0.000116384
m	0.00234623	0.984372	0.00162241	0.000852389	0.00174726	0.00201145	0.000628671	0.00113295	0.000479867	0.000889907	0.00274097	0.00117564
b	0.0373702	0.566696	0.162537	0.0280484	0.0293948	0.0812806	0.0282765	0.00368307	0.00957003	0.0046221	0.00177188	0.0467495
í	0.0915635	0.182043	0.0913451	0.0471957	0.0525267	0.0405221	0.0295551	0.0102452	0.0246026	0.0170773	0.00830555	0.405018
l	0.168737	0.037402	0.41902	0.116242	0.051786	0.043481	0.0514872	0.0222366	0.0272597	0.0108506	0.00119781	0.0503003
i	0.101866	0.00630505	0.141104	0.124293	0.0754933	0.0698049	0.0984598	0.0285519	0.0546815	0.0275058	0.00312329	0.268812
m	0.243966	0.00962536	0.197471	0.19321	0.0971175	0.0968105	0.057762	0.0498889	0.0200265	0.0075842	0.00168096	0.0248562
ó	0.0458188	0.00351197	0.250987	0.270956	0.107105	0.108962	0.136052	0.00896736	0.0236657	0.00820844	0.000785396	0.0349802
ó	0.0564713	0.00915044	0.15821	0.17803	0.192853	0.174962	0.123969	0.0359348	0.0275359	0.0188416	0.0017525	0.0222902
b	0.0119449	0.00807169	0.0329063	0.155074	0.273456	0.169159	0.0931834	0.120073	0.0336272	0.0759429	0.0111139	0.0154479
é	0.00539204	0.0378405	0.013079	0.0954265	0.491513	0.154731	0.0682788	0.0700015	0.0242408	0.0195822	0.00334527	0.0165692
b	0.00651768	0.00322261	0.0189799	0.120778	0.290161	0.120662	0.104769	0.182026	0.0451496	0.0137053	0.0103451	0.0836843
h	0.0186312	0.00626387	0.0145003	0.0789848	0.320357	0.196317	0.192869	0.0281042	0.0306151	0.0161246	0.00145736	0.0957757
í	0.0150985	0.0352493	0.0936286	0.0423557	0.151209	0.218377	0.126801	0.072987	0.0361727	0.0103402	0.00885495	0.188926
l	0.00551127	0.00074978	0.0327532	0.0304794	0.0539965	0.176247	0.331773	0.24082	0.0835039	0.0167039	0.00414532	0.023317
a	0.00454611	0.00413278	0.020166	0.0424297	0.0382578	0.0659271	0.220877	0.121597	0.156217	0.0270988	0.0156183	0.283131
p	0.00486827	0.00052148	0.0134971	0.0161396	0.016694	0.056283	0.150716	0.291615	0.28853	0.0767696	0.0248059	0.0595598
ó	0.000814325	0.00212451	0.00110557	0.00413201	0.0130356	0.0140225	0.0226054	0.764395	0.0645325	0.0078912	0.0961573	0.00918421
a	0.000305165	0.00281032	0.0027263	0.00525762	0.0107731	0.0266652	0.0380244	0.673966	0.104862	0.0427491	0.0656806	0.026181
ó	0.00116671	0.000124882	0.0048922	0.00513873	0.005277	0.0102271	0.0202927	0.0115818	0.232002	0.575611	0.0247103	0.108975
m	0.00303813	0.000595465	0.00993613	0.0113308	0.00835539	0.0063028	0.00755195	0.00511302	0.105561	0.633736	0.113234	0.0952452
i	0.000718642	9.20616e-05	0.00543368	0.00657002	0.00385324	0.00652504	0.00457153	0.00151482	0.0837656	0.657756	0.121773	0.107427
y	0.000163831	0.00083916	0.000775653	0.00183582	0.00296864	0.00303056	0.0018655	0.00870665	0.0228322	0.305958	0.58469	0.066334
ε	0.000111003	0.000136012	0.000768771	0.00180152	0.00202435	0.00188558	0.00104489	0.01011	0.016617	0.0656624	0.857099	0.0427391
m	4.17301e-05	6.23088e-05	9.91892e-05	0.000312851	0.000618057	0.00149046	0.00157484	0.0114032	0.0280148	0.0472392	0.810458	0.0986857
i	0.000289139	0.00017726	0.000800776	0.00121186	0.00149246	0.00743305	0.0125848	0.026011	0.0730534	0.0570145	0.603918	0.216014
n	0.00144406	0.000254775	0.0032474	0.00205045	0.00228987	0.00765964	0.0176607	0.00403683	0.0477417	0.051934	0.110683	0.750998
ε	0.0124661	0.000572908	0.0209354	0.00699752	0.00714664	0.0295638	0.0209401	0.00120201	0.0550808	0.0537087	0.252451	0.538935
</S>	0.000423456	2.30996e-05	0.00457678	0.00208614	0.000899183	0.00488295	0.00927338	0.00179113	0.102334	0.0864409	0.0718294	0.71544
