 	la	sueur	dégouline	sur	son	visage	</S>
o	0.715924	0.268462	0.00652975	0.00567106	0.00329936	2.76304e-05	8.53935e-05
p	0.0347894	0.93803	0.0260748	0.000240774	0.00013787	0.000223511	0.000503588
ω	0.00888886	0.900416	0.0877339	0.000751204	0.000291617	0.00138484	0.000533136
m	0.00677622	0.975831	0.0165323	0.000304628	4.96386e-05	0.000269365	0.000236972
i	0.122847	0.488942	0.215821	0.0656808	0.0142366	0.00120343	0.0912695
m	0.377954	0.106192	0.192518	0.077914	0.0385036	0.00866786	0.19825
ó	0.783819	0.011526	0.0499564	0.0779715	0.0503342	0.00155369	0.0248396
o	0.524185	0.0156748	0.188796	0.104307	0.099417	0.0143654	0.053255
k	0.0288786	0.0204563	0.682242	0.166537	0.0170249	0.0695008	0.0153599
y	0.00341614	0.00920288	0.862726	0.094461	0.00999548	0.00554365	0.0146545
ε	0.00487958	0.0239388	0.904547	0.0499992	0.00283446	0.00457444	0.00922651
l	0.0688239	0.0045759	0.375338	0.4268	0.0576176	0.00316739	0.0636772
έ	0.103851	0.0146611	0.46724	0.267836	0.0866518	0.0012908	0.0584689
w	0.00394531	0.00120453	0.0348747	0.648131	0.222411	0.0290482	0.0603847
a	0.0416765	0.00507549	0.0196486	0.382054	0.514727	0.0045991	0.0322195
s	0.00743444	0.00244777	0.00665751	0.55451	0.267942	0.0882726	0.0727361
é	0.0260114	0.00973503	0.0255419	0.388829	0.311032	0.091227	0.147624
l	0.00896797	0.00533465	0.00678006	0.0962021	0.126292	0.694187	0.0622363
é	0.00122524	0.00102096	0.0109005	0.0738212	0.0880439	0.674098	0.150891
n	0.00252647	0.000889746	0.0113061	0.0957045	0.0736973	0.668239	0.147637
g	0.0046301	0.00324089	0.0106682	0.0378908	0.132145	0.49287	0.318555
é	0.000539946	0.00093519	0.00354841	0.0243782	0.0433151	0.604673	0.32261
</S>	0.00157653	0.00208529	0.00901777	0.105133	0.127706	0.143366	0.611115
