 	la	manière	dont	ils	ne	suivent	est	celle	des	policiers	</S>
e	0.510069	0.321121	0.0301807	0.0167174	0.0348209	0.0559825	0.00631657	0.00479804	0.00490394	0.00657195	0.00851806
l	0.00138029	0.00110997	0.00692745	0.011283	0.271192	0.668069	0.00265902	0.00765074	0.00105735	0.0277382	0.000932369
ω	0.00366884	0.00663756	0.00358724	0.00710579	0.399012	0.500197	0.016517	0.0145028	0.00128012	0.0405288	0.0069624
n	0.00253586	0.00193592	0.00137478	0.000801243	0.251627	0.703135	0.00312178	0.00187583	0.00146473	0.0313277	0.000800151
d	0.0289974	0.0196313	0.0143955	0.0463607	0.189754	0.546114	0.0287434	0.02489	0.0200738	0.022482	0.0585581
í	0.00861667	0.0464161	0.0378125	0.039375	0.134822	0.526276	0.0341607	0.0393729	0.0170223	0.0228929	0.0932335
l	0.0130735	0.0370645	0.10913	0.0327425	0.122611	0.0439032	0.0774285	0.0287891	0.0361666	0.0153752	0.483716
í	0.0966869	0.167327	0.0877511	0.0219637	0.157037	0.0897346	0.0495061	0.0314391	0.0328889	0.00589773	0.259768
y	0.232261	0.101423	0.317007	0.0456853	0.092047	0.0267722	0.0439679	0.0228042	0.0538872	0.00249007	0.0616553
é	0.0400956	0.0891729	0.466125	0.010985	0.0711956	0.0420205	0.0789686	0.0473735	0.0256984	0.00219421	0.126171
é	0.0630213	0.0873186	0.441512	0.0207514	0.115858	0.091014	0.0309356	0.0570024	0.0269251	0.00079547	0.0648667
l	0.00733173	0.00605084	0.116394	0.0737195	0.264586	0.217656	0.0797328	0.0363748	0.0154148	0.0107268	0.172013
ω	0.00243593	0.0017362	0.0200208	0.00967784	0.346245	0.457249	0.0558766	0.0596115	0.00385441	0.00310795	0.0401847
n	0.000561495	0.000371009	0.0262709	0.00846884	0.158212	0.716351	0.0418157	0.018586	0.004781	0.00807142	0.0165106
d	0.00361709	0.00565194	0.0713836	0.0338496	0.206954	0.462472	0.116008	0.0579093	0.0147878	0.00250703	0.0248602
ώ	0.0134192	0.0204441	0.145312	0.0136387	0.111052	0.515025	0.0736879	0.0450926	0.0160386	0.00465404	0.0416353
ώ	0.0117114	0.0138859	0.412232	0.100856	0.0810434	0.0872512	0.189676	0.0454766	0.0374947	0.0019457	0.018426
b	0.00766588	0.00619331	0.0580954	0.286976	0.228689	0.052641	0.234253	0.0781804	0.0368011	0.00167798	0.00882727
á	0.00101652	0.000184077	0.00271409	0.77498	0.0765505	0.0842102	0.0376093	0.00946154	0.00691645	0.00120367	0.00515369
a	0.000666435	0.000337939	0.0120939	0.822273	0.0309271	0.0165006	0.0669448	0.0208641	0.0138656	0.000740598	0.0147853
n	0.00111422	0.000979923	0.0193572	0.279289	0.120573	0.0256346	0.357453	0.111246	0.0691804	0.0013325	0.0138416
g	0.0134246	0.0188857	0.0404065	0.0233491	0.056346	0.126801	0.130404	0.533796	0.0328877	0.000506262	0.0231935
á	0.00119767	0.00444508	0.0162669	0.0189582	0.0195031	0.252387	0.0927526	0.576779	0.0107718	0.00274081	0.00419778
y	0.000655277	0.000795177	0.0221347	0.0141743	0.0366459	0.0415411	0.529458	0.175304	0.154004	0.0085372	0.01675
é	0.164097	0.064346	0.130637	0.00857241	0.0291829	0.0315685	0.236097	0.234826	0.0772684	0.00959548	0.0138083
y	0.00895748	0.00288864	0.0182967	0.0100469	0.0397231	0.0205469	0.32207	0.253385	0.234277	0.0415084	0.0482995
á	0.00872425	0.0170671	0.0396648	0.00492912	0.0215511	0.0116812	0.272456	0.489381	0.0944006	0.0244082	0.0157362
a	0.00685764	0.0146843	0.0678541	0.0241097	0.0188959	0.00166071	0.111201	0.337921	0.349421	0.0182938	0.0491003
m	0.000570218	0.00084098	0.00404911	0.00368082	0.0189395	0.0117137	0.16656	0.165519	0.221764	0.18647	0.219893
b	0.00135936	0.00101739	0.00408184	0.00192366	0.0149909	0.00314109	0.0754984	0.101596	0.517178	0.095814	0.1834
ω	0.000269321	0.00012365	0.00032946	0.00213578	0.025489	0.019408	0.0540113	0.060851	0.0586731	0.403068	0.375642
r	1.99049e-05	5.66031e-06	5.36718e-05	8.88211e-05	0.0023252	0.0172826	0.02686	0.0123303	0.0132844	0.8438	0.0839497
i	0.00033628	0.000133386	0.000447253	0.000256956	0.00194423	0.040521	0.0520062	0.051241	0.0350315	0.578358	0.239724
</S>	0.000699983	0.000749239	0.00461064	0.00293455	0.00458637	0.000865132	0.099369	0.149253	0.402001	0.0253595	0.309572
