 	ce	petit	enfant	a	une	plaie	au	nombril	</S>
m	0.317686	0.654678	0.0200459	0.00289817	0.00129959	0.00177244	0.00101404	0.000500082	0.000105805
w	0.0105134	0.0702505	0.912608	0.00158573	0.000632591	0.000322004	0.000510408	7.15697e-05	0.00350556
á	0.107126	0.117317	0.768186	0.00239056	0.0032473	0.00155993	4.13569e-05	6.03973e-05	7.13148e-05
n	0.10705	0.281089	0.598082	0.00593173	0.00219281	0.00200873	0.000669825	0.000437858	0.00253855
a	0.0607112	0.30976	0.346952	0.0792826	0.0456145	0.0266325	0.00517946	0.0049109	0.120957
n	0.270077	0.600882	0.0615305	0.0306676	0.00828702	0.00251586	0.0212217	0.0005304	0.00428812
d	0.131025	0.435477	0.345162	0.0191086	0.0107701	0.00456864	0.015194	0.000721632	0.0379734
z	0.0838124	0.357811	0.519415	0.0130924	0.010077	0.00350084	0.000799153	0.00112132	0.0103712
é	0.415122	0.440412	0.0830237	0.00894824	0.0248628	0.0126195	0.00252844	0.000588302	0.0118948
s	0.569526	0.238943	0.034554	0.0239638	0.0508449	0.0352481	0.00806915	0.0268494	0.0120012
i	0.506026	0.267698	0.095695	0.0329245	0.0493674	0.0197633	0.00974423	0.00246467	0.016317
w	0.0713364	0.213387	0.315942	0.281131	0.0521519	0.0197908	0.0286386	0.00461196	0.0130103
ó	0.0791683	0.0854281	0.0563386	0.255676	0.135139	0.190029	0.0423517	0.0319171	0.123952
a	0.0346167	0.0135851	0.0201026	0.415768	0.217823	0.148141	0.0989567	0.00606384	0.044943
d	0.00460623	0.00238935	0.00567087	0.427264	0.279389	0.0893598	0.0413599	0.00355082	0.14641
í	0.0185439	0.0064423	0.00531287	0.327342	0.468931	0.0514219	0.0168782	0.0003256	0.104801
l	0.0127851	0.00544189	0.00626082	0.0923284	0.335844	0.135249	0.256301	0.00568538	0.150105
a	0.00350155	0.0019443	0.00166672	0.117698	0.239319	0.247073	0.0862425	0.0108925	0.291663
p	0.00593734	0.0017422	0.001527	0.0340993	0.137453	0.450686	0.0580906	0.185365	0.125099
ó	0.00385155	0.000604493	0.000937617	0.0350794	0.133766	0.69144	0.0164837	0.105966	0.0118711
r	0.000199287	7.29906e-05	5.47082e-05	0.0183759	0.113548	0.775414	0.0196549	0.0571657	0.0155154
á	0.00519888	0.00049784	0.000196406	0.0231401	0.116555	0.655864	0.023181	0.0521987	0.123168
m	0.00777989	0.0027028	0.00220193	0.0166904	0.0306159	0.0765955	0.693668	0.0477343	0.122012
ó	0.0247591	0.00293757	0.00472375	0.00435505	0.00715403	0.025842	0.486055	0.0433721	0.400801
t	0.00706138	0.00231884	0.00121376	0.00368153	0.00804272	0.0212425	0.0857721	0.776708	0.0939592
ω	0.00458856	0.000451756	0.000142013	0.00533032	0.0294244	0.0799113	0.0353985	0.81441	0.0303433
n	0.000148295	4.19301e-05	2.55972e-05	0.00180273	0.0109531	0.06165	0.0187235	0.885484	0.0211704
g	0.00365754	0.00122682	0.000248564	0.00505935	0.0410865	0.181664	0.0354661	0.635725	0.0958658
í	0.000561804	0.000273991	0.00020587	0.00079081	0.00581168	0.0348569	0.0181246	0.885508	0.053866
</S>	0.00878154	0.000788687	0.000126368	0.00162408	0.00670262	0.0209479	0.166825	0.0532956	0.740908
