 	le	soleil	paraît	le	jour	et	la	lune	la	nuit	</S>
i	0.554716	0.143487	0.0792112	0.0284185	0.108546	0.0295658	0.0308159	0.0023699	0.0202781	0.00225507	0.000336409
k	0.437619	0.170828	0.127191	0.0739949	0.0974878	0.0352737	0.00756075	0.00162859	0.0126827	0.0213511	0.0143821
á	0.178414	0.126187	0.0276919	0.0951995	0.252932	0.177446	0.0303809	0.0107817	0.00977936	0.0824701	0.00871731
n	0.168847	0.145533	0.0633546	0.0926077	0.243375	0.121197	0.0325963	0.0309018	0.0218418	0.0181269	0.0616191
g	0.703035	0.067867	0.0429834	0.0633539	0.0475511	0.0326662	0.0172335	0.0100786	0.00590438	0.00183448	0.00749294
a	0.590501	0.257443	0.0305428	0.021295	0.00667127	0.00886765	0.0129474	0.0455065	0.00371947	0.000782584	0.0217235
l	0.235475	0.0261805	0.0583274	0.127059	0.0382859	0.0614627	0.0480854	0.0194995	0.0374569	0.00418765	0.34398
í	0.142559	0.0688286	0.252878	0.070665	0.0104067	0.0301732	0.0226085	0.0258919	0.0332808	0.00644679	0.336261
i	0.211899	0.0956176	0.331669	0.122213	0.0268	0.0265921	0.0359251	0.0322342	0.0263156	0.00521089	0.0855224
t	0.0688875	0.107866	0.190165	0.374006	0.0879115	0.071653	0.0136266	0.019031	0.00543059	0.00722644	0.0541959
á	0.0303199	0.0579415	0.0664123	0.390297	0.163737	0.158287	0.0301012	0.0371466	0.00735206	0.00808271	0.0503228
á	0.0321432	0.0744712	0.10572	0.299766	0.115916	0.0800371	0.039136	0.0416544	0.0133318	0.00326473	0.19456
m	0.0168228	0.0432048	0.273523	0.304514	0.134449	0.0667871	0.0600803	0.0422924	0.0229185	0.00214162	0.0332664
á	0.0893512	0.331095	0.0663811	0.116156	0.0904363	0.108594	0.0626678	0.0852379	0.0054682	0.00015153	0.0444607
l	0.0272205	0.0203448	0.105752	0.165594	0.197495	0.190025	0.118563	0.114212	0.0178747	0.0093532	0.0335664
a	0.00750103	0.00760098	0.0745266	0.224222	0.104778	0.195999	0.110894	0.107688	0.0369934	0.00738175	0.122414
m	0.0134235	0.00481333	0.0455203	0.0996042	0.109339	0.219276	0.186689	0.203788	0.0393538	0.0248588	0.0533337
w	0.0440209	0.125274	0.0199653	0.0508026	0.0511959	0.137626	0.151261	0.32233	0.0146635	0.000611298	0.0822495
é	0.0083537	0.0916958	0.00648668	0.0471569	0.110945	0.17629	0.0879692	0.430446	0.00701922	0.00220356	0.0314342
s	0.17772	0.0957777	0.0147656	0.0622152	0.162135	0.111521	0.19464	0.12231	0.0354552	0.0016048	0.0218542
é	0.00923283	0.0740151	0.0256624	0.0452738	0.0340442	0.0945793	0.117727	0.48077	0.0257646	0.00414965	0.0887814
n	0.00301864	0.00249291	0.0325911	0.0700024	0.0526518	0.201068	0.23405	0.194308	0.121286	0.0197671	0.0687643
d	0.00619313	0.0123955	0.0888004	0.0566308	0.0148652	0.0675673	0.0990434	0.498161	0.0887576	0.0162753	0.051311
z	0.00131374	0.00246777	0.0660044	0.0172344	0.00523459	0.0442786	0.0656584	0.619069	0.0648548	0.0325861	0.081298
á	0.000560435	0.00329057	0.0109189	0.0193661	0.00490365	0.0306148	0.0517674	0.759781	0.0464061	0.0095907	0.0628004
á	0.00141139	0.00223196	0.0104065	0.0328059	0.0484794	0.0995962	0.114224	0.0549456	0.154122	0.0485149	0.433263
s	0.00078521	0.000528708	0.00680378	0.0110424	0.0129727	0.0533725	0.153979	0.15039	0.437135	0.0732914	0.099699
w	0.00573042	0.00249039	0.062993	0.0637176	0.0207758	0.0856105	0.140321	0.266458	0.179948	0.0836893	0.0882665
é	0.00219938	0.00654365	0.0190289	0.0168063	0.00241511	0.01559	0.047134	0.754247	0.0888728	0.0163571	0.0308058
n	0.000558952	0.00024477	0.00458913	0.0213594	0.022164	0.0518042	0.11076	0.0668892	0.36635	0.13475	0.22053
g	0.00312601	0.00561698	0.0142993	0.014458	0.00492735	0.0265793	0.0674042	0.404188	0.202915	0.0562803	0.200205
é	0.000418953	0.00137338	0.0230652	0.0134034	0.00419633	0.0196028	0.0552295	0.4875	0.190145	0.136901	0.068165
l	0.000204875	0.000183318	0.00376656	0.0077764	0.00728961	0.0289851	0.0599871	0.0397707	0.429396	0.105387	0.317253
á	0.00462448	0.000685624	0.0185994	0.0146782	0.00793342	0.0332759	0.061212	0.048246	0.244498	0.188296	0.377951
a	0.00261171	0.000766436	0.0111318	0.0125611	0.00891088	0.0225777	0.109427	0.0505018	0.381744	0.137256	0.262511
t	0.00396018	0.00256297	0.0360884	0.0470786	0.0243377	0.0402786	0.0366755	0.0402269	0.136125	0.448304	0.184362
á	0.000676177	0.000820325	0.00301019	0.0202244	0.0260494	0.0599665	0.0487134	0.0287421	0.133215	0.387242	0.291341
á	0.00159388	0.000513138	0.00432578	0.0190802	0.0120923	0.0274702	0.0637747	0.0672875	0.165051	0.374624	0.264187
m	0.00728472	0.00368379	0.0105351	0.0221626	0.0192312	0.0366117	0.0928957	0.131137	0.187295	0.0706459	0.418517
