 	les	chenilles	restent	sur	l'	arbre	de	fer	</S>
k	0.596175	0.282184	0.0586545	0.0245815	0.00690046	0.0217154	0.00904121	0.000475451	0.000272157
o	0.026816	0.943883	0.0113039	0.00712917	0.00364509	0.00215788	0.00230551	0.001446	0.0013132
n	0.00853267	0.947467	0.0174539	0.00359479	0.0043288	0.000487713	0.000896047	0.0025476	0.0146916
g	0.10363	0.642734	0.227976	0.00420786	0.00782073	0.000851861	0.00339156	0.00589411	0.00349437
ó	0.0879916	0.751692	0.146829	0.00274993	0.00262788	0.000317804	0.000867761	0.00288873	0.00403533
y	0.273057	0.0689507	0.438834	0.135669	0.0246563	0.0359485	0.00866828	0.000422524	0.0137934
é	0.144976	0.0270096	0.624339	0.0940327	0.0319708	0.00519476	0.0242882	0.00620389	0.0419853
e	0.161471	0.0179258	0.306225	0.29433	0.096778	0.0164306	0.0511096	0.0157239	0.0400062
b	0.0462482	0.0106009	0.0215029	0.295913	0.545838	0.0313925	0.0203789	0.0162005	0.0119246
á	0.0326227	0.0026857	0.0040793	0.199714	0.467901	0.244119	0.0234947	0.00883207	0.0165514
b	0.0459116	0.00132477	0.0130479	0.182812	0.292825	0.134185	0.049854	0.0205037	0.259536
h	0.0398694	0.00145082	0.00236516	0.108841	0.210359	0.506141	0.0611597	0.00488801	0.0649265
á	0.0680351	0.00981729	0.0667467	0.121509	0.181442	0.195651	0.0649542	0.0387907	0.253054
m	0.0155324	0.000574274	0.0250211	0.126892	0.111368	0.316892	0.327816	0.0355527	0.0403518
é	0.0325697	0.00060505	0.012703	0.095171	0.121982	0.209445	0.324045	0.0366145	0.166865
n	0.0111077	0.0028856	0.00513922	0.0700298	0.114027	0.146805	0.215742	0.359812	0.0744513
g	0.00545406	0.00632102	0.0267892	0.0445511	0.0969786	0.050774	0.178733	0.382703	0.207697
o	0.00102909	0.0106077	0.0315967	0.00996584	0.0296618	0.0100426	0.0723233	0.652009	0.182764
n	8.98333e-05	0.00212048	0.00407451	0.00437151	0.0208204	0.00511272	0.0160335	0.753935	0.193442
d	0.00533477	0.0234981	0.00861479	0.0153393	0.0668305	0.0351887	0.11176	0.362753	0.370681
ó	0.00196144	0.0482001	0.0148396	0.00344663	0.012518	0.00397217	0.0181405	0.476444	0.420477
</S>	0.00758373	0.0137232	0.039905	0.0740153	0.0955752	0.136733	0.186386	0.132114	0.313965
