 	il	est	anémié	</S>
w	0.805323	0.185824	0.00682932	0.00202337
a	0.740914	0.249864	0.00602629	0.00319589
á	0.306561	0.557684	0.0301285	0.105626
d	0.129793	0.430849	0.165727	0.273631
í	0.0273133	0.197229	0.00473308	0.770724
ω	0.0237732	0.0517131	0.288049	0.636465
k	0.0469695	0.197945	0.592119	0.162966
ώ	0.00316785	0.0162606	0.942436	0.0381359
b	0.00614227	0.0366427	0.909969	0.0472462
h	0.30334	0.077025	0.467039	0.152596
ώ	0.0797837	0.0317742	0.724654	0.163788
k	0.0423739	0.0186468	0.264819	0.67416
ω	0.00921656	0.0121938	0.911144	0.0674453
b	0.000917547	0.0028584	0.89151	0.104714
h	0.169214	0.113682	0.305038	0.412066
ω	0.0350379	0.0182726	0.561619	0.38507
</S>	0.0186741	0.0132978	0.0435719	0.924456
