 	le	ballon	s'	est	dégonflé	parce	qu'	il	est	troué	</S>
d	0.327386	0.295716	0.273513	0.0325582	0.0253806	0.0181035	0.0136318	0.00731013	0.00529614	0.000133704	0.00097118
i	0.0848018	0.87445	0.0155739	0.00322713	0.000945775	0.00412278	0.00221998	0.00202093	0.00126182	0.00210937	0.00926617
n	0.097199	0.697167	0.0950402	0.0586027	0.00892889	0.011188	0.00308798	0.00440051	0.00313175	0.00347294	0.0177809
g	0.106257	0.767765	0.0708018	0.0149292	0.00144369	0.0153699	0.00212086	0.00262686	0.00224289	0.00139476	0.0150481
a	0.149138	0.775438	0.0497643	0.00472697	0.000424591	0.00638733	0.00122831	0.000940888	0.000396485	0.000207736	0.0113471
í	0.0788997	0.025314	0.482391	0.167477	0.05126	0.0277223	0.0380289	0.022272	0.0189439	0.00273631	0.0849555
m	0.04651	0.00617518	0.144658	0.406785	0.185781	0.0118367	0.0347293	0.0437329	0.0711115	0.0154985	0.0331822
i	0.0353378	0.0131933	0.154333	0.346274	0.114251	0.0577566	0.112528	0.0596638	0.0416631	0.00924995	0.0557484
p	0.0202528	0.00486522	0.0398105	0.201741	0.588952	0.0148084	0.0273424	0.0232428	0.014894	0.0353911	0.0286994
ε	0.00111172	0.00174996	0.00488359	0.0887141	0.805451	0.0146997	0.0251294	0.0305819	0.00342606	0.00797406	0.0162782
r	0.0275115	0.0519154	0.0622247	0.0987795	0.373948	0.0967199	0.0619787	0.0398114	0.0101241	0.01187	0.165117
έ	0.0760032	0.0520751	0.0662236	0.121814	0.107537	0.409409	0.0974878	0.0347753	0.00591062	0.00201818	0.0267459
έ	0.0117919	0.00499755	0.0610092	0.139439	0.0800055	0.443421	0.176274	0.0530169	0.0215031	0.000954039	0.00758794
t	0.0151533	0.00507473	0.0303886	0.111374	0.182002	0.116772	0.264511	0.196971	0.0434764	0.0139365	0.0203406
s	0.00249385	0.00356267	0.0133354	0.0554611	0.344074	0.104074	0.206395	0.227549	0.0108526	0.0110411	0.0211605
i	0.000682508	0.00169185	0.00349066	0.0414343	0.300165	0.107954	0.207283	0.295221	0.0172207	0.00544413	0.0194134
n	0.00254216	0.00242227	0.012715	0.0351437	0.0277957	0.33617	0.269948	0.232971	0.0180182	0.00388955	0.0583845
a	0.0171448	0.0567973	0.0133601	0.0205969	0.00362953	0.497227	0.139788	0.112626	0.00680005	0.00577945	0.126251
d	0.00195773	0.00111105	0.0141783	0.046711	0.0139025	0.13889	0.237813	0.272327	0.237353	0.0132006	0.0225562
i	0.00736941	0.00977516	0.0175168	0.039507	0.00602213	0.149235	0.0849159	0.180725	0.153299	0.0800886	0.271546
a	0.00107234	0.00111483	0.00375	0.0258856	0.0085049	0.0817772	0.0635604	0.140145	0.398331	0.183848	0.0920106
í	0.00235872	0.00039406	0.00780969	0.0163743	0.0061759	0.0141801	0.0451676	0.0740213	0.49502	0.217452	0.121047
m	0.00389168	0.0014275	0.0132894	0.0340235	0.0215994	0.00469434	0.014217	0.0349674	0.420162	0.411853	0.0398743
i	0.00138452	0.00368601	0.0056144	0.0165119	0.00207044	0.00769475	0.00820254	0.0237211	0.401877	0.364436	0.164801
s	0.000952768	0.000370764	0.000475552	0.00291558	0.0053939	0.000276804	0.00172957	0.00927223	0.0986529	0.716923	0.163037
á	0.000304252	0.00188861	0.0006341	0.00605874	0.00372544	0.00135238	0.00129615	0.0126941	0.138908	0.668683	0.164456
á	0.000955516	0.000310044	0.000454621	0.00411293	0.00574021	0.00882633	0.00782597	0.0277125	0.0788335	0.385984	0.479245
o	0.0071857	0.00295915	0.00568996	0.0163104	0.0208986	0.0317586	0.054643	0.0604224	0.237919	0.306462	0.255751
t	0.000782606	0.00182632	0.00310626	0.00610463	0.00538608	0.000867536	0.00115857	0.00381398	0.0925033	0.792441	0.0920102
ú	0.000233337	0.00133835	0.00416044	0.0146317	0.0560799	0.00372207	0.00718262	0.0423016	0.103894	0.476618	0.289838
b	0.000459041	0.0019849	0.000245932	0.00146221	0.00362389	0.001556	0.00177342	0.00934097	0.0208499	0.23373	0.724974
h	0.0335023	0.0267416	0.0212511	0.0624051	0.0217186	0.185348	0.0950403	0.14315	0.279794	0.0362652	0.0947838
a	0.0297344	0.0106234	0.00726463	0.0204302	0.0177217	0.133307	0.083122	0.114733	0.052084	0.116149	0.41483
</S>	0.0127379	0.00567292	0.012745	0.0222635	0.00940775	0.0321279	0.0392085	0.0384008	0.176042	0.115858	0.535535
