 	c'	est	toi	qui	a	fait	éclater	cet	objet	</S>
o	0.676925	0.181777	0.0176418	0.0621286	0.0304058	0.0157261	0.0108301	0.000940685	0.00215214	0.00147201
l	0.004828	0.00207866	0.00361247	0.0862883	0.221961	0.308178	0.290011	0.0190293	0.0177613	0.0462518
ó	0.00365707	0.000750239	0.00021963	0.104673	0.188275	0.175878	0.409402	0.0111057	0.0582447	0.0477942
n	0.00175721	0.00056751	0.00133295	0.202162	0.203541	0.163226	0.354008	0.00978359	0.0241714	0.0394506
d	0.0590204	0.00506067	0.00452182	0.178542	0.175324	0.203382	0.200347	0.0488003	0.0585386	0.0664629
z	0.237347	0.0297672	0.0086594	0.0743912	0.0431425	0.0474523	0.0586995	0.0341364	0.328429	0.137976
i	0.150973	0.0188832	0.00299513	0.0651693	0.04418	0.0632474	0.0705285	0.0373333	0.402338	0.144352
s	0.0186751	0.0740161	0.186228	0.223036	0.161699	0.140867	0.110668	0.0328625	0.0211111	0.0308363
i	0.0114473	0.0158121	0.0259235	0.0881835	0.181652	0.291497	0.182863	0.0924471	0.061266	0.0489093
m	0.017911	0.0760532	0.154235	0.0740537	0.118607	0.122873	0.148935	0.229374	0.0312222	0.026736
w	0.0104249	0.00276994	0.000898402	0.0110227	0.0120591	0.0251288	0.0539757	0.662133	0.130761	0.0908263
e	0.0125932	0.00921276	0.00365793	0.00479391	0.00821751	0.0113324	0.0163802	0.662748	0.24891	0.0221539
r	0.0438428	0.0198913	0.00548187	0.0217746	0.00989336	0.0136425	0.090452	0.537133	0.232696	0.025193
é	0.0205178	0.00797659	0.00226889	0.0299157	0.0291602	0.0508239	0.254588	0.264621	0.293876	0.046252
m	0.00674072	0.00764146	0.0218987	0.0837009	0.106603	0.130199	0.153656	0.252108	0.0847808	0.152671
ú	0.0483638	0.00349318	0.000424411	0.0120881	0.00822703	0.0127735	0.0301742	0.593422	0.13586	0.155173
u	0.000749293	0.000391464	0.000505385	0.014836	0.0215961	0.0170345	0.0131617	0.11053	0.084013	0.737182
é	0.00252693	0.00172318	0.00151851	0.0100063	0.010423	0.0137815	0.0425142	0.0800328	0.180352	0.657121
d	0.00474223	0.00109341	0.000398751	0.0107658	0.011906	0.0124813	0.02069	0.0675216	0.182748	0.687653
z	0.00208917	0.000361145	0.000116291	0.00261794	0.00364243	0.00860386	0.00737561	0.0648541	0.0595839	0.850756
e	0.00623663	0.00314625	0.00145756	0.0158056	0.0158548	0.0185732	0.0308834	0.266312	0.290343	0.351388
n	0.00400163	0.00536707	0.00711244	0.0325871	0.0470749	0.102377	0.0554218	0.249954	0.0694946	0.426609
ω	0.000498629	0.00163619	0.00171638	0.00417314	0.00648357	0.0168063	0.014916	0.0879109	0.191052	0.674807
</S>	0.000208694	0.000221303	0.000295057	0.00329571	0.00466239	0.00991014	0.056867	0.0556202	0.0541615	0.814758
