 	on	ne	peut	pas	manger	autant	sans	être	malade	</S>
m	0.632131	0.1645	0.0641176	0.0496966	0.0160316	0.0207879	0.019283	0.028256	0.00415988	0.0010371
o	0.154139	0.179769	0.0444989	0.0393208	0.109125	0.0486206	0.163874	0.0424215	0.015189	0.203042
r	0.525546	0.202543	0.0236456	0.0681414	0.111809	0.0143844	0.0212047	0.00152396	0.00872328	0.0224789
o	0.34231	0.108633	0.0368412	0.095132	0.124721	0.0803348	0.108759	0.0156188	0.0340346	0.0536146
y	0.370122	0.291418	0.137305	0.0514934	0.0298677	0.0126784	0.0104729	0.00882849	0.00185696	0.0859572
έ	0.3413	0.30011	0.0459895	0.0604449	0.0736795	0.0439174	0.0409397	0.026923	0.00592144	0.0607746
έ	0.209769	0.163604	0.0699396	0.0759707	0.064308	0.0790853	0.0607477	0.0498049	0.0184653	0.208305
d	0.0560808	0.241122	0.176541	0.138992	0.151432	0.0448453	0.0336936	0.0223809	0.00546634	0.129446
z	0.0111387	0.0710683	0.110011	0.114433	0.342439	0.0454204	0.0417942	0.00753075	0.000765181	0.2554
á	0.0361715	0.0788937	0.036312	0.108845	0.57426	0.0368198	0.0387018	0.00295606	0.000902319	0.0861385
b	0.00938782	0.0704463	0.15286	0.106411	0.169823	0.122187	0.0541159	0.105415	0.00794634	0.201408
v	0.0154093	0.0670495	0.203875	0.123071	0.0800983	0.107276	0.114687	0.120054	0.0927653	0.075714
ú	0.0059492	0.0276632	0.219407	0.121815	0.0907184	0.122749	0.163769	0.12391	0.0538482	0.0701697
u	0.0014148	0.0175881	0.0971444	0.247459	0.120163	0.253051	0.195593	0.0369786	0.0209426	0.00966564
a	0.00802684	0.0206337	0.0753635	0.123754	0.221247	0.22682	0.165504	0.0868373	0.0173954	0.0544185
d	0.0232532	0.0524467	0.0724325	0.0706222	0.213238	0.204574	0.151664	0.149423	0.0129638	0.0493822
í	0.00465296	0.0120908	0.0166662	0.0116386	0.143652	0.087459	0.167533	0.0673338	0.0034893	0.485485
n	0.00386045	0.00904163	0.0390875	0.050709	0.06091	0.154896	0.141311	0.289672	0.0630454	0.187466
g	0.00265799	0.00352475	0.00352543	0.00508264	0.077946	0.251446	0.447114	0.0476284	0.0255135	0.135561
a	0.00126044	0.00245326	0.00462482	0.0123933	0.108238	0.291785	0.375426	0.0743049	0.0653765	0.0641372
a	0.000324823	0.0013133	0.00384478	0.0154378	0.0627822	0.171715	0.349767	0.121491	0.109213	0.164112
ω	0.00243144	0.0098006	0.0206078	0.0182785	0.0262693	0.088534	0.210573	0.247548	0.17231	0.203647
k	0.00520579	0.0345188	0.0561938	0.0762886	0.070304	0.061785	0.199807	0.135263	0.22615	0.134484
á	0.000475262	0.00437769	0.0331981	0.0920397	0.0231409	0.0456781	0.100539	0.100599	0.470013	0.129939
m	0.00334405	0.00754621	0.0322864	0.0307367	0.0248222	0.0625143	0.0842699	0.13365	0.109779	0.511051
b	0.00186745	0.0050667	0.0218198	0.0078049	0.0105	0.036767	0.2834	0.167049	0.290933	0.174792
a	0.00619395	0.00486047	0.0197715	0.00870499	0.00960527	0.0338194	0.213527	0.0632417	0.127065	0.513211
έ	0.00568411	0.00905818	0.016088	0.0149651	0.0173514	0.0655334	0.122692	0.192357	0.202582	0.35369
</S>	0.00813535	0.0265146	0.0413441	0.0259933	0.050508	0.0307637	0.0483885	0.0904775	0.0419965	0.635878
