 	sa	manière	de	réveiller	le	malade	inquiète	les	gens	</S>
e	0.196175	0.380845	0.234859	0.0378677	0.00921855	0.107686	0.0209442	0.0050736	0.00223339	0.00509835
l	0.00092722	0.00715053	0.0166316	0.443514	0.192787	0.307935	0.0232383	0.00577407	0.000487624	0.00155457
a	0.000600997	0.0216882	0.0120972	0.6473	0.104871	0.18222	0.0216719	0.00293558	7.77868e-05	0.00653767
n	0.000382994	0.00550307	0.0307521	0.658228	0.145935	0.116255	0.0311596	0.00436322	7.71523e-05	0.00734361
g	0.0507959	0.0611696	0.0237943	0.0945737	0.279214	0.291175	0.0929537	0.0237336	0.00105309	0.081537
í	0.0188283	0.10676	0.0361526	0.0587236	0.338687	0.154444	0.0940743	0.0749546	0.00277014	0.114605
s	0.190423	0.101603	0.108942	0.040845	0.169324	0.0269707	0.0217366	0.0367261	0.0111995	0.292231
i	0.273242	0.250483	0.042592	0.121164	0.114667	0.0177494	0.0198307	0.0213178	0.00262432	0.136331
l	0.143638	0.146574	0.177242	0.0404824	0.172404	0.132701	0.0503894	0.0285336	0.00365086	0.104384
í	0.132936	0.0783376	0.141641	0.144631	0.0395033	0.00603025	0.00513619	0.0226012	0.000729754	0.428453
y	0.0849128	0.156259	0.426992	0.109694	0.0704825	0.03531	0.0163494	0.0259742	0.00391144	0.0701152
é	0.0503436	0.171168	0.106592	0.500425	0.0732793	0.00626593	0.00343188	0.0103781	0.00071832	0.0773987
é	0.0940102	0.122828	0.273599	0.185145	0.1589	0.0299445	0.0100389	0.017159	0.00212865	0.106246
l	0.00215083	0.00165404	0.0163281	0.286541	0.277734	0.315061	0.0502804	0.00912821	0.00208642	0.0390369
a	0.000228216	0.000545784	0.013498	0.580835	0.325714	0.0441465	0.0119837	0.00742178	0.000210886	0.0154161
n	0.00549536	0.0065561	0.0609236	0.353568	0.280578	0.133888	0.0372125	0.0330946	0.00504448	0.0836394
g	0.00306507	0.00486716	0.0725169	0.147851	0.429008	0.203058	0.0636951	0.0438615	0.00330155	0.0287759
í	0.0437086	0.0781615	0.370503	0.0932524	0.230582	0.0924043	0.0189897	0.0423454	0.00390158	0.0261517
s	0.0152091	0.0165896	0.280142	0.034752	0.200957	0.045952	0.11201	0.163912	0.0844089	0.0460683
á	0.0253998	0.0114904	0.0257965	0.0677944	0.344043	0.0773189	0.0889838	0.218889	0.0177049	0.122579
w	0.0206193	0.0115185	0.133662	0.0819126	0.117795	0.0313296	0.0900648	0.263197	0.17756	0.0723417
a	0.0123989	0.00820575	0.0842444	0.0323041	0.163669	0.09374	0.112067	0.172716	0.269332	0.0513228
ω	0.00277989	0.00225785	0.0386527	0.0152914	0.0907483	0.0578545	0.139125	0.200253	0.377032	0.0760052
k	0.00123043	0.00147038	0.00433072	0.0282154	0.0674591	0.25095	0.428231	0.0648269	0.0219429	0.131344
ω	0.000104313	0.000135678	0.000323639	0.00134052	0.0176275	0.596931	0.309535	0.0162148	0.0261714	0.0316166
n	1.73043e-05	0.000171286	0.00250439	0.00271474	0.0217704	0.705259	0.198355	0.0149069	0.0266914	0.0276091
í	0.000435042	0.000532566	0.00228546	0.00141221	0.0352629	0.469197	0.162434	0.0287705	0.0198029	0.279868
y	0.00265474	0.0024682	0.0160388	0.00526966	0.0591082	0.0166426	0.128794	0.321819	0.174261	0.272944
é	0.305779	0.1708	0.086387	0.0454394	0.0840281	0.0084226	0.0283076	0.15304	0.0112424	0.106554
e	0.00880144	0.00693225	0.0305649	0.0180254	0.0331477	0.00758368	0.0349289	0.210253	0.0306972	0.619066
p	0.00137956	0.00216875	0.0085769	0.0469791	0.0714302	0.0660711	0.119472	0.0935072	0.0229906	0.567424
έ	0.000185382	0.00127656	0.00514239	0.014117	0.0459571	0.160695	0.261832	0.0693226	0.0726401	0.368831
b	0.00289863	0.00683345	0.0691876	0.00579128	0.0433417	0.123736	0.195946	0.206125	0.180636	0.165504
a	0.00844512	0.00212816	0.0142736	0.00284696	0.0303478	0.0410056	0.189769	0.267443	0.330476	0.113266
r	0.00112964	0.00133145	0.00510895	0.00047517	0.00563396	0.00523711	0.0424476	0.090031	0.232942	0.615663
e	0.0179727	0.00589189	0.00263612	0.00192962	0.0229335	0.0120262	0.053317	0.315483	0.129651	0.438159
a	0.00226765	0.00712736	0.0602415	0.00296909	0.02446	0.00647044	0.0285287	0.21797	0.0729553	0.577009
m	0.00986774	0.00628675	0.0429144	0.0730295	0.14671	0.0546955	0.118017	0.225847	0.0335246	0.289108
w	0.0112078	0.00927969	0.0139614	0.0456603	0.196407	0.0072963	0.0658596	0.298252	0.0305766	0.3215
a	0.010234	0.00329319	0.00232612	0.0124415	0.0339086	0.00515587	0.0417755	0.361589	0.111467	0.41781
</S>	0.000979071	0.000802214	0.00171062	0.00217911	0.0181214	0.00995798	0.06282	0.165225	0.0901322	0.648073
