 	les	enfants	de	l'	époque	actuelle	ne	respectent	plus	les	parents	</S>
b	0.424889	0.529817	0.0268016	0.0105308	0.00220685	0.000644831	0.00120771	0.000223268	0.000374758	0.00174135	0.0014719	9.04713e-05
á	0.0451914	0.922554	0.0188565	0.00770319	0.00163066	0.000276339	0.000847289	8.33932e-05	0.000220783	0.00172253	0.00085124	6.23799e-05
n	0.0753291	0.915799	0.00348406	0.00404182	0.000341328	0.000250701	0.000303142	4.45417e-05	2.7344e-05	0.000150517	7.44951e-05	0.000153756
a	0.295376	0.684771	0.00411851	0.00430145	0.00024697	0.00139748	0.00104962	0.000366648	9.30603e-05	0.000531212	0.00171163	0.00603689
b	0.113852	0.100816	0.535891	0.148578	0.0139258	0.0419518	0.00836531	0.0032539	0.00436845	0.0135638	0.0037342	0.011699
á	0.0481582	0.046974	0.525884	0.202976	0.0534252	0.0234801	0.021908	0.000817209	0.00321349	0.0387768	0.0107905	0.0235963
p	0.0311825	0.0567347	0.315559	0.272613	0.173837	0.0303393	0.0150364	0.0123927	0.0181941	0.0204884	0.00641622	0.0472065
á	0.0391371	0.0421255	0.0800304	0.172645	0.381373	0.00984583	0.0142163	0.219148	0.0293282	0.00190993	0.00616976	0.00407163
a	0.18572	0.0179435	0.078649	0.140007	0.267123	0.0330464	0.0515315	0.137705	0.022562	0.00415324	0.00131841	0.0602416
r	0.00511888	0.00182377	0.0571709	0.242671	0.418424	0.227586	0.0308153	0.00429459	0.00349209	0.00447202	0.000282598	0.00384857
á	0.034327	0.0108842	0.121771	0.251341	0.0674919	0.400228	0.0208162	0.00292707	0.00620641	0.0110549	0.00643891	0.066513
a	0.00257466	0.00174526	0.0149174	0.0974569	0.209764	0.588752	0.0579983	0.0120818	0.00282177	0.00431207	0.00164195	0.00593358
d	0.00398553	0.00211502	0.0410774	0.094437	0.184636	0.396069	0.118678	0.0852076	0.0456236	0.00873318	0.00215498	0.0172822
í	0.00649559	0.000119028	0.0154477	0.0361217	0.0149764	0.657676	0.103429	0.0211348	0.0329481	0.0221858	0.00212502	0.0873416
á	0.00359248	5.55931e-05	0.00653863	0.0199038	0.0552782	0.282978	0.251574	0.123121	0.0779903	0.0568325	0.00394549	0.118191
d	0.00519828	0.00119635	0.0130976	0.0170694	0.014437	0.313385	0.303991	0.128406	0.101423	0.0641681	0.0132978	0.0243307
í	0.00189475	4.09309e-05	0.00394651	0.00744447	0.00777054	0.486468	0.172024	0.0540574	0.0505047	0.0439074	0.00647531	0.165467
ω	0.00270947	5.37131e-05	0.00295624	0.00864195	0.0165908	0.114324	0.217379	0.171087	0.222271	0.139749	0.0177381	0.0865
k	0.00301774	0.000423843	0.00394321	0.00679722	0.00301158	0.037485	0.0793528	0.224985	0.525542	0.0396846	0.0566721	0.0190847
a	0.000132634	0.000193393	0.00322258	0.00222313	0.00196052	0.00105511	0.0129645	0.251273	0.662272	0.0209487	0.0180061	0.0257484
n	0.000336774	5.34331e-05	0.00173207	0.00320885	0.00699648	0.00258342	0.0304488	0.327837	0.518863	0.0345777	0.0284789	0.0448834
d	0.00362055	0.000316074	0.0133915	0.0168774	0.014304	0.0274439	0.106723	0.283523	0.310867	0.0580719	0.011416	0.153445
á	0.00543821	0.000655238	0.0243107	0.030653	0.0262014	0.0239439	0.115157	0.280983	0.148462	0.0240556	0.0173453	0.302794
t	0.00510705	0.00096538	0.0107643	0.0164242	0.0181007	0.0614768	0.186121	0.114024	0.157391	0.256441	0.0582587	0.114925
á	0.00189761	0.000815532	0.00346635	0.00523868	0.0354212	0.000791276	0.0379132	0.521523	0.273933	0.0347618	0.0377312	0.0465068
á	0.00302731	0.000336772	0.0041657	0.00703184	0.0252312	0.00451907	0.051325	0.61165	0.13316	0.0387435	0.0158454	0.104965
l	0.00220071	0.000912325	0.0101671	0.01605	0.00939065	0.0377178	0.0510398	0.026028	0.0614221	0.291904	0.109156	0.384011
a	0.00633417	0.000322875	0.00940985	0.00579699	0.00267619	0.00692398	0.0120048	0.0129643	0.18032	0.169784	0.204909	0.388554
n	0.0012841	0.000259984	0.00565797	0.00611818	0.00208423	0.00715856	0.0115203	0.00436255	0.0373206	0.366787	0.395287	0.16216
g	0.031937	0.00768998	0.00350173	0.00453204	0.00038118	0.0200186	0.00385002	0.000989104	0.0183003	0.0676658	0.795281	0.0458532
ó	0.00481973	0.0101768	0.0016085	0.00203014	0.000371858	0.0122878	0.00223309	0.00208604	0.0107108	0.0374693	0.821049	0.0951569
o	0.000199683	0.000233251	0.000187095	0.000406659	0.000201645	0.00313467	0.000653827	0.000674459	0.00461623	0.00489954	0.926633	0.0581596
έ	0.00826055	0.0001376	0.00507082	0.00479044	0.0019241	0.00897451	0.0222978	0.00306216	0.0629657	0.262682	0.238674	0.38116
</S>	0.00184985	0.000179584	0.0121594	0.00356739	0.00247581	0.0016284	0.01161	0.00592444	0.15133	0.393474	0.0592557	0.356545
