 	ma	mère	me	réveillait	chaque	matin	pour	aller	à	l'	école	</S>
n	0.881719	0.104605	0.00295656	0.000944755	0.00793624	0.000316475	0.00107398	3.21377e-05	9.66514e-05	0.0001576	0.00015672	4.73288e-06
g	0.486049	0.509116	0.00285352	0.000107618	0.00178243	8.7381e-06	6.69786e-05	2.67982e-06	3.75775e-06	6.43283e-06	2.8671e-06	3.35391e-07
ó	0.177254	0.817364	0.00300698	0.000315903	0.00161981	5.24795e-05	0.000170545	3.67687e-05	2.28494e-05	3.91039e-05	0.000116251	1.16537e-06
o	0.180254	0.803447	0.00370085	0.00109105	0.00802342	0.00102949	0.000786835	0.00022056	0.000128938	0.000209654	0.000948313	0.000160159
á	0.630168	0.0413538	0.192358	0.0277042	0.021511	0.00853895	0.021815	0.00539423	0.0195594	0.014471	0.00172861	0.0153983
d	0.351892	0.0744413	0.229839	0.219406	0.0372926	0.0332088	0.00656497	0.0106036	0.00967181	0.00568954	0.00482573	0.0165637
z	0.286651	0.00385712	0.236464	0.265938	0.0635246	0.0366655	0.00691287	0.0177027	0.0102785	0.0100808	0.00860313	0.0533225
a	0.329819	0.0092952	0.591687	0.0383023	0.0129236	0.00317188	0.00353994	0.00855977	0.00124612	0.000826407	7.41197e-05	0.000554362
l	0.306597	0.00149206	0.326933	0.139572	0.0287614	0.0198438	0.0207285	0.0204118	0.0276511	0.0354586	0.020862	0.0516882
á	0.0345409	0.000435084	0.196748	0.133768	0.14799	0.033169	0.0618101	0.0417367	0.0818856	0.0981459	0.0255352	0.144235
a	0.318079	0.0029079	0.129573	0.250512	0.0783212	0.0188214	0.0420757	0.0261421	0.0309137	0.0293263	0.0209919	0.0523346
s	0.00181814	0.00102952	0.106823	0.700058	0.061633	0.0598767	0.00872268	0.0280039	0.0100992	0.00330114	0.0069096	0.0117252
é	0.000664697	9.65139e-05	0.041593	0.780546	0.029816	0.10433	0.00137239	0.0219298	0.00542732	0.00226917	0.0023421	0.00961284
é	0.00719612	0.00028021	0.0678989	0.616516	0.0530943	0.0909662	0.0082824	0.0480632	0.024981	0.0144563	0.00545859	0.0628073
s	0.00176235	2.24658e-05	0.250947	0.377269	0.260471	0.042649	0.015447	0.00300086	0.0132863	0.0114227	0.00182954	0.0218925
á	0.006244	1.75574e-05	0.0456918	0.547275	0.167397	0.164892	0.00999863	0.011098	0.00747762	0.00678122	0.00215082	0.030976
n	0.00661896	0.000326283	0.115037	0.182755	0.340063	0.18361	0.0629784	0.0258012	0.0163214	0.0255072	0.0190802	0.0219013
g	0.302845	0.0023404	0.0805555	0.0966121	0.356021	0.0394348	0.0539828	0.0112266	0.01986	0.0184763	0.00713203	0.0115137
á	0.015279	0.0141285	0.125515	0.0704657	0.552096	0.101112	0.0486074	0.0150877	0.0131741	0.0124079	0.0238267	0.00830003
l	0.00143503	0.000232897	0.0486329	0.0711835	0.585982	0.114315	0.116234	0.0235538	0.0135097	0.0102965	0.00796873	0.00665625
i	0.000668977	0.000111115	0.0301864	0.0815141	0.44839	0.268956	0.0586613	0.0220884	0.0219503	0.0122196	0.0088017	0.0464515
y	0.000176966	1.88198e-05	0.0153335	0.0676973	0.272599	0.430607	0.123022	0.0250853	0.0257064	0.013001	0.0053033	0.0214492
ó	0.00271732	0.000251775	0.0136321	0.0357947	0.112317	0.631862	0.104545	0.055131	0.014429	0.00993762	0.00517706	0.0142047
l	0.000759362	7.45195e-05	0.0115902	0.0176132	0.0711098	0.652019	0.101868	0.0725802	0.0136149	0.0122149	0.0267102	0.0198452
o	0.00073946	1.24098e-05	0.00219044	0.0328809	0.176968	0.518108	0.0448156	0.0418835	0.0342023	0.0213833	0.0839348	0.0428814
m	1.79887e-05	3.82246e-06	0.0013184	0.0537532	0.0641792	0.759086	0.0377416	0.0331311	0.0186622	0.00484034	0.0228698	0.0043967
í	0.000111906	2.44578e-05	0.00749622	0.00568739	0.0478562	0.0604504	0.396465	0.210392	0.144912	0.0322241	0.00185536	0.0925252
d	0.000396015	0.000314099	0.0105943	0.0101003	0.0738617	0.055245	0.236933	0.213283	0.178861	0.111557	0.0745151	0.0343397
z	4.79825e-05	1.31583e-05	0.00607678	0.0169694	0.00989309	0.223772	0.0685811	0.509296	0.0503496	0.0274321	0.0239901	0.0635789
w	0.000647664	0.000343042	0.00683041	0.00456916	0.00521246	0.0544351	0.0314973	0.848432	0.0209502	0.0100551	0.00344378	0.0135842
a	0.00347462	0.000515378	0.00397522	0.00456456	0.00876515	0.045299	0.0725547	0.786099	0.0338091	0.0158672	0.00215956	0.0229165
l	0.000305599	5.06996e-06	0.00120061	0.00438086	0.00955025	0.0539507	0.0471445	0.443191	0.244522	0.0882097	0.019859	0.0876804
á	0.000370098	1.83398e-05	0.00318505	0.0091215	0.0204471	0.0315998	0.0738916	0.130528	0.186289	0.141768	0.127229	0.275552
l	0.00121264	6.79204e-05	0.00290862	0.00222156	0.00837678	0.00593358	0.0886541	0.0795573	0.211096	0.365869	0.182799	0.0513044
e	0.00167926	1.28138e-05	0.00516992	0.0135568	0.0186621	0.0257112	0.0429711	0.129837	0.113759	0.158871	0.263369	0.226402
k	4.69181e-05	9.36653e-06	0.00106618	0.00136429	0.0102008	0.0196626	0.041003	0.111868	0.116944	0.174978	0.474532	0.0483245
ώ	3.22275e-06	1.6649e-06	0.000161585	0.00150546	0.00526732	0.00798988	0.00360281	0.0492042	0.1015	0.0555439	0.751784	0.023436
ώ	0.000108279	2.56837e-06	2.63959e-05	0.000174848	0.00163868	0.00305692	0.00404742	0.00568917	0.020045	0.0164399	0.941451	0.00731947
l	0.000214071	4.18796e-06	0.000262861	0.000358646	0.00426517	0.00145439	0.0322767	0.0466752	0.267081	0.421989	0.0926489	0.13277
i	0.00010766	3.59341e-06	0.000432265	0.0021134	0.0115121	0.014555	0.0332132	0.0688001	0.145105	0.186637	0.289401	0.24812
</S>	0.000635127	0.000190351	0.00475405	0.00310332	0.00706265	0.00324707	0.0454534	0.028112	0.0946024	0.319975	0.148797	0.344068
