 	ils	reviendront	bientôt	</S>
b	0.872471	0.121311	0.00580134	0.000416465
á	0.823533	0.16216	0.00742226	0.00688498
a	0.735423	0.220414	0.026629	0.017534
á	0.281639	0.203218	0.120827	0.394315
b	0.141558	0.265873	0.103895	0.488674
h	0.0979245	0.124291	0.333278	0.444506
i	0.0544612	0.10008	0.567933	0.277525
b	0.148337	0.190278	0.405847	0.255537
ε	0.285693	0.40945	0.25184	0.0530174
έ	0.157676	0.350416	0.309273	0.182635
b	0.0440049	0.172517	0.46967	0.313808
ε	0.218349	0.21173	0.542097	0.0278242
έ	0.0412515	0.161261	0.534089	0.263399
l	0.0060627	0.0825246	0.431516	0.479897
a	0.0375198	0.0742708	0.124097	0.764112
ω	0.160068	0.171354	0.0758321	0.592746
y	0.0402839	0.0571789	0.455244	0.447293
a	0.00330661	0.048323	0.0532478	0.895123
a	0.00273054	0.014441	0.00683232	0.975996
</S>	0.00284337	0.0132917	0.0853772	0.898488
